Localidade;Ano;IDM Infraestrutura;Cobertura da rede de água tratada;Cobertura da rede de energia elétrica;Cobertura da rede de esgoto;Cobertura da rede de telefonia fixa e internet
Porangatu;2018;3,54;5,96;4,24;0;3,96
Porteirão;2012;3,0725;6,37;3,31;0;2,61
Porteirão;2014;3,38;7,24;3,55;0;2,73
Porteirão;2016;3,2575;7,06;3,69;0;2,28
Porteirão;2018;4,1575;7,5;4,72;0;4,41
Portelândia;2012;2,5525;5,32;3,03;0;1,86
Portelândia;2014;2,7075;5,58;3,23;0;2,02
Portelândia;2016;2,955;5,95;3,39;0,01;2,47
Portelândia;2018;3,5075;5,86;4,1;0;4,07
Posse;2012;3,2525;4,53;2,44;4,01;2,03
Posse;2014;3,825;4,91;2,69;5,62;2,08
Posse;2016;3,6375;4,78;2,86;5,31;1,6
Posse;2018;3,7075;4,92;3,34;5,03;1,54
Professor Jamil;2012;2,625;5,87;2,77;0;1,86
Professor Jamil;2014;2,9025;6,17;2,93;0;2,51
Professor Jamil;2016;3,1175;5,98;3,14;0;3,35
Professor Jamil;2018;3,805;6,24;4,25;0;4,73
Quirinópolis;2012;5,255;5,21;3,57;7,99;4,25
Quirinópolis;2014;5,6275;5,66;3,86;8,19;4,8
Quirinópolis;2016;5,5975;5,66;4,04;7,66;5,03
Quirinópolis;2018;5,82;5,57;4,77;7,47;5,47
Rialma;2012;3,7375;7;3,84;0;4,11
Rialma;2014;3,8825;7,53;4,13;0;3,87
Rialma;2016;3,9075;7,37;4,32;0;3,94
Rialma;2018;4,4425;7,63;5,33;0;4,81
Rianápolis;2012;3,01;6,89;3,61;0;1,54
Rianápolis;2014;3,2225;7,31;3,73;0;1,85
Rianápolis;2016;3,245;7,22;4,02;0;1,74
Rianápolis;2018;3,5775;7;4,47;0;2,84
Rio Quente;2012;5,42;4,63;10;1,14;5,91
Rio Quente;2014;5,27;4,41;10;1,1;5,57
Rio Quente;2016;4,9475;3,96;10;0,94;4,89
Rio Quente;2018;4,7175;3,77;10;0,85;4,25
Rio Verde;2012;4,69;5,37;3,52;4,02;5,85
Rio Verde;2014;4,665;5,53;3,57;3,87;5,69
Rio Verde;2016;4,645;5,27;3,75;3,65;5,91
Rio Verde;2018;4,8175;5,11;4,21;3,9;6,05
Rubiataba;2012;3,825;6,96;4,03;0,92;3,39
Rubiataba;2014;5,3075;7,05;4,19;6,42;3,57
Rubiataba;2016;5,6075;6,62;4,41;7,99;3,41
Rubiataba;2018;5,46;6,51;4,83;7,46;3,04
Sanclerlândia;2012;3,7875;8,24;4,33;0;2,58
Sanclerlândia;2014;3,62;8,38;4,52;0;1,58
Sanclerlândia;2016;3,65;7,93;4,76;0;1,91
Sanclerlândia;2018;5,2325;7,97;5;5,18;2,78
Santa Bárbara de Goiás;2012;3,285;6,36;3,83;0;2,95
Santa Bárbara de Goiás;2014;3,675;6,5;3,98;0;4,22
Santa Bárbara de Goiás;2016;3,2225;6,33;4,23;0;2,33
Santa Bárbara de Goiás;2018;3,51;6,17;4,85;0;3,02
Santa Cruz de Goiás;2012;1,385;3,4;1,24;0;0,9
Santa Cruz de Goiás;2014;1,5575;3,55;1,31;0;1,37
Santa Cruz de Goiás;2016;1,58;3,56;1,49;0;1,27
Santa Cruz de Goiás;2018;1,5025;3,59;1,18;0;1,24
Santa Fé de Goiás;2012;3,0275;5,72;3,13;0;3,26
Santa Fé de Goiás;2014;3,115;5,77;3,11;0;3,58
Santa Fé de Goiás;2016;3,095;5,95;3,51;0;2,92
Santa Fé de Goiás;2018;3,6075;5,87;4,03;0;4,53
Santa Helena de Goiás;2012;5,82;6,35;3,81;8,93;4,19
Santa Helena de Goiás;2014;6,0975;6,64;3,97;9,05;4,73
Santa Helena de Goiás;2016;6,035;6,4;4,16;8,44;5,14
Santa Helena de Goiás;2018;6,17;6,5;4,88;7,94;5,36
Santa Isabel;2012;2,325;5,42;2,55;0;1,33
Santa Isabel;2014;2,295;5,36;2,59;0;1,23
Santa Isabel;2016;2,335;5,29;2,81;0;1,24
Santa Isabel;2018;2,3975;5,24;3,47;0;0,88
Santa Rita do Araguaia;2012;3,9375;8,42;4,11;0;3,22
Santa Rita do Araguaia;2014;3,8975;8,16;4,2;0;3,23
Santa Rita do Araguaia;2016;3,65;7,48;4,21;0;2,91
Santa Rita do Araguaia;2018;3,395;7,01;4,3;0;2,27
Santa Rita do Novo Destino;2012;0,8725;1,93;1,44;0,12;0
Santa Rita do Novo Destino;2014;0,9125;1,83;1,46;0,11;0,25
Santa Rita do Novo Destino;2016;0,86;1,63;1,47;0,1;0,24
Santa Rita do Novo Destino;2018;1,0275;1,57;0,78;0,09;1,67
Santa Rosa de Goiás;2012;2,82;5,63;3,57;0;2,08
Santa Rosa de Goiás;2014;3,1725;5,99;3,85;0;2,85
Santa Rosa de Goiás;2016;3,4025;6,42;4,04;0;3,15
Santa Rosa de Goiás;2018;3,485;6,72;5,21;0;2,01
Santa Tereza de Goiás;2012;3,125;7,34;4,11;0;1,05
Santa Tereza de Goiás;2014;3,43;7,44;4,28;0;2
Santa Tereza de Goiás;2016;3,6325;6,93;4,42;0;3,18
Santa Tereza de Goiás;2018;3,6975;7,34;4,81;0;2,64
Santa Terezinha de Goiás;2012;2,115;3,07;3,35;0;2,04
Santa Terezinha de Goiás;2014;2,3675;3,39;3,61;0;2,47
Santa Terezinha de Goiás;2016;2,395;3,43;3,85;0;2,3
Santa Terezinha de Goiás;2018;2,4075;3,55;4,22;0;1,86
Santo Antônio da Barra;2012;2,14;4,43;2,99;0;1,14
Santo Antônio da Barra;2014;2,315;4,73;3,09;0;1,44
Santo Antônio da Barra;2016;2,4025;4,95;3,42;0;1,24
Santo Antônio da Barra;2018;2,995;4,99;3,55;0;3,44
Santo Antônio de Goiás;2012;3,8425;7,15;4,74;0;3,48
Santo Antônio de Goiás;2014;4,2;7,63;5,37;0;3,8
Santo Antônio de Goiás;2016;4,3875;7,22;5,55;0;4,78
Santo Antônio de Goiás;2018;4,25;7,01;6,11;0;3,88
Santo Antônio do Descoberto;2012;2,5525;3,01;2,71;1,87;2,62
Santo Antônio do Descoberto;2014;2,895;3,56;3,04;2,76;2,22
Santo Antônio do Descoberto;2016;3,2575;3,74;3,24;3,44;2,61
Santo Antônio do Descoberto;2018;3,53;4,01;3,53;3,38;3,2
São Domingos;2012;1,4125;2,84;1,8;0;1,01
São Domingos;2014;1,3475;2,85;1,7;0;0,84
São Domingos;2016;1,26;2,63;1,7;0;0,71
São Domingos;2018;1,14;2,57;1,52;0;0,47
São Francisco de Goiás;2012;2,3625;5,38;2,65;0;1,42
São Francisco de Goiás;2014;2,6225;5,69;2,87;0;1,93
São Francisco de Goiás;2016;2,7275;5,9;3,07;0;1,94
São Francisco de Goiás;2018;2,875;6,1;3,96;0;1,44
São João d'Aliança;2012;1,43;3,15;1,4;0,01;1,16
São João d'Aliança;2014;1,485;3,29;1,49;0;1,16
São João d'Aliança;2016;1,445;3,2;1,58;0;1
São João d'Aliança;2018;1,74;3,34;2,2;0;1,42
São João da Paraúna;2012;5,8125;7,14;3,89;8,8;3,42
São João da Paraúna;2014;6,035;7,53;4,05;9,2;3,36
São João da Paraúna;2016;6,67;8,39;4,84;10;3,45
São João da Paraúna;2018;6,9175;8,73;5,93;9,67;3,34
São Luis de Montes Belos;2012;5,485;7,4;4,54;5,5;4,5
São Luis de Montes Belos;2014;5,53;7,63;4,66;5,5;4,33
São Luis de Montes Belos;2016;5,73;7,47;4,87;6,5;4,08
São Luis de Montes Belos;2018;5,8175;7,5;5,28;6,53;3,96
São Luiz do Norte;2012;2,085;3,04;3,96;0;1,34
São Luiz do Norte;2014;2,2025;3,33;4,05;0;1,43
São Luiz do Norte;2016;2,26;3,45;4,18;0;1,41
São Luiz do Norte;2018;2,26;3,43;4,51;0;1,1
São Miguel do Araguaia;2012;3,1775;4,16;3,82;2,42;2,31
São Miguel do Araguaia;2014;3,455;4,66;4,05;2,69;2,42
São Miguel do Araguaia;2016;3,5225;4,7;4,29;2,4;2,7
São Miguel do Araguaia;2018;3,5875;4,78;4,45;2,3;2,82
São Miguel do Passa Quatro;2012;1,9775;4,49;1,99;0;1,43
São Miguel do Passa Quatro;2014;2,0925;4,92;2,19;0;1,26
São Miguel do Passa Quatro;2016;2,4075;5,47;2,4;0;1,76
São Miguel do Passa Quatro;2018;3,1925;5,41;3,35;0;4,01
São Patrício;2012;1,8775;4,54;2,16;0;0,81
São Patrício;2014;1,95;4,68;2,26;0;0,86
São Patrício;2016;1,9;4,6;2,41;0;0,59
São Patrício;2018;2,2925;4,83;3,33;0;1,01
São Simão;2012;6,33;6,26;4,06;8,19;6,81
São Simão;2014;6,355;5,96;4,3;7,81;7,35
São Simão;2016;5,9425;5,36;4,64;6,76;7,01
São Simão;2018;5,8225;5,1;4,48;6,07;7,64
Senador Canedo;2012;3,215;4,09;3,88;0,08;4,81
Senador Canedo;2014;3,535;3,89;4,63;0,07;5,55
Senador Canedo;2016;3,605;3,49;5,07;0,06;5,8
Senador Canedo;2018;3,9275;3,33;5,96;0,06;6,36
Serranópolis;2012;2,78;5,89;2,68;0;2,55
Serranópolis;2014;2,765;5,88;2,75;0;2,43
Serranópolis;2016;2,7525;5,68;2,93;0;2,4
Serranópolis;2018;2,8225;5,65;3,71;0;1,93
Silvânia;2012;3,7325;4,94;2,58;4,72;2,69
Silvânia;2014;4,37;5,3;2,91;6,16;3,11
Silvânia;2016;4,3075;5,24;3,18;5,63;3,18
Silvânia;2018;4,4625;5,24;3,7;5,67;3,24
Simolândia;2012;2,2575;5,54;2,78;0;0,71
Simolândia;2014;2,375;5,73;2,89;0;0,88
Simolândia;2016;2,3275;5,28;2,91;0;1,12
Simolândia;2018;2,3925;5,14;3,32;0;1,11
Sítio d'Abadia;2012;0,88;2,46;1;0;0,06
Sítio d'Abadia;2014;0,6025;1,38;1,03;0;0
Sítio d'Abadia;2016;0,6675;1,57;1,07;0;0,03
Sítio d'Abadia;2018;0,66;1,67;0,89;0;0,08
Taquaral de Goiás;2012;3,5775;7,62;4,08;0;2,61
Taquaral de Goiás;2014;4,09;8,6;4,84;0;2,92
Taquaral de Goiás;2016;4,075;8,2;5,1;0;3
Taquaral de Goiás;2018;4,315;8,06;5,84;0;3,36
Teresina de Goiás;2012;2,0275;4,74;1,94;0;1,43
Teresina de Goiás;2014;1,965;4,63;2,01;0;1,22
Teresina de Goiás;2016;1,85;4,31;1,95;0,01;1,13
Teresina de Goiás;2018;2,0675;4,2;2,36;0;1,71
Terezópolis de Goiás;2012;2,7825;4,92;3,62;0;2,59
Terezópolis de Goiás;2014;3,16;5,43;3,88;0;3,33
Terezópolis de Goiás;2016;4,7775;5,48;4,32;5,8;3,51
Terezópolis de Goiás;2018;4,81;5,39;4,73;5,49;3,63
Três Ranchos;2012;5,075;9,05;7,06;0;4,19
Três Ranchos;2014;5,3775;10;7,89;0;3,62
Três Ranchos;2016;5,3275;10;8,63;0;2,68
Três Ranchos;2018;5,545;10;9,8;0;2,38
Trindade;2012;4,43;5,33;4,04;3,53;4,82
Trindade;2014;4,77;6,02;4,41;3,68;4,97
Trindade;2016;4,85;6,13;4,55;3,32;5,4
Trindade;2018;5,415;6,63;5,56;4,18;5,29
Trombas;2012;1,9725;3,47;2,55;0;1,87
Trombas;2014;1,8675;3,31;2,52;0;1,64
Trombas;2016;2,3925;5,17;2,54;0;1,86
Trombas;2018;2,2275;2,83;3,08;0;3
Turvânia;2012;3,34;6,92;3,73;0;2,71
Turvânia;2014;3,49;6,97;3,77;0;3,22
Turvânia;2016;3,3775;6,54;3,93;0;3,04
Turvânia;2018;3,525;6,55;4,44;0;3,11
Turvelândia;2012;1,98;4,21;2,12;0;1,59
Turvelândia;2014;2,275;5,03;2,64;0;1,43
Turvelândia;2016;2,375;5,14;2,87;0;1,49
Turvelândia;2018;2,52;5,21;3,67;0;1,2
Uirapuru;2012;2,225;5,15;2,17;0;1,58
Uirapuru;2014;2,385;5,22;2,35;0;1,97
Uirapuru;2016;2,2875;4,94;2,3;0;1,91
Uirapuru;2018;2,1475;4,95;2,22;0;1,42
Uruaçu;2012;4,3175;6,11;3,92;3,7;3,54
Uruaçu;2014;4,83;6,57;4,29;4,54;3,92
Uruaçu;2016;4,9925;6,39;4,54;4,8;4,24
Uruaçu;2018;5,0975;6,66;5,23;4,64;3,86
Uruana;2012;3,085;6,42;3,65;0,4;1,87
Uruana;2014;3,145;6,79;3,82;0,38;1,59
Uruana;2016;3,1025;6,44;3,91;0,32;1,74
Uruana;2018;3,2425;6,32;4,59;0,28;1,78
Urutaí;2012;3,8175;7,5;3,93;0;3,84
Urutaí;2014;4,07;7,9;4,25;0;4,13
Urutaí;2016;4,185;7,91;4,61;0;4,22
Urutaí;2018;4,6525;8,17;5,62;0;4,82
Valparaíso de Goiás;2012;4,0825;4,43;4,42;2,29;5,19
Valparaíso de Goiás;2014;4,3975;5,24;5,14;2,31;4,9
Valparaíso de Goiás;2016;4,825;5,8;5,6;2,68;5,22
Valparaíso de Goiás;2018;4,8925;6,4;5,43;2,58;5,16
Varjão;2012;2,4825;4,75;3,01;0;2,17
Varjão;2014;2,6025;5,13;3,18;0;2,1
Varjão;2016;2,595;5,23;3,49;0;1,66
Varjão;2018;2,595;5,26;3,76;0;1,36
Vianópolis;2012;2,975;5,55;3,57;0;2,78
Vianópolis;2014;3,155;5,67;3,69;0;3,26
Vianópolis;2016;3,0575;5,6;3,91;0;2,72
Vianópolis;2018;3,225;5,53;3,96;0;3,41
Vicentinópolis;2012;2,8325;5,37;3,62;0,01;2,33
Vicentinópolis;2014;2,6675;5,12;3,69;0,01;1,85
Vicentinópolis;2016;2,54;4,59;3,85;0,01;1,71
Vicentinópolis;2018;2,555;4,38;4,26;0,01;1,57
Vila Boa;2012;1,9475;5,03;2,14;0;0,62
Vila Boa;2014;1,8775;4,82;2,05;0;0,64
Vila Boa;2016;1,6725;4,28;1,98;0;0,43
Vila Boa;2018;1,7975;3,97;2,26;0;0,96
Vila Propício;2012;0,3225;0;0,93;0;0,36
Vila Propício;2014;0,4225;0,05;1,14;0;0,5
Vila Propício;2016;0,7275;0,29;1,32;0;1,3
Vila Propício;2018;0,8425;1,66;0,92;0;0,79
