Localidade;Ano;IDM Infraestrutura;Cobertura da rede de água tratada;Cobertura da rede de energia elétrica;Cobertura da rede de esgoto;Cobertura da rede de telefonia fixa e internet
Inaciolândia;2014;3,4025;5,1;4,03;0;4,48
Inaciolândia;2016;3,6225;5,3;4,28;0;4,91
Inaciolândia;2018;3,8475;5,41;4,97;0;5,01
Indiara;2012;2,895;6,32;3,52;0;1,74
Indiara;2014;2,96;6,6;3,75;0;1,49
Indiara;2016;3,0375;6,53;4,05;0;1,57
Indiara;2018;3,3175;6,33;4,32;0;2,62
Inhumas;2012;4,6025;6,04;4,01;3,73;4,63
Inhumas;2014;5,1925;6,29;3,96;5,82;4,7
Inhumas;2016;5,4025;6,14;4,26;6,12;5,09
Inhumas;2018;5,635;6,32;5,11;5,85;5,26
Ipameri;2012;4,03;7,27;3,85;0;5
Ipameri;2014;3,9825;7,34;3,91;0;4,68
Ipameri;2016;4,02;6,85;4,08;0;5,15
Ipameri;2018;4,2525;6,79;3,93;0;6,29
Ipiranga de Goiás;2012;1,845;4,2;2,41;0;0,77
Ipiranga de Goiás;2014;1,8975;4,4;2,48;0;0,71
Ipiranga de Goiás;2016;1,95;4,58;2,61;0;0,61
Ipiranga de Goiás;2018;2,3425;5,01;3,58;0;0,78
Iporá;2012;5,115;8,22;4,52;2,52;5,2
Iporá;2014;5,355;8,53;4,79;2,46;5,64
Iporá;2016;5,505;8,34;5,08;3,13;5,47
Iporá;2018;5,805;8,59;5,97;3,53;5,13
Israelândia;2012;2,9625;6,69;3,9;0;1,26
Israelândia;2014;3,1275;6,9;4,09;0;1,52
Israelândia;2016;3,065;6,45;4,26;0;1,55
Israelândia;2018;2,9975;6,32;4,27;0;1,4
Itaberaí;2012;3,2775;4,9;3,44;2,27;2,5
Itaberaí;2014;4,0475;5,27;3,7;4,68;2,54
Itaberaí;2016;4,19;5,28;4,03;4,71;2,74
Itaberaí;2018;4,29;5,56;4,68;4,23;2,69
Itaguari;2012;3,135;6,91;3,99;0;1,64
Itaguari;2014;3,365;7,55;4,51;0;1,4
Itaguari;2016;3,455;7,75;4,72;0;1,35
Itaguari;2018;3,795;7,89;5,93;0;1,36
Itaguaru;2012;3,005;6,77;3,58;0;1,67
Itaguaru;2014;3,1875;7,09;3,83;0;1,83
Itaguaru;2016;3,1875;7,03;3,99;0;1,73
Itaguaru;2018;3,6975;7,05;4,93;0;2,81
Itajá;2012;3,285;6,43;3,26;0;3,45
Itajá;2014;3,41;6,56;3,4;0;3,68
Itajá;2016;3,5925;6,22;3,57;0;4,58
Itajá;2018;3,62;6,22;4,1;0;4,16
Itapaci;2012;2,5;4,58;3,53;0;1,89
Itapaci;2014;2,4325;4,56;3,79;0;1,38
Itapaci;2016;2,4975;4,16;4,07;0;1,76
Itapaci;2018;3,005;4,97;4,49;0;2,56
Itapirapuã;2012;2,8475;5,93;3,51;0;1,95
Itapirapuã;2014;3,3325;6,63;3,95;0;2,75
Itapirapuã;2016;3,7;6,95;4,36;0;3,49
Itapirapuã;2018;4,4175;7,72;5,14;0;4,81
Itapuranga;2012;5,0075;6,03;3,85;7,62;2,53
Itapuranga;2014;5,41;6,56;4,19;8,01;2,88
Itapuranga;2016;5,255;6,31;4,37;7,41;2,93
Itapuranga;2018;5,3125;6,48;4,72;7,13;2,92
Itarumã;2012;2,145;3,88;2,52;0;2,18
Itarumã;2014;2,5775;4,58;2,82;0;2,91
Itarumã;2016;2,55;4,62;3,09;0;2,49
Itarumã;2018;2,475;4,43;3,31;0;2,16
Itauçu;2012;4,875;6,35;3,26;7,62;2,27
Itauçu;2014;4,94;6,33;3,34;7,6;2,49
Itauçu;2016;4,675;5,96;3,43;6,76;2,55
Itauçu;2018;4,6425;5,83;3,58;6,31;2,85
Itumbiara;2012;6,26;5,8;4,14;6,97;8,13
Itumbiara;2014;6,685;6,16;4,35;7,7;8,53
Itumbiara;2016;6,9475;6,1;4,62;8,38;8,69
Itumbiara;2018;7,1275;6,27;5,29;8,01;8,94
Ivolândia;2012;2,2925;4,4;2,56;0;2,21
Ivolândia;2014;2,39;4,5;2,59;0;2,47
Ivolândia;2016;2,4;4,47;2,69;0;2,44
Ivolândia;2018;2,5225;5,18;3,35;0;1,56
Jandaia;2012;3,2275;5,77;3,75;0;3,39
Jandaia;2014;3,0075;5,9;3,88;0;2,25
Jandaia;2016;3,0475;5,79;4,06;0;2,34
Jandaia;2018;3,08;5,75;3,94;0;2,63
Jaraguá;2012;3,2525;5,78;3,37;1,17;2,69
Jaraguá;2014;3,6125;6,06;3,67;1,88;2,84
Jaraguá;2016;3,6175;5,95;4,02;2,04;2,46
Jaraguá;2018;3,545;5,62;4,06;1,97;2,53
Jataí;2012;5,25;6,07;3,89;5,18;5,86
Jataí;2014;5,5775;6,56;4,21;5,74;5,8
Jataí;2016;5,6475;6,29;4,32;5,44;6,54
Jataí;2018;6,325;6,57;5,03;6,22;7,48
Jaupaci;2012;3,69;7,8;3,98;0;2,98
Jaupaci;2014;3,6875;8,27;4,18;0;2,3
Jaupaci;2016;3,515;7,73;4,31;0;2,02
Jaupaci;2018;3,65;7,61;4,82;0;2,17
Jesúpolis;2012;2,9425;7,53;3,8;0;0,44
Jesúpolis;2014;3,0025;7,45;4,02;0;0,54
Jesúpolis;2016;2,8625;6,92;4,21;0;0,32
Jesúpolis;2018;2,9025;6,71;4,61;0;0,29
Joviânia;2012;5,5675;6,61;3,77;9,11;2,78
Joviânia;2014;5,5425;6,74;3,78;8,9;2,75
Joviânia;2016;5,155;6,51;3,96;8,29;1,86
Joviânia;2018;5,5675;6,73;4,66;7,87;3,01
Jussara;2012;5,285;5,79;3,89;7,32;4,14
Jussara;2014;5,3975;5,99;3,83;7,21;4,56
Jussara;2016;5,455;5,97;4,43;6,54;4,88
Jussara;2018;5,635;6;4,76;6,25;5,53
Lagoa Santa;2012;5,49;9,48;3,82;6,19;2,47
Lagoa Santa;2014;5,7475;9,5;3,95;6,46;3,08
Lagoa Santa;2016;5,9975;9,57;4,29;7,45;2,68
Lagoa Santa;2018;7,35;9,44;5,38;9,72;4,86
Leopoldo de Bulhões;2012;2,2525;4,11;2,87;0;2,03
Leopoldo de Bulhões;2014;2,28;4,22;3,07;0;1,83
Leopoldo de Bulhões;2016;2,1175;4,19;3,25;0;1,03
Leopoldo de Bulhões;2018;2,2275;4,28;3,12;0;1,51
Luziânia;2012;2,8625;2,87;3,78;0,95;3,85
Luziânia;2014;3;3,29;4;1,27;3,44
Luziânia;2016;3,0975;3,62;4,13;1,18;3,46
Luziânia;2018;2,7675;3,83;2,21;1,11;3,92
Mairipotaba;2012;2,8625;6,2;3,23;0;2,02
Mairipotaba;2014;3,4925;7,07;3,9;0;3
Mairipotaba;2016;3,2125;6,7;4,11;0;2,04
Mairipotaba;2018;3,2725;6,77;4,68;0;1,64
Mambaí;2012;2,11;4,52;2,52;0;1,4
Mambaí;2014;2,3575;4,52;2,57;0;2,34
Mambaí;2016;1,895;4,34;2,6;0;0,64
Mambaí;2018;1,88;4,32;2,83;0;0,37
Mara Rosa;2012;3,9725;5,44;2,93;5,35;2,17
Mara Rosa;2014;4,2425;5,89;3,25;5,4;2,43
Mara Rosa;2016;4,34;6,01;3,56;5,01;2,78
Mara Rosa;2018;4,88;6,61;4,27;4,99;3,65
Marzagão;2012;4,19;8,49;4,13;0;4,14
Marzagão;2014;4,165;8,48;4,36;0;3,82
Marzagão;2016;4,045;8,33;4,55;0;3,3
Marzagão;2018;4,035;8,29;5,5;0;2,35
Matrinchã;2012;2,4775;4,25;3,37;0,02;2,27
Matrinchã;2014;2,395;4,04;3,54;0,02;1,98
Matrinchã;2016;2,2125;3,63;3,77;0,02;1,43
Matrinchã;2018;2,055;3,46;3,51;0,02;1,23
Maurilândia;2012;2,885;6,21;3,38;0;1,95
Maurilândia;2014;2,8975;6,04;3,31;0;2,24
Maurilândia;2016;2,8425;5,5;3,35;0;2,52
Maurilândia;2018;2,9;5,21;3,65;0;2,74
Mimoso de Goiás;2012;1,295;3,21;1,48;0;0,49
Mimoso de Goiás;2014;2,6975;3,43;1,65;5,15;0,56
Mimoso de Goiás;2016;2,565;3,47;1,75;4,64;0,4
Mimoso de Goiás;2018;2,53;3,44;2,28;4,22;0,18
Minaçu;2012;2,9475;5,78;3,27;0;2,74
Minaçu;2014;3,04;5,9;3,41;0;2,85
Minaçu;2016;3,0325;5,75;3,59;0,23;2,56
Minaçu;2018;4,265;5,73;4,05;3,85;3,43
Mineiros;2012;5,3075;5,16;3,63;7,45;4,99
Mineiros;2014;5,3475;4,92;4;7,1;5,37
Mineiros;2016;5,125;4,41;4,34;6,15;5,6
Mineiros;2018;5,04;4,21;5,16;5,52;5,27
Moiporá;2012;3,0925;7,04;3,47;0;1,86
Moiporá;2014;3,2975;7,08;3,59;0;2,52
Moiporá;2016;3,6525;6,9;3,7;0;4,01
Moiporá;2018;3,2475;6,99;2,7;0;3,3
Monte Alegre de Goiás;2012;1;2,17;1,49;0;0,34
Monte Alegre de Goiás;2014;1,0475;2,32;1,49;0;0,38
Monte Alegre de Goiás;2016;1,055;2,27;1,51;0;0,44
Monte Alegre de Goiás;2018;1,0425;2,33;1,35;0;0,49
Montes Claros de Goiás;2012;2,395;4,18;3,82;0;1,58
Montes Claros de Goiás;2014;2,89;4,66;4,29;0;2,61
Montes Claros de Goiás;2016;3,6625;5,03;4,76;2,12;2,74
Montes Claros de Goiás;2018;4,1325;6,08;4,37;2,64;3,44
Montividiu;2012;3,66;5,13;2,82;4,12;2,57
Montividiu;2014;3,6975;5,43;3,05;3,96;2,35
Montividiu;2016;3,63;5,22;3,19;3,82;2,29
Montividiu;2018;3,515;5,14;3,68;3,44;1,8
Montividiu do Norte;2012;0,9775;1,47;0,94;0;1,5
Montividiu do Norte;2014;1,1775;2,57;0,92;0;1,22
Montividiu do Norte;2016;1,2;2,4;0,96;0;1,44
Montividiu do Norte;2018;1,3575;2,44;0,96;0;2,03
Morrinhos;2012;5,1025;7,07;3,75;5,12;4,47
Morrinhos;2014;5,535;7,27;3,93;6,35;4,59
Morrinhos;2016;5,4925;7,29;4,24;6,46;3,98
Morrinhos;2018;5,735;7,46;5,13;6,14;4,21
Morro Agudo de Goiás;2012;2,7975;6,69;3,25;0;1,25
Morro Agudo de Goiás;2014;3,0975;7,35;3,56;0;1,48
Morro Agudo de Goiás;2016;3,1925;7,38;3,94;0;1,45
Morro Agudo de Goiás;2018;3,3575;7,46;4,78;0;1,19
Mossâmedes;2012;2,305;4,63;3,1;0,06;1,43
Mossâmedes;2014;2,53;4,4;3,27;0,06;2,39
Mossâmedes;2016;2,9425;5,47;3,55;0,05;2,7
Mossâmedes;2018;2,7025;3,77;4,51;0,05;2,48
Mozarlândia;2012;2,47;4,4;3,55;0;1,93
Mozarlândia;2014;2,5775;4,46;3,78;0;2,07
