Localidade;Ano;Taxa de Reprovação
Nova Glória;2018;2,4
Nova Iguaçu de Goiás;2013;7,5
Nova Iguaçu de Goiás;2014;16,5
Nova Iguaçu de Goiás;2015;3,4
Nova Iguaçu de Goiás;2016;3,4
Nova Iguaçu de Goiás;2017;2,3
Nova Iguaçu de Goiás;2018;12,9
Nova Roma;2013;0
Nova Roma;2014;2
Nova Roma;2015;0,8
Nova Roma;2016;1,3
Nova Roma;2017;0
Nova Roma;2018;2,5
Nova Veneza;2013;9
Nova Veneza;2014;3,8
Nova Veneza;2015;2
Nova Veneza;2016;2,6
Nova Veneza;2017;0
Nova Veneza;2018;4,3
Novo Brasil;2013;7,8
Novo Brasil;2014;8,9
Novo Brasil;2015;8,4
Novo Brasil;2016;6,3
Novo Brasil;2017;5,6
Novo Brasil;2018;2,2
Novo Gama;2013;8,1
Novo Gama;2014;13,6
Novo Gama;2015;13,9
Novo Gama;2016;13,2
Novo Gama;2017;12,2
Novo Gama;2018;6,3
Novo Planalto;2013;2,6
Novo Planalto;2014;4,8
Novo Planalto;2015;1,7
Novo Planalto;2016;7,3
Novo Planalto;2017;11,3
Novo Planalto;2018;0,9
Orizona;2013;6,8
Orizona;2014;7,2
Orizona;2015;6,2
Orizona;2016;5,2
Orizona;2017;2
Orizona;2018;3,3
Ouro Verde de Goiás;2013;25,6
Ouro Verde de Goiás;2014;13,2
Ouro Verde de Goiás;2015;10,3
Ouro Verde de Goiás;2016;5
Ouro Verde de Goiás;2017;1,2
Ouro Verde de Goiás;2018;5,2
Ouvidor;2013;12,5
Ouvidor;2014;12,9
Ouvidor;2015;4,1
Ouvidor;2016;2,2
Ouvidor;2017;2,8
Ouvidor;2018;4
Padre Bernardo;2013;6,9
Padre Bernardo;2014;8,6
Padre Bernardo;2015;5,3
Padre Bernardo;2016;5,1
Padre Bernardo;2017;1,5
Padre Bernardo;2018;1,8
Palestina de Goiás;2013;0,9
Palestina de Goiás;2014;2,2
Palestina de Goiás;2015;0,9
Palestina de Goiás;2016;2,6
Palestina de Goiás;2017;1
Palestina de Goiás;2018;0
Palmeiras de Goiás;2013;5,9
Palmeiras de Goiás;2014;11,6
Palmeiras de Goiás;2015;5,6
Palmeiras de Goiás;2016;15,2
Palmeiras de Goiás;2017;2,3
Palmeiras de Goiás;2018;4,8
Palmelo;2013;2,8
Palmelo;2014;1,4
Palmelo;2015;6,8
Palmelo;2016;1,7
Palmelo;2017;0
Palmelo;2018;5,4
Palminópolis;2013;3,6
Palminópolis;2014;2,5
Palminópolis;2015;2,3
Palminópolis;2016;7
Palminópolis;2017;4,2
Palminópolis;2018;2,1
Panamá;2013;11,5
Panamá;2014;10,6
Panamá;2015;2,5
Panamá;2016;1,3
Panamá;2017;5,8
Panamá;2018;6,8
Paranaiguara;2013;11,5
Paranaiguara;2014;17,9
Paranaiguara;2015;14,2
Paranaiguara;2016;7,6
Paranaiguara;2017;9,6
Paranaiguara;2018;12,1
Paraúna;2013;2,6
Paraúna;2014;7,7
Paraúna;2015;8,2
Paraúna;2016;8,7
Paraúna;2017;3,9
Paraúna;2018;0,4
Perolândia;2013;1,3
Perolândia;2014;1,4
Perolândia;2015;0
Perolândia;2016;0,8
Perolândia;2017;7,5
Perolândia;2018;1
Petrolina de Goiás;2013;8,1
Petrolina de Goiás;2014;3,5
Petrolina de Goiás;2015;14,1
Petrolina de Goiás;2016;7,4
Petrolina de Goiás;2017;3,1
Petrolina de Goiás;2018;0,9
Pilar de Goiás;2013;1,2
Pilar de Goiás;2014;6,3
Pilar de Goiás;2015;9,6
Pilar de Goiás;2016;8,2
Pilar de Goiás;2017;0
Pilar de Goiás;2018;1,4
Piracanjuba;2013;14,6
Piracanjuba;2014;13,4
Piracanjuba;2015;9
Piracanjuba;2016;9,5
Piracanjuba;2017;7,9
Piracanjuba;2018;6,4
Piranhas;2013;11,4
Piranhas;2014;12,1
Piranhas;2015;13,1
Piranhas;2016;7,5
Piranhas;2017;11,8
Piranhas;2018;9
Pirenópolis;2013;3,3
Pirenópolis;2014;6
Pirenópolis;2015;6,1
Pirenópolis;2016;4,3
Pirenópolis;2017;3,4
Pirenópolis;2018;7,3
Pires do Rio;2013;9,5
Pires do Rio;2014;9,7
Pires do Rio;2015;9,9
Pires do Rio;2016;3,8
Pires do Rio;2017;5,7
Pires do Rio;2018;3,5
Planaltina;2013;5,6
Planaltina;2014;11,4
Planaltina;2015;10,1
Planaltina;2016;8,6
Planaltina;2017;5,6
Planaltina;2018;5,3
Pontalina;2013;5,1
Pontalina;2014;3,8
Pontalina;2015;2,4
Pontalina;2016;3,3
Pontalina;2017;1,5
Pontalina;2018;2,3
Porangatu;2013;4,2
Porangatu;2014;6,1
Porangatu;2015;5,8
Porangatu;2016;4,3
Porangatu;2017;2,3
Porangatu;2018;2,2
Porteirão;2013;4,3
Porteirão;2014;13,7
Porteirão;2015;21,8
Porteirão;2016;10,3
Porteirão;2017;9,2
Porteirão;2018;8
Portelândia;2013;5,9
Portelândia;2014;4
Portelândia;2015;8
Portelândia;2016;4,4
Portelândia;2017;5,5
Portelândia;2018;1,8
Posse;2013;7,7
Posse;2014;8,9
Posse;2015;7,5
Posse;2016;9,6
Posse;2017;3,8
Posse;2018;9
Professor Jamil;2013;8,4
Professor Jamil;2014;3,9
Professor Jamil;2015;7,5
Professor Jamil;2016;8,6
Professor Jamil;2017;7,4
Professor Jamil;2018;2,5
Quirinópolis;2013;9,1
Quirinópolis;2014;8,8
Quirinópolis;2015;5
Quirinópolis;2016;7,1
Quirinópolis;2017;4,7
Quirinópolis;2018;4,9
Rialma;2013;3
Rialma;2014;2
Rialma;2015;4,9
Rialma;2016;6,9
Rialma;2017;0,3
Rialma;2018;1,3
Rianápolis;2013;12,4
Rianápolis;2014;9
Rianápolis;2015;13,2
Rianápolis;2016;16,2
Rianápolis;2017;0,7
Rianápolis;2018;8,9
Rio Quente;2013;2,7
Rio Quente;2014;3,6
Rio Quente;2015;6,5
Rio Quente;2016;5,2
Rio Quente;2017;5
Rio Quente;2018;0,6
Rio Verde;2013;11,4
Rio Verde;2014;11,3
Rio Verde;2015;8,5
Rio Verde;2016;10,3
Rio Verde;2017;9
Rio Verde;2018;8,1
Rubiataba;2013;10
Rubiataba;2014;11,3
Rubiataba;2015;7,6
Rubiataba;2016;5
Rubiataba;2017;6,2
Rubiataba;2018;6,4
Sanclerlândia;2013;7,7
Sanclerlândia;2014;9,4
Sanclerlândia;2015;10,8
Sanclerlândia;2016;3,4
Sanclerlândia;2017;3
Sanclerlândia;2018;4,1
Santa Bárbara de Goiás;2013;1,4
Santa Bárbara de Goiás;2014;8,2
Santa Bárbara de Goiás;2015;5,5
Santa Bárbara de Goiás;2016;4
Santa Bárbara de Goiás;2017;5,2
Santa Bárbara de Goiás;2018;2,5
Santa Cruz de Goiás;2013;5,4
Santa Cruz de Goiás;2014;10,7
Santa Cruz de Goiás;2015;4,3
Santa Cruz de Goiás;2016;1,3
Santa Cruz de Goiás;2017;7,7
Santa Cruz de Goiás;2018;3,7
Santa Fé de Goiás;2013;0
Santa Fé de Goiás;2014;5,4
Santa Fé de Goiás;2015;1,4
Santa Fé de Goiás;2016;3,1
Santa Fé de Goiás;2017;0,6
Santa Fé de Goiás;2018;4,5
Santa Helena de Goiás;2013;11,5
Santa Helena de Goiás;2014;8,1
Santa Helena de Goiás;2015;9,2
Santa Helena de Goiás;2016;14,6
Santa Helena de Goiás;2017;7,5
Santa Helena de Goiás;2018;3,3
Santa Isabel;2013;0
Santa Isabel;2014;0
Santa Isabel;2015;2,8
Santa Isabel;2016;0
Santa Isabel;2017;2,4
Santa Isabel;2018;2,8
Santa Rita do Araguaia;2013;4,4
Santa Rita do Araguaia;2014;8,3
Santa Rita do Araguaia;2015;2,6
Santa Rita do Araguaia;2016;4,7
Santa Rita do Araguaia;2017;3,2
Santa Rita do Araguaia;2018;5,5
Santa Rita do Novo Destino;2013;2,2
Santa Rita do Novo Destino;2014;3,2
Santa Rita do Novo Destino;2015;2,4
Santa Rita do Novo Destino;2016;6,1
Santa Rita do Novo Destino;2017;0
Santa Rita do Novo Destino;2018;0
Santa Rosa de Goiás;2013;0
Santa Rosa de Goiás;2014;8,2
Santa Rosa de Goiás;2015;1,1
Santa Rosa de Goiás;2016;0
Santa Rosa de Goiás;2017;0
Santa Rosa de Goiás;2018;0
Santa Tereza de Goiás;2013;2,2
Santa Tereza de Goiás;2014;3,1
Santa Tereza de Goiás;2015;2,5
Santa Tereza de Goiás;2016;0,8
Santa Tereza de Goiás;2017;2,3
Santa Tereza de Goiás;2018;1,7
Santa Terezinha de Goiás;2013;2,9
Santa Terezinha de Goiás;2014;4,4
Santa Terezinha de Goiás;2015;10,1
Santa Terezinha de Goiás;2016;7,3
Santa Terezinha de Goiás;2017;1,7
Santa Terezinha de Goiás;2018;1,4
Santo Antônio da Barra;2013;4,5
Santo Antônio da Barra;2014;0
Santo Antônio da Barra;2015;0
Santo Antônio da Barra;2016;1,5
Santo Antônio da Barra;2017;1,8
Santo Antônio da Barra;2018;2,1
Santo Antônio de Goiás;2013;10,3
Santo Antônio de Goiás;2014;6,6
Santo Antônio de Goiás;2015;5,1
Santo Antônio de Goiás;2016;0,5
Santo Antônio de Goiás;2017;0
Santo Antônio de Goiás;2018;4,6
Santo Antônio do Descoberto;2013;15,7
Santo Antônio do Descoberto;2014;18,5
Santo Antônio do Descoberto;2015;12,4
Santo Antônio do Descoberto;2016;10,3
Santo Antônio do Descoberto;2017;5,4
Santo Antônio do Descoberto;2018;6,2
São Domingos;2013;4,5
São Domingos;2014;2,1
São Domingos;2015;8
São Domingos;2016;4,6
São Domingos;2017;0,6
São Domingos;2018;2
São Francisco de Goiás;2013;1,9
São Francisco de Goiás;2014;1,4
São Francisco de Goiás;2015;1,1
São Francisco de Goiás;2016;0,8
São Francisco de Goiás;2017;0
São Francisco de Goiás;2018;0,9
São João d'Aliança;2013;0,5
São João d'Aliança;2014;4,1
São João d'Aliança;2015;0,3
São João d'Aliança;2016;0,5
São João d'Aliança;2017;0
São João d'Aliança;2018;1,1
São João da Paraúna;2013;5,5
São João da Paraúna;2014;5,4
São João da Paraúna;2015;0
São João da Paraúna;2016;0
São João da Paraúna;2017;0
São João da Paraúna;2018;3,8
São Luis de Montes Belos;2013;6,5
São Luis de Montes Belos;2014;12,7
São Luis de Montes Belos;2015;7,6
São Luis de Montes Belos;2016;4,3
São Luis de Montes Belos;2017;0,6
São Luis de Montes Belos;2018;4,3
São Luiz do Norte;2013;4,5
São Luiz do Norte;2014;11,7
São Luiz do Norte;2015;12,8
São Luiz do Norte;2016;14,2
São Luiz do Norte;2017;8,5
São Luiz do Norte;2018;9,8
São Miguel do Araguaia;2013;8,2
São Miguel do Araguaia;2014;13,4
São Miguel do Araguaia;2015;5,7
São Miguel do Araguaia;2016;9,8
São Miguel do Araguaia;2017;10,9
São Miguel do Araguaia;2018;4,1
São Miguel do Passa Quatro;2013;0,8
São Miguel do Passa Quatro;2014;8,4
São Miguel do Passa Quatro;2015;2,3
São Miguel do Passa Quatro;2016;5,6
São Miguel do Passa Quatro;2017;1,6
São Miguel do Passa Quatro;2018;1,8
São Patrício;2013;0
São Patrício;2014;3,9
São Patrício;2015;1,3
São Patrício;2016;8,9
São Patrício;2017;0
São Patrício;2018;2,1
São Simão;2013;13,3
São Simão;2014;17,1
São Simão;2015;11,7
São Simão;2016;6,1
São Simão;2017;3,7
São Simão;2018;2,9
Senador Canedo;2013;14,5
Senador Canedo;2014;14,8
Senador Canedo;2015;11,4
Senador Canedo;2016;14,6
Senador Canedo;2017;7
Senador Canedo;2018;8
Serranópolis;2013;5,3
Serranópolis;2014;8,2
Serranópolis;2015;1,9
Serranópolis;2016;5,3
Serranópolis;2017;1,8
Serranópolis;2018;4,4
Silvânia;2013;7,8
Silvânia;2014;5,4
Silvânia;2015;4
Silvânia;2016;4,4
Silvânia;2017;2,7
Silvânia;2018;7,6
Simolândia;2013;4,5
Simolândia;2014;2,9
Simolândia;2015;8,6
Simolândia;2016;7,3
Simolândia;2017;2,5
Simolândia;2018;0,8
Sítio d'Abadia;2013;5,9
Sítio d'Abadia;2014;3,6
Sítio d'Abadia;2015;12,1
Sítio d'Abadia;2016;5,8
Sítio d'Abadia;2017;0
Sítio d'Abadia;2018;0
Taquaral de Goiás;2013;6,4
Taquaral de Goiás;2014;6,6
Taquaral de Goiás;2015;0,7
Taquaral de Goiás;2016;2,6
Taquaral de Goiás;2017;5,1
Taquaral de Goiás;2018;0,9
Teresina de Goiás;2013;0
Teresina de Goiás;2014;0
Teresina de Goiás;2015;0,7
Teresina de Goiás;2016;1,4
Teresina de Goiás;2017;0
Teresina de Goiás;2018;6,5
Terezópolis de Goiás;2013;10,4
Terezópolis de Goiás;2014;5,5
Terezópolis de Goiás;2015;10,1
Terezópolis de Goiás;2016;6,1
Terezópolis de Goiás;2017;5,4
Terezópolis de Goiás;2018;8,2
Três Ranchos;2013;1
Três Ranchos;2014;15,2
Três Ranchos;2015;0,9
Três Ranchos;2016;2,2
Três Ranchos;2017;2,2
Três Ranchos;2018;10,7
Trindade;2013;9,9
Trindade;2014;10,8
Trindade;2015;8,6
Trindade;2016;8,4
Trindade;2017;4,8
Trindade;2018;6,5
Trombas;2013;0,7
Trombas;2014;11,2
Trombas;2015;2
Trombas;2016;2,6
Trombas;2017;6,3
Trombas;2018;3,1
Turvânia;2013;0
Turvânia;2014;0,7
Turvânia;2015;2,4
Turvânia;2016;2
Turvânia;2017;0,8
Turvânia;2018;2,2
Turvelândia;2013;2,7
Turvelândia;2014;1,7
Turvelândia;2015;2,6
Turvelândia;2016;2,5
Turvelândia;2017;2,2
Turvelândia;2018;2,7
Uirapuru;2013;1,9
Uirapuru;2014;5,9
Uirapuru;2015;2
Uirapuru;2016;2,3
Uirapuru;2017;2,9
Uirapuru;2018;1,7
Uruaçu;2013;12,4
Uruaçu;2014;9,5
Uruaçu;2015;12,4
Uruaçu;2016;11,7
Uruaçu;2017;8,5
Uruaçu;2018;8,9
Uruana;2013;2,8
Uruana;2014;5,9
Uruana;2015;6,9
Uruana;2016;6,4
Uruana;2017;2,6
Uruana;2018;1,3
Urutaí;2013;9,2
Urutaí;2014;16
Urutaí;2015;7,1
Urutaí;2016;12,8
Urutaí;2017;6,8
Urutaí;2018;5,2
Valparaíso de Goiás;2013;7,8
Valparaíso de Goiás;2014;10
Valparaíso de Goiás;2015;10,4
Valparaíso de Goiás;2016;10,5
Valparaíso de Goiás;2017;6,1
Valparaíso de Goiás;2018;6,3
Varjão;2013;11,1
Varjão;2014;6,3
Varjão;2015;11,5
Varjão;2016;9,8
Varjão;2017;4,9
Varjão;2018;9,9
Vianópolis;2013;10
Vianópolis;2014;11,4
Vianópolis;2015;9,8
Vianópolis;2016;7,4
Vianópolis;2017;6
Vianópolis;2018;7,8
Vicentinópolis;2013;2,6
Vicentinópolis;2014;8,4
Vicentinópolis;2015;5,4
Vicentinópolis;2016;6,5
Vicentinópolis;2017;2,2
Vicentinópolis;2018;6,1
Vila Boa;2013;1
Vila Boa;2014;2,6
Vila Boa;2015;0,6
Vila Boa;2016;4,5
Vila Boa;2017;2,6
Vila Boa;2018;2,5
Vila Propício;2013;5,9
Vila Propício;2014;6
Vila Propício;2015;4,5
Vila Propício;2016;5
Vila Propício;2017;1,3
Vila Propício;2018;5
