Localidade;Ano;Taxa de Reprovação
Cachoeira de Goiás;2013;0
Cachoeira de Goiás;2014;5,6
Cachoeira de Goiás;2015;11,9
Cachoeira de Goiás;2016;4,8
Cachoeira de Goiás;2017;5,8
Cachoeira de Goiás;2018;1,9
Cachoeira Dourada;2013;1,8
Cachoeira Dourada;2014;11,6
Cachoeira Dourada;2015;10,6
Cachoeira Dourada;2016;6,5
Cachoeira Dourada;2017;7,6
Cachoeira Dourada;2018;4,6
Caçu;2013;9,4
Caçu;2014;7,3
Caçu;2015;11,9
Caçu;2016;6,9
Caçu;2017;7
Caçu;2018;5
Caiapônia;2013;2,7
Caiapônia;2014;0,7
Caiapônia;2015;2
Caiapônia;2016;2,1
Caiapônia;2017;2,4
Caiapônia;2018;3,5
Caldas Novas;2013;9,8
Caldas Novas;2014;8
Caldas Novas;2015;11,5
Caldas Novas;2016;9,5
Caldas Novas;2017;4,2
Caldas Novas;2018;3,7
Caldazinha;2013;8
Caldazinha;2014;8,8
Caldazinha;2015;1,4
Caldazinha;2016;2,1
Caldazinha;2017;0
Caldazinha;2018;4
Campestre de Goiás;2013;1,5
Campestre de Goiás;2014;0,8
Campestre de Goiás;2015;9
Campestre de Goiás;2016;3,4
Campestre de Goiás;2017;2,1
Campestre de Goiás;2018;2,4
Campinaçu;2013;2,4
Campinaçu;2014;3,5
Campinaçu;2015;7,9
Campinaçu;2016;2,1
Campinaçu;2017;3,7
Campinaçu;2018;3,6
Campinorte;2013;11,8
Campinorte;2014;2,7
Campinorte;2015;11,6
Campinorte;2016;5,7
Campinorte;2017;3,7
Campinorte;2018;3,7
Campo Alegre de Goiás;2013;14,4
Campo Alegre de Goiás;2014;9,3
Campo Alegre de Goiás;2015;13,5
Campo Alegre de Goiás;2016;6,2
Campo Alegre de Goiás;2017;3,4
Campo Alegre de Goiás;2018;5,6
Campo Limpo de Goiás;2013;25,8
Campo Limpo de Goiás;2014;10,6
Campo Limpo de Goiás;2015;9,6
Campo Limpo de Goiás;2016;7,4
Campo Limpo de Goiás;2017;3,9
Campo Limpo de Goiás;2018;1,1
Campos Belos;2013;10,5
Campos Belos;2014;9,8
Campos Belos;2015;9,5
Campos Belos;2016;7,8
Campos Belos;2017;5,5
Campos Belos;2018;4,3
Campos Verdes;2013;6
Campos Verdes;2014;9,2
Campos Verdes;2015;3,1
Campos Verdes;2016;6,6
Campos Verdes;2017;10,9
Campos Verdes;2018;17,4
Carmo do Rio Verde;2013;2,1
Carmo do Rio Verde;2014;2,8
Carmo do Rio Verde;2015;6,1
Carmo do Rio Verde;2016;12,9
Carmo do Rio Verde;2017;0
Carmo do Rio Verde;2018;0
Castelândia;2013;2,2
Castelândia;2014;3,8
Castelândia;2015;8,7
Castelândia;2016;4,3
Castelândia;2017;1,3
Castelândia;2018;4,6
Catalão;2013;9,8
Catalão;2014;12,2
Catalão;2015;11,1
Catalão;2016;7,5
Catalão;2017;7,9
Catalão;2018;8,4
Caturaí;2013;4,7
Caturaí;2014;14,5
Caturaí;2015;4,7
Caturaí;2016;5,1
Caturaí;2017;4,5
Caturaí;2018;5,7
Cavalcante;2013;5,4
Cavalcante;2014;4,8
Cavalcante;2015;3,2
Cavalcante;2016;1,6
Cavalcante;2017;4,9
Cavalcante;2018;1,9
Ceres;2013;7,2
Ceres;2014;8,6
Ceres;2015;7,1
Ceres;2016;5
Ceres;2017;4,8
Ceres;2018;4,9
Cezarina;2013;6,7
Cezarina;2014;6,6
Cezarina;2015;1,4
Cezarina;2016;6
Cezarina;2017;6,3
Cezarina;2018;11,2
Chapadão do Céu;2013;7,5
Chapadão do Céu;2014;8,7
Chapadão do Céu;2015;9,4
Chapadão do Céu;2016;9
Chapadão do Céu;2017;4,8
Chapadão do Céu;2018;3,8
Cidade Ocidental;2013;7,5
Cidade Ocidental;2014;6,4
Cidade Ocidental;2015;7,3
Cidade Ocidental;2016;7
Cidade Ocidental;2017;4,3
Cidade Ocidental;2018;2
Cocalzinho de Goiás;2013;8,5
Cocalzinho de Goiás;2014;20,3
Cocalzinho de Goiás;2015;7,5
Cocalzinho de Goiás;2016;4,1
Cocalzinho de Goiás;2017;6,7
Cocalzinho de Goiás;2018;1,7
Colinas do Sul;2013;0
Colinas do Sul;2014;0,5
Colinas do Sul;2015;3,9
Colinas do Sul;2016;6,9
Colinas do Sul;2017;3,6
Colinas do Sul;2018;4,8
Córrego do Ouro;2013;18,1
Córrego do Ouro;2014;15,3
Córrego do Ouro;2015;5,1
