"Localidade";"Ano";"Produto Interno Bruto a Preços Correntes - PIB (R$ mil)";"Produto Interno Bruto per Capita (R$)";"Valor Adicionado Bruto a Preços Básicos - Total (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Agropecuária (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Indústria (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Serviços (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Administração Pública (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Impostos (R$ mil)"
"Luziânia";"2010";"2.167.164";"12.416,01";"1.964.840";"191.191";"609.187";"769.224";"395.238";"202.324"
"Luziânia";"2011";"2.388.584";"13.487,28";"2.154.563";"194.185";"623.285";"884.920";"452.172";"234.021"
"Luziânia";"2012";"2.730.007";"15.202,01";"2.487.830";"248.819";"729.738";"1.012.883";"496.390";"242.176"
"Luziânia";"2013";"3.104.880";"16.499,43";"2.833.090";"252.205";"939.767";"1.090.703";"550.414";"271.790"
"Luziânia";"2014";"3.094.565";"16.190,13";"2.830.822";"266.360";"827.166";"1.150.319";"586.977";"263.743"
"Luziânia";"2015";"3.353.794";"17.284,12";"3.061.878";"293.220";"891.855";"1.227.020";"649.782";"291.916"
"Luziânia";"2016";"3.439.433";"17.471,11";"3.142.800";"332.040";"896.319";"1.247.423";"667.018";"296.633"
"Mairipotaba";"2002";"18.136";"...";"17.410";"6.621";"3.296";"7.494";"3.701";"726"
"Mairipotaba";"2003";"20.045";"...";"19.140";"7.516";"3.792";"7.832";"3.627";"905"
"Mairipotaba";"2004";"20.614";"...";"19.800";"7.303";"3.618";"8.879";"4.691";"813"
"Mairipotaba";"2005";"18.590";"...";"17.855";"6.002";"2.869";"8.984";"4.977";"735"
"Mairipotaba";"2006";"19.040";"...";"18.143";"5.480";"2.120";"10.543";"5.603";"897"
"Mairipotaba";"2007";"23.595";"...";"22.538";"6.904";"3.169";"12.464";"6.737";"1.058"
"Mairipotaba";"2008";"24.518";"...";"23.368";"8.984";"1.203";"13.182";"7.365";"1.150"
"Mairipotaba";"2009";"29.478";"...";"28.247";"12.163";"1.394";"14.690";"7.913";"1.230"
"Mairipotaba";"2010";"31.072";"13.066,48";"29.804";"13.784";"1.506";"6.552";"7.962";"1.268"
"Mairipotaba";"2011";"35.276";"14.871,87";"33.828";"16.113";"1.761";"7.099";"8.854";"1.448"
"Mairipotaba";"2012";"39.502";"16.667,35";"37.869";"19.117";"1.637";"7.726";"9.389";"1.633"
"Mairipotaba";"2013";"43.490";"17.875,13";"41.982";"21.742";"1.959";"7.388";"10.894";"1.508"
"Mairipotaba";"2014";"40.141";"16.498,50";"38.667";"16.901";"1.732";"7.834";"12.200";"1.474"
"Mairipotaba";"2015";"45.488";"18.703,85";"43.878";"21.902";"1.867";"7.993";"12.116";"1.610"
"Mairipotaba";"2016";"56.144";"23.085,43";"54.350";"29.122";"2.370";"9.611";"13.248";"1.793"
"Mambaí";"2002";"10.852";"...";"10.076";"1.129";"567";"8.380";"4.721";"776"
"Mambaí";"2003";"12.908";"...";"12.028";"1.268";"580";"10.180";"6.024";"880"
"Mambaí";"2004";"15.555";"...";"14.493";"972";"1.178";"12.343";"6.907";"1.061"
"Mambaí";"2005";"27.971";"...";"26.485";"858";"9.520";"16.108";"7.641";"1.486"
"Mambaí";"2006";"24.253";"...";"22.118";"1.649";"1.902";"18.568";"8.585";"2.134"
"Mambaí";"2007";"30.928";"...";"26.920";"1.461";"2.779";"22.680";"11.000";"4.007"
"Mambaí";"2008";"32.698";"...";"29.152";"1.307";"1.709";"26.136";"12.964";"3.546"
"Mambaí";"2009";"32.896";"...";"29.426";"1.699";"1.600";"26.126";"14.095";"3.470"
"Mambaí";"2010";"37.958";"5.513,07";"33.468";"1.594";"1.977";"13.532";"16.365";"4.489"
"Mambaí";"2011";"45.464";"6.468,99";"39.266";"1.663";"2.168";"17.368";"18.067";"6.198"
"Mambaí";"2012";"55.044";"7.668,40";"48.583";"3.425";"2.625";"22.616";"19.917";"6.461"
"Mambaí";"2013";"61.678";"8.119,80";"53.837";"2.215";"3.579";"25.401";"22.643";"7.840"
"Mambaí";"2014";"70.617";"9.086,14";"62.436";"2.381";"3.768";"29.542";"26.744";"8.182"
"Mambaí";"2015";"70.590";"8.884,83";"63.880";"2.322";"4.254";"30.916";"26.388";"6.709"
"Mambaí";"2016";"76.397";"9.424,74";"70.268";"2.968";"8.115";"30.496";"28.689";"6.129"
"Mara Rosa";"2002";"47.084";"...";"44.213";"14.924";"1.891";"27.398";"12.866";"2.871"
"Mara Rosa";"2003";"50.806";"...";"47.322";"16.528";"2.342";"28.452";"12.850";"3.484"
"Mara Rosa";"2004";"52.609";"...";"48.957";"16.162";"3.152";"29.642";"12.550";"3.652"
"Mara Rosa";"2005";"50.104";"...";"46.278";"12.208";"3.157";"30.912";"12.433";"3.827"
"Mara Rosa";"2006";"58.096";"...";"54.144";"10.888";"3.712";"39.544";"17.443";"3.952"
"Mara Rosa";"2007";"68.781";"...";"64.396";"15.111";"4.714";"44.571";"19.770";"4.385"
"Mara Rosa";"2008";"79.153";"...";"74.290";"20.386";"4.887";"49.018";"21.853";"4.863"
"Mara Rosa";"2009";"84.455";"...";"78.601";"24.240";"5.281";"49.080";"21.189";"5.854"
"Mara Rosa";"2010";"103.271";"9.688,66";"93.802";"28.638";"7.544";"32.071";"25.548";"9.470"
"Mara Rosa";"2011";"113.157";"10.725,79";"104.037";"31.010";"9.359";"35.759";"27.908";"9.120"
"Mara Rosa";"2012";"130.646";"12.496,03";"123.087";"35.051";"15.213";"42.986";"29.836";"7.559"
"Mara Rosa";"2013";"145.408";"13.704,80";"136.146";"42.819";"12.440";"47.333";"33.554";"9.262"
"Mara Rosa";"2014";"161.299";"15.345,70";"150.621";"41.731";"13.990";"58.320";"36.580";"10.678"
"Mara Rosa";"2015";"174.078";"16.715,77";"163.478";"43.625";"15.952";"61.170";"42.731";"10.600"
"Mara Rosa";"2016";"178.312";"17.278,33";"167.340";"45.508";"15.801";"64.818";"41.213";"10.972"
"Marzagão";"2002";"8.684";"...";"8.021";"2.314";"371";"5.335";"2.945";"663"
"Marzagão";"2003";"10.190";"...";"9.424";"2.605";"404";"6.416";"3.472";"765"
"Marzagão";"2004";"10.719";"...";"10.103";"2.612";"491";"7.000";"3.948";"615"
"Marzagão";"2005";"11.563";"...";"10.921";"2.349";"472";"8.100";"4.736";"642"
"Marzagão";"2006";"12.957";"...";"12.278";"2.178";"736";"9.364";"5.366";"679"
"Marzagão";"2007";"13.807";"...";"13.070";"2.557";"779";"9.734";"5.823";"736"
"Marzagão";"2008";"20.544";"...";"19.415";"3.196";"4.593";"11.625";"6.840";"1.129"
"Marzagão";"2009";"23.729";"...";"22.340";"4.415";"5.508";"12.417";"6.516";"1.389"
"Marzagão";"2010";"28.164";"13.592,50";"26.490";"5.914";"6.727";"6.723";"7.126";"1.674"
"Marzagão";"2011";"29.849";"14.322,96";"27.979";"6.777";"5.976";"7.311";"7.915";"1.870"
"Marzagão";"2012";"34.574";"16.503,00";"32.342";"7.620";"6.362";"9.099";"9.260";"2.232"
"Marzagão";"2013";"36.727";"16.932,67";"34.021";"9.792";"1.704";"12.041";"10.485";"2.706"
"Marzagão";"2014";"37.602";"17.217,03";"34.796";"7.867";"2.050";"13.430";"11.449";"2.806"
"Marzagão";"2015";"35.093";"15.965,81";"32.691";"7.076";"1.819";"11.869";"11.926";"2.402"
"Marzagão";"2016";"37.789";"17.083,52";"35.029";"7.386";"2.077";"13.501";"12.065";"2.760"
"Matrinchã";"2002";"25.018";"...";"23.499";"10.132";"1.068";"12.299";"5.467";"1.519"
"Matrinchã";"2003";"30.194";"...";"28.089";"12.142";"1.333";"14.614";"5.926";"2.105"
"Matrinchã";"2004";"29.212";"...";"27.332";"12.890";"1.316";"13.126";"6.078";"1.880"
"Matrinchã";"2005";"27.672";"...";"25.784";"9.894";"1.115";"14.776";"7.000";"1.888"
"Matrinchã";"2006";"28.366";"...";"26.461";"8.252";"1.271";"16.939";"8.071";"1.905"
"Matrinchã";"2007";"32.020";"...";"30.019";"10.657";"1.473";"17.890";"8.311";"2.001"
"Matrinchã";"2008";"37.897";"...";"35.571";"13.241";"1.634";"20.696";"9.625";"2.326"
"Matrinchã";"2009";"42.117";"...";"39.753";"15.327";"2.023";"22.403";"9.537";"2.364"
"Matrinchã";"2010";"51.471";"11.660,81";"48.656";"19.950";"2.772";"14.527";"11.408";"2.814"
"Matrinchã";"2011";"70.471";"15.994,29";"66.734";"31.837";"3.679";"18.382";"12.836";"3.737"
"Matrinchã";"2012";"68.541";"15.584,55";"64.138";"24.356";"3.480";"21.980";"14.322";"4.403"
"Matrinchã";"2013";"71.279";"15.804,74";"67.361";"25.925";"3.987";"21.417";"16.031";"3.919"
"Matrinchã";"2014";"78.420";"17.407,26";"74.180";"30.072";"3.701";"23.143";"17.265";"4.239"
"Matrinchã";"2015";"86.676";"19.261,44";"82.108";"33.643";"4.038";"25.966";"18.460";"4.569"
"Matrinchã";"2016";"97.712";"21.738,00";"92.902";"40.729";"4.467";"28.732";"18.974";"4.810"
"Maurilândia";"2002";"66.231";"...";"62.449";"33.406";"3.328";"25.715";"9.281";"3.783"
"Maurilândia";"2003";"60.872";"...";"56.998";"26.923";"2.640";"27.436";"10.852";"3.874"
"Maurilândia";"2004";"54.820";"...";"51.637";"20.103";"2.567";"28.967";"11.408";"3.183"
"Maurilândia";"2005";"64.300";"...";"60.134";"22.272";"2.695";"35.166";"14.220";"4.167"
"Maurilândia";"2006";"66.247";"...";"62.417";"18.313";"3.973";"40.130";"16.403";"3.830"
"Maurilândia";"2007";"77.204";"...";"73.032";"23.182";"4.751";"45.099";"19.177";"4.173"
"Maurilândia";"2008";"88.742";"...";"83.434";"25.335";"4.917";"53.182";"21.687";"5.308"
"Maurilândia";"2009";"94.730";"...";"90.435";"30.138";"6.234";"54.063";"22.554";"4.295"
"Maurilândia";"2010";"99.988";"8.682,56";"94.442";"24.200";"8.383";"35.269";"26.590";"5.547"
"Maurilândia";"2011";"129.025";"11.011,75";"121.381";"41.714";"11.601";"38.787";"29.278";"7.644"
"Maurilândia";"2012";"146.461";"12.300,44";"138.119";"47.177";"10.492";"49.047";"31.403";"8.342"
"Maurilândia";"2013";"168.450";"13.461,98";"159.581";"57.628";"12.643";"51.575";"37.734";"8.869"
"Maurilândia";"2014";"180.372";"14.161,29";"170.065";"55.610";"14.695";"57.854";"41.906";"10.307"
"Maurilândia";"2015";"181.436";"14.004,05";"170.691";"53.109";"14.643";"57.441";"45.498";"10.746"
"Maurilândia";"2016";"187.651";"14.248,34";"177.671";"62.641";"10.739";"55.518";"48.773";"9.980"
"Mimoso de Goiás";"2002";"11.852";"...";"11.528";"6.193";"455";"4.880";"3.155";"325"
"Mimoso de Goiás";"2003";"14.162";"...";"13.750";"7.818";"613";"5.319";"3.382";"412"
"Mimoso de Goiás";"2004";"20.696";"...";"20.191";"12.725";"1.020";"6.446";"3.570";"505"
"Mimoso de Goiás";"2005";"16.356";"...";"15.810";"8.713";"648";"6.449";"3.760";"546"
"Mimoso de Goiás";"2006";"13.591";"...";"13.080";"5.596";"617";"6.867";"4.352";"510"
"Mimoso de Goiás";"2007";"20.382";"...";"19.732";"9.300";"989";"9.442";"6.286";"650"
"Mimoso de Goiás";"2008";"25.535";"...";"24.762";"12.246";"1.102";"11.414";"7.521";"772"
"Mimoso de Goiás";"2009";"28.764";"...";"28.011";"15.611";"1.265";"11.135";"7.001";"753"
"Mimoso de Goiás";"2010";"30.961";"11.531,27";"30.158";"16.884";"1.597";"4.293";"7.384";"803"
"Mimoso de Goiás";"2011";"38.930";"14.542,38";"37.852";"22.260";"1.915";"5.462";"8.216";"1.077"
"Mimoso de Goiás";"2012";"46.676";"17.494,69";"45.411";"28.013";"2.155";"6.458";"8.783";"1.265"
"Mimoso de Goiás";"2013";"65.179";"23.875,17";"63.520";"40.457";"3.860";"8.813";"10.391";"1.659"
"Mimoso de Goiás";"2014";"46.626";"17.122,93";"44.972";"23.778";"2.671";"6.599";"11.924";"1.653"
"Mimoso de Goiás";"2015";"37.052";"13.647,10";"35.558";"15.152";"1.865";"5.935";"12.606";"1.494"
"Mimoso de Goiás";"2016";"41.364";"15.274,88";"40.040";"19.469";"1.948";"6.288";"12.335";"1.325"
"Minaçu";"2002";"585.900";"...";"561.887";"8.644";"452.158";"101.086";"37.955";"24.013"
"Minaçu";"2003";"546.416";"...";"524.699";"11.479";"405.880";"107.340";"42.048";"21.717"
"Minaçu";"2004";"614.394";"...";"591.222";"11.544";"463.810";"115.868";"48.832";"23.171"
"Minaçu";"2005";"605.547";"...";"580.169";"10.196";"439.391";"130.582";"56.968";"25.378"
"Minaçu";"2006";"649.861";"...";"622.077";"9.532";"458.480";"154.065";"60.656";"27.784"
"Minaçu";"2007";"822.398";"...";"787.118";"11.213";"604.692";"171.212";"65.177";"35.280"
"Minaçu";"2008";"842.203";"...";"809.580";"13.795";"615.684";"180.101";"71.052";"32.623"
"Minaçu";"2009";"760.202";"...";"721.193";"14.926";"502.389";"203.878";"74.634";"39.009"
"Minaçu";"2010";"930.915";"29.885,86";"887.707";"17.398";"667.215";"123.281";"79.812";"43.207"
"Minaçu";"2011";"1.176.242";"37.984,95";"1.124.202";"18.190";"854.163";"156.429";"95.420";"52.040"
"Minaçu";"2012";"1.281.288";"41.621,87";"1.227.252";"19.483";"910.039";"188.453";"109.277";"54.035"
"Minaçu";"2013";"964.760";"30.740,51";"909.201";"22.327";"568.733";"192.425";"125.717";"55.559"
"Minaçu";"2014";"902.503";"28.920,82";"837.227";"27.479";"455.048";"214.746";"139.954";"65.276"
"Minaçu";"2015";"1.553.254";"50.054,91";"1.502.815";"34.502";"1.122.634";"208.467";"137.213";"50.438"
"Minaçu";"2016";"993.831";"32.202,43";"948.538";"37.485";"581.911";"195.537";"133.604";"45.294"
"Mineiros";"2002";"411.020";"...";"380.508";"164.700";"28.355";"187.454";"45.610";"30.512"
"Mineiros";"2003";"497.563";"...";"453.415";"173.575";"45.201";"234.638";"55.182";"44.148"
"Mineiros";"2004";"614.189";"...";"567.098";"233.396";"65.425";"268.278";"62.331";"47.090"
"Mineiros";"2005";"518.306";"...";"473.713";"131.481";"71.465";"270.767";"68.799";"44.593"
"Mineiros";"2006";"515.092";"...";"470.692";"102.480";"68.113";"300.099";"79.013";"44.400"
"Mineiros";"2007";"709.038";"...";"649.412";"175.112";"106.153";"368.147";"89.487";"59.626"
"Mineiros";"2008";"858.302";"...";"780.473";"223.577";"115.676";"441.220";"103.699";"77.829"
"Mineiros";"2009";"965.678";"...";"880.923";"253.330";"148.431";"479.162";"102.787";"84.755"
"Mineiros";"2010";"1.173.434";"22.155,31";"1.074.095";"323.596";"201.801";"419.304";"129.394";"99.339"
"Mineiros";"2011";"1.268.723";"23.493,57";"1.136.817";"274.472";"216.774";"496.485";"149.087";"131.906"
"Mineiros";"2012";"1.538.905";"27.961,79";"1.387.168";"320.551";"270.193";"624.519";"171.905";"151.737"
"Mineiros";"2013";"1.788.536";"30.803,89";"1.606.728";"363.221";"360.179";"680.068";"203.260";"181.808"
"Mineiros";"2014";"1.920.190";"32.394,61";"1.724.769";"374.786";"327.918";"797.179";"224.886";"195.421"
"Mineiros";"2015";"2.042.847";"33.786,17";"1.833.698";"376.956";"379.971";"830.902";"245.869";"209.149"
"Mineiros";"2016";"2.261.801";"36.703,84";"2.058.114";"477.335";"464.288";"851.973";"264.518";"203.686"
"Moiporá";"2002";"8.874";"...";"8.463";"3.469";"394";"4.599";"2.848";"411"
"Moiporá";"2003";"10.727";"...";"10.176";"4.258";"444";"5.474";"3.302";"551"
"Moiporá";"2004";"11.345";"...";"10.798";"4.717";"500";"5.582";"3.334";"547"
"Moiporá";"2005";"11.491";"...";"10.878";"4.327";"500";"6.050";"3.566";"614"
"Moiporá";"2006";"12.319";"...";"11.669";"3.928";"618";"7.123";"4.189";"650"
"Moiporá";"2007";"13.662";"...";"12.950";"4.567";"679";"7.704";"4.600";"712"
"Moiporá";"2008";"15.906";"...";"15.169";"5.809";"758";"8.602";"5.290";"737"
"Moiporá";"2009";"15.602";"...";"14.989";"6.248";"591";"8.151";"5.034";"613"
"Moiporá";"2010";"18.905";"10.723,14";"18.187";"7.578";"793";"3.623";"6.194";"718"
"Moiporá";"2011";"20.572";"11.795,81";"19.735";"8.347";"819";"3.938";"6.631";"837"
"Moiporá";"2012";"23.376";"13.558,95";"22.322";"9.166";"976";"5.075";"7.105";"1.054"
"Moiporá";"2013";"27.872";"15.981,89";"26.696";"11.258";"1.367";"5.406";"8.666";"1.176"
"Moiporá";"2014";"30.594";"17.745,86";"29.383";"12.303";"1.391";"5.940";"9.748";"1.211"
"Moiporá";"2015";"33.372";"19.584,72";"32.126";"14.470";"1.365";"6.150";"10.140";"1.246"
"Moiporá";"2016";"34.499";"20.486,08";"33.239";"15.332";"1.403";"6.172";"10.332";"1.260"
"Monte Alegre de Goiás";"2002";"20.404";"...";"19.632";"7.988";"444";"11.200";"7.310";"773"
"Monte Alegre de Goiás";"2003";"22.657";"...";"21.632";"9.515";"468";"11.648";"7.174";"1.025"
"Monte Alegre de Goiás";"2004";"23.941";"...";"22.906";"10.061";"557";"12.289";"7.634";"1.035"
"Monte Alegre de Goiás";"2005";"25.111";"...";"23.925";"8.899";"561";"14.465";"8.928";"1.186"
"Monte Alegre de Goiás";"2006";"27.577";"...";"26.243";"8.266";"918";"17.059";"10.166";"1.334"
"Monte Alegre de Goiás";"2007";"32.347";"...";"30.883";"10.382";"1.061";"19.441";"12.058";"1.464"
"Monte Alegre de Goiás";"2008";"40.754";"...";"38.864";"12.475";"2.751";"23.639";"14.230";"1.890"
"Monte Alegre de Goiás";"2009";"39.156";"...";"37.595";"13.822";"1.261";"22.512";"13.995";"1.561"
"Monte Alegre de Goiás";"2010";"47.084";"6.081,66";"45.249";"16.516";"1.517";"9.587";"17.628";"1.835"
"Monte Alegre de Goiás";"2011";"52.470";"6.731,28";"50.301";"18.333";"1.588";"10.388";"19.991";"2.169"
"Monte Alegre de Goiás";"2012";"58.798";"7.483,53";"56.465";"20.333";"2.249";"11.943";"21.940";"2.333"
"Monte Alegre de Goiás";"2013";"64.423";"7.889,20";"61.338";"22.283";"2.213";"12.251";"24.592";"3.085"
"Monte Alegre de Goiás";"2014";"73.868";"8.961,29";"70.709";"24.165";"2.648";"15.375";"28.522";"3.159"
"Monte Alegre de Goiás";"2015";"77.312";"9.293,37";"73.728";"27.199";"2.416";"16.018";"28.094";"3.584"
"Monte Alegre de Goiás";"2016";"81.674";"9.732,41";"77.856";"29.022";"2.342";"16.331";"30.160";"3.819"
"Montes Claros de Goiás";"2002";"48.544";"...";"45.921";"23.287";"1.733";"20.901";"9.323";"2.622"
"Montes Claros de Goiás";"2003";"58.349";"...";"54.999";"27.343";"2.229";"25.427";"11.790";"3.350"
"Montes Claros de Goiás";"2004";"77.654";"...";"74.007";"40.177";"3.284";"30.547";"13.016";"3.647"
"Montes Claros de Goiás";"2005";"71.032";"...";"66.907";"31.981";"2.493";"32.432";"13.468";"4.126"
"Montes Claros de Goiás";"2006";"70.862";"...";"66.020";"26.931";"2.642";"36.447";"14.404";"4.842"
"Montes Claros de Goiás";"2007";"74.663";"...";"69.732";"30.439";"3.103";"36.189";"13.565";"4.932"
"Montes Claros de Goiás";"2008";"98.206";"...";"92.151";"39.807";"3.651";"48.692";"19.622";"6.055"
"Montes Claros de Goiás";"2009";"103.795";"...";"98.451";"44.711";"4.331";"49.409";"18.372";"5.343"
"Montes Claros de Goiás";"2010";"129.955";"16.244,38";"121.903";"55.134";"6.449";"39.807";"20.514";"8.052"
"Montes Claros de Goiás";"2011";"155.994";"19.531,04";"145.835";"68.448";"7.744";"46.467";"23.176";"10.159"
"Montes Claros de Goiás";"2012";"205.135";"25.683,58";"193.023";"98.370";"10.032";"58.756";"25.864";"12.112"
"Montes Claros de Goiás";"2013";"213.652";"26.023,43";"199.214";"96.607";"11.392";"63.436";"27.780";"14.438"
"Montes Claros de Goiás";"2014";"252.848";"30.771,31";"237.986";"126.543";"14.011";"67.386";"30.047";"14.861"
"Montes Claros de Goiás";"2015";"248.096";"30.167,33";"234.927";"119.762";"12.588";"70.008";"32.569";"13.169"
"Montes Claros de Goiás";"2016";"286.465";"34.807,44";"272.552";"148.126";"13.370";"77.315";"33.740";"13.914"
"Montividiu";"2002";"270.345";"...";"261.518";"172.300";"16.866";"72.351";"11.673";"8.827"
"Montividiu";"2003";"244.133";"...";"233.828";"152.653";"13.494";"67.681";"11.821";"10.305"
"Montividiu";"2004";"242.093";"...";"232.222";"145.121";"14.692";"72.409";"14.429";"9.871"
"Montividiu";"2005";"200.283";"...";"190.815";"106.038";"10.606";"74.172";"18.615";"9.467"
"Montividiu";"2006";"168.107";"...";"159.146";"73.581";"11.225";"74.341";"19.695";"8.960"
"Montividiu";"2007";"210.683";"...";"199.547";"96.309";"15.755";"87.484";"22.317";"11.136"
"Montividiu";"2008";"316.632";"...";"300.963";"169.538";"22.989";"108.436";"25.783";"15.669"
"Montividiu";"2009";"399.766";"...";"379.853";"222.418";"37.220";"120.215";"23.972";"19.912"
"Montividiu";"2010";"385.212";"36.423,27";"359.817";"184.441";"45.328";"100.058";"29.990";"25.396"
"Montividiu";"2011";"508.238";"47.102,64";"477.021";"261.227";"45.473";"134.801";"35.520";"31.217"
"Montividiu";"2012";"594.104";"54.004,51";"561.793";"316.071";"47.427";"156.908";"41.388";"32.310"
"Montividiu";"2013";"642.882";"55.368,37";"611.070";"340.141";"58.645";"163.986";"48.297";"31.812"
"Montividiu";"2014";"588.085";"49.593,91";"555.322";"287.709";"41.311";"170.612";"55.691";"32.762"
"Montividiu";"2015";"583.053";"48.182,25";"551.223";"273.678";"45.869";"173.705";"57.970";"31.830"
"Montividiu";"2016";"728.017";"59.010,83";"695.876";"391.683";"43.506";"200.611";"60.077";"32.140"
"Montividiu do Norte";"2002";"13.227";"...";"12.699";"6.222";"279";"6.198";"4.147";"527"
"Montividiu do Norte";"2003";"16.341";"...";"15.612";"7.635";"353";"7.624";"4.955";"729"
"Montividiu do Norte";"2004";"18.334";"...";"17.521";"7.695";"460";"9.366";"6.176";"813"
"Montividiu do Norte";"2005";"19.232";"...";"18.290";"6.848";"527";"10.915";"7.193";"943"
"Montividiu do Norte";"2006";"21.179";"...";"20.087";"6.036";"1.527";"12.525";"7.979";"1.092"
"Montividiu do Norte";"2007";"23.842";"...";"22.799";"7.114";"1.855";"13.830";"8.931";"1.043"
"Montividiu do Norte";"2008";"27.451";"...";"26.332";"9.571";"1.348";"15.412";"10.036";"1.119"
"Montividiu do Norte";"2009";"31.140";"...";"29.995";"10.963";"2.485";"16.546";"10.484";"1.146"
"Montividiu do Norte";"2010";"34.341";"8.347,33";"33.035";"12.934";"2.620";"6.542";"10.938";"1.306"
"Montividiu do Norte";"2011";"35.945";"8.665,61";"34.393";"13.800";"1.352";"6.925";"12.316";"1.552"
"Montividiu do Norte";"2012";"41.315";"9.900,43";"39.570";"16.519";"1.732";"8.222";"13.098";"1.744"
"Montividiu do Norte";"2013";"46.539";"10.760,47";"44.662";"18.574";"2.259";"8.606";"15.223";"1.877"
"Montividiu do Norte";"2014";"52.007";"11.939,17";"49.926";"21.293";"1.941";"9.592";"17.099";"2.081"
"Montividiu do Norte";"2015";"59.146";"13.482,12";"56.665";"23.540";"2.724";"12.164";"18.237";"2.481"
"Montividiu do Norte";"2016";"61.487";"13.920,45";"58.692";"24.307";"2.689";"13.085";"18.611";"2.795"
"Morrinhos";"2002";"278.648";"...";"248.221";"64.017";"33.572";"150.632";"40.291";"30.427"
"Morrinhos";"2003";"321.103";"...";"292.095";"88.489";"45.648";"157.958";"46.824";"29.008"
"Morrinhos";"2004";"326.991";"...";"298.536";"84.879";"45.988";"167.670";"49.448";"28.455"
"Morrinhos";"2005";"339.801";"...";"307.840";"70.082";"51.260";"186.498";"55.852";"31.961"
"Morrinhos";"2006";"382.262";"...";"345.067";"63.517";"64.843";"216.707";"62.257";"37.195"
"Morrinhos";"2007";"429.953";"...";"387.213";"79.330";"71.704";"236.178";"66.842";"42.741"
"Morrinhos";"2008";"498.327";"...";"447.645";"97.066";"79.564";"271.015";"78.353";"50.682"
"Morrinhos";"2009";"607.593";"...";"550.553";"136.200";"107.396";"306.957";"80.374";"57.040"
"Morrinhos";"2010";"667.440";"16.099,57";"596.065";"148.959";"109.590";"242.351";"95.165";"71.375"
"Morrinhos";"2011";"840.183";"20.098,15";"751.116";"219.972";"132.234";"290.512";"108.397";"89.067"
"Morrinhos";"2012";"973.594";"23.106,54";"871.210";"241.708";"163.934";"345.450";"120.118";"102.384"
"Morrinhos";"2013";"1.090.314";"24.897,56";"987.468";"275.141";"213.261";"365.234";"133.833";"102.846"
"Morrinhos";"2014";"1.115.226";"25.229,07";"1.012.208";"238.879";"205.729";"419.346";"148.254";"103.018"
"Morrinhos";"2015";"1.143.758";"25.640,77";"1.035.827";"225.421";"208.673";"445.298";"156.434";"107.931"
"Morrinhos";"2016";"1.242.959";"27.621,32";"1.133.157";"264.588";"236.173";"466.187";"166.209";"109.803"
"Morro Agudo de Goiás";"2002";"8.768";"...";"8.397";"2.629";"303";"5.464";"3.530";"371"
"Morro Agudo de Goiás";"2003";"10.371";"...";"9.888";"3.125";"364";"6.398";"4.101";"483"
"Morro Agudo de Goiás";"2004";"10.492";"...";"10.051";"3.475";"322";"6.254";"3.976";"441"
"Morro Agudo de Goiás";"2005";"10.944";"...";"10.430";"2.862";"330";"7.238";"4.617";"515"
"Morro Agudo de Goiás";"2006";"11.998";"...";"11.431";"2.838";"496";"8.097";"5.076";"567"
"Morro Agudo de Goiás";"2007";"13.509";"...";"12.945";"3.225";"1.067";"8.653";"5.487";"564"
"Morro Agudo de Goiás";"2008";"15.103";"...";"14.406";"4.031";"569";"9.806";"6.090";"697"
"Morro Agudo de Goiás";"2009";"16.281";"...";"15.585";"4.728";"630";"10.228";"5.996";"696"
"Morro Agudo de Goiás";"2010";"20.177";"8.531,43";"19.317";"6.491";"915";"4.750";"7.161";"860"
"Morro Agudo de Goiás";"2011";"22.630";"9.646,01";"21.542";"7.281";"908";"5.350";"8.003";"1.088"
"Morro Agudo de Goiás";"2012";"25.337";"10.846,51";"24.072";"8.041";"976";"6.534";"8.522";"1.265"
"Morro Agudo de Goiás";"2013";"28.247";"11.833,79";"26.883";"9.125";"1.210";"6.747";"9.801";"1.364"
"Morro Agudo de Goiás";"2014";"32.664";"13.735,73";"31.093";"10.107";"1.319";"8.395";"11.272";"1.571"
"Morro Agudo de Goiás";"2015";"32.791";"13.841,56";"31.436";"11.044";"1.217";"7.543";"11.633";"1.355"
"Morro Agudo de Goiás";"2016";"35.865";"15.196,89";"34.428";"12.030";"1.392";"8.173";"12.833";"1.437"
"Mossâmedes";"2002";"20.397";"...";"19.491";"8.710";"647";"10.134";"5.970";"906"
"Mossâmedes";"2003";"23.606";"...";"22.476";"10.012";"658";"11.805";"7.010";"1.130"
"Mossâmedes";"2004";"24.926";"...";"23.792";"9.880";"822";"13.090";"7.903";"1.134"
"Mossâmedes";"2005";"23.163";"...";"21.902";"8.418";"640";"12.844";"7.436";"1.262"
"Mossâmedes";"2006";"25.344";"...";"23.996";"8.556";"751";"14.688";"8.205";"1.348"
"Mossâmedes";"2007";"29.714";"...";"28.306";"11.403";"870";"16.033";"9.257";"1.408"
"Mossâmedes";"2008";"33.085";"...";"31.537";"13.250";"1.163";"17.125";"9.678";"1.548"
"Mossâmedes";"2009";"39.870";"...";"38.265";"16.951";"1.435";"19.879";"11.051";"1.605"
