Localidade	Ano	Gini
Bela Vista de Goiás	2010	0,52
Bom Jardim de Goiás	1991	0,52
Bom Jardim de Goiás	2000	0,57
Bom Jardim de Goiás	2010	0,5
Bom Jesus de Goiás	1991	0,53
Bom Jesus de Goiás	2000	0,59
Bom Jesus de Goiás	2010	0,51
Bonfinópolis	1991	0,46
Bonfinópolis	2000	0,52
Bonfinópolis	2010	0,45
Bonópolis	1991	0,54
Bonópolis	2000	0,6
Bonópolis	2010	0,43
Brazabrantes	1991	0,51
Brazabrantes	2000	0,48
Brazabrantes	2010	0,41
Britânia	1991	0,51
Britânia	2000	0,5
Britânia	2010	0,56
Buriti Alegre	1991	0,56
Buriti Alegre	2000	0,54
Buriti Alegre	2010	0,45
Buriti de Goiás	1991	0,48
Buriti de Goiás	2000	0,49
Buriti de Goiás	2010	0,49
Buritinópolis	1991	0,55
Buritinópolis	2000	0,59
Buritinópolis	2010	0,78
Cabeceiras	1991	0,56
Cabeceiras	2000	0,57
Cabeceiras	2010	0,5
Cachoeira Alta	1991	0,61
Cachoeira Alta	2000	0,59
Cachoeira Alta	2010	0,52
Cachoeira de Goiás	1991	0,49
Cachoeira de Goiás	2000	0,54
Cachoeira de Goiás	2010	0,47
Cachoeira Dourada	1991	0,49
Cachoeira Dourada	2000	0,6
Cachoeira Dourada	2010	0,48
Caçu	1991	0,62
Caçu	2000	0,58
Caçu	2010	0,54
Caiapônia	1991	0,57
Caiapônia	2000	0,56
Caiapônia	2010	0,53
Caldas Novas	1991	0,55
Caldas Novas	2000	0,61
Caldas Novas	2010	0,51
Caldazinha	1991	0,47
Caldazinha	2000	0,55
Caldazinha	2010	0,47
Campestre de Goiás	1991	0,51
Campestre de Goiás	2000	0,54
Campestre de Goiás	2010	0,45
Campinaçu	1991	0,53
Campinaçu	2000	0,57
Campinaçu	2010	0,56
Campinorte	1991	0,59
Campinorte	2000	0,56
Campinorte	2010	0,49
Campo Alegre de Goiás	1991	0,65
Campo Alegre de Goiás	2000	0,6
Campo Alegre de Goiás	2010	0,47
Campo Limpo de Goiás	1991	
Campo Limpo de Goiás	2000	
Campo Limpo de Goiás	2010	0,43
Campos Belos	1991	0,58
Campos Belos	2000	0,61
Campos Belos	2010	0,56
Campos Verdes	1991	0,54
Campos Verdes	2000	0,63
Campos Verdes	2010	0,47
Carmo do Rio Verde	1991	0,48
Carmo do Rio Verde	2000	0,54
Carmo do Rio Verde	2010	0,46
Castelândia	1991	0,52
Castelândia	2000	0,58
Castelândia	2010	0,59
Catalão	1991	0,56
Catalão	2000	0,55
Catalão	2010	0,51
Caturaí	1991	0,47
Caturaí	2000	0,5
Caturaí	2010	0,44
Cavalcante	1991	0,55
Cavalcante	2000	0,63
Cavalcante	2010	0,63
