Localidade;Ano;PopulacaoContagemTotal;PopulacaoContagemMasculina;PopulacaoContagemFeminina;PopulacaoContagemUrbana;PopulacaoContagemRural;PopulacaoContagem0-4;PopulacaoContagem5-9;PopulacaoContagem10-14;PopulacaoContagem15-19;PopulacaoContagem20-29;PopulacaoContagem30-39;PopulacaoContagem40-49;PopulacaoContagem50-59;PopulacaoContagem60-69;PopulacaoContagem70-79;PopulacaoContagem80;PopulacaoContagemIdadeIgnorada
Água Limpa;2014;;;;;;;;;;;;;;;;;
Água Limpa;2015;;;;;;;;;;;;;;;;;
Água Limpa;2016;;;;;;;;;;;;;;;;;
Água Limpa;2017;;;;;;;;;;;;;;;;;
Água Limpa;2018;;;;;;;;;;;;;;;;;
Água Limpa;2019;;;;;;;;;;;;;;;;;
Água Limpa;2020;;;;;;;;;;;;;;;;;
Águas Lindas de Goiás;1996;;;;;;;;;;;;;;;;;
Águas Lindas de Goiás;2007;131884;65685;65518;131541;343;24691;20797;18893;17412;34870;37002;15787;5665;2228;852;264;
Águas Lindas de Goiás;2011;;;;;;;;;;;;;;;;;
Águas Lindas de Goiás;2012;;;;;;;;;;;;;;;;;
Águas Lindas de Goiás;2013;;;;;;;;;;;;;;;;;
Águas Lindas de Goiás;2014;;;;;;;;;;;;;;;;;
Águas Lindas de Goiás;2015;;;;;;;;;;;;;;;;;
Águas Lindas de Goiás;2016;;;;;;;;;;;;;;;;;
