Localidade;Ano;IDM Trabalho;Empregos formais;Nível de escolaridade dos trabalhadores;Remuneração mediana;Variação do numero de empregos formais
Faina;2014;1,87;1,04;0,4;1,32;4,72
Faina;2016;2,0575;1,22;4,04;0,92;2,05
Faina;2018;2,5125;1,25;4,18;1,31;3,31
Fazenda Nova;2012;1,675;0,98;2,35;0,63;2,74
Fazenda Nova;2014;2,1425;1,14;0,84;1,31;5,28
Fazenda Nova;2016;2,41;1,39;5,41;0,76;2,08
Fazenda Nova;2018;2,415;1,44;4,32;0,67;3,23
Firminópolis;2012;1,885;0,52;2,47;1,25;3,3
Firminópolis;2014;2,2525;0,67;0,48;2,11;5,75
Firminópolis;2016;3,2975;0,9;8,46;1,25;2,58
Firminópolis;2018;3,3475;0,91;8,23;1,01;3,24
Flores de Goiás;2012;1,8125;0,54;2,42;1,95;2,34
Flores de Goiás;2014;4,5725;0,6;10;2,31;5,38
Flores de Goiás;2016;2,7;0,62;6,39;1,68;2,11
Flores de Goiás;2018;2,875;0,69;4,89;2,36;3,56
Formosa;2012;2,5175;1,33;3,43;1,89;3,42
Formosa;2014;2,35;1,5;0;2,45;5,45
Formosa;2016;3,41;1,78;7,95;1,7;2,21
Formosa;2018;3,585;1,93;7,12;1,74;3,55
Formoso;2012;2,0325;0,63;3;1,91;2,59
Formoso;2014;2,055;0,67;0,38;2,22;4,95
Formoso;2016;2,7175;0,89;6,02;1,57;2,39
Formoso;2018;2,735;0,97;5,19;1,48;3,3
Gameleira de Goiás;2012;2;1,12;1,67;2,13;3,08
Gameleira de Goiás;2014;2,625;1,38;0,49;2,86;5,77
Gameleira de Goiás;2016;3,1475;1,65;6,76;2;2,18
Gameleira de Goiás;2018;3,145;1,97;5,03;1,79;3,79
Goianápolis;2012;2,3025;0,74;2,64;1,95;3,88
Goianápolis;2014;2,315;0,8;0,48;2,92;5,06
Goianápolis;2016;2,97;1,21;6,14;1,65;2,88
Goianápolis;2018;3,24;1,66;5,52;1,8;3,98
Goiandira;2012;2,0825;0,88;2,68;1,98;2,79
Goiandira;2014;2,35;1,03;0,54;2,46;5,37
Goiandira;2016;2,93;1,24;6,49;1,86;2,13
Goiandira;2018;2,97;1,32;5,45;1,74;3,37
Goianésia;2012;2,5125;1,88;2,69;1,94;3,54
Goianésia;2014;2,6025;2;0,51;2,81;5,09
Goianésia;2016;3,4;2,68;6,64;1,71;2,57
Goianésia;2018;3,5;2,92;5,61;1,9;3,57
Goiânia;2012;3,6825;4,66;3,25;3,57;3,25
Goiânia;2014;3,6975;4,86;0,64;4,26;5,03
Goiânia;2016;4,9275;5,79;8,87;2,99;2,06
Goiânia;2018;5,2275;5,68;8,88;3,03;3,32
Goianira;2012;2,3325;1,41;2,4;2;3,52
Goianira;2014;2,74;1,73;0,5;2,91;5,82
Goianira;2016;3,11;1,97;6,52;1,85;2,1
Goianira;2018;3,18;1,85;5,58;2,03;3,26
Goiás;2012;1,9125;1,2;2,49;1,81;2,15
Goiás;2014;2,6175;1,65;0,5;2,3;6,02
Goiás;2016;2,4125;1,65;4,93;1,57;1,5
Goiás;2018;3,24;2,03;5,28;1,92;3,73
Goiatuba;2012;2,74;2,78;1,87;3,34;2,97
Goiatuba;2014;3,2675;2,94;0,39;4,73;5,01
Goiatuba;2016;3,4575;3,54;5,02;3,18;2,09
Goiatuba;2018;3,5325;3,86;3,12;3,61;3,54
Gouvelândia;2012;1,885;1,04;1,37;1,96;3,17
Gouvelândia;2014;2,1675;1,06;0,3;2,34;4,97
Gouvelândia;2016;2,185;1,18;3,43;2,09;2,04
Gouvelândia;2018;2,0825;1,48;1,19;1,86;3,8
Guapó;2012;2,1225;0,92;2,44;2,06;3,07
Guapó;2014;2,0925;0,93;0,51;2,02;4,91
Guapó;2016;2,8875;1,1;6,75;1,57;2,13
Guapó;2018;3,2925;1,34;7,1;1,04;3,69
Guaraíta;2012;2,22;0,8;2,76;2,46;2,86
Guaraíta;2014;2,335;0,98;0,51;2,45;5,4
Guaraíta;2016;3,0575;1,15;7,24;1,82;2,02
Guaraíta;2018;3,285;1,46;6,24;1,83;3,61
Guarani de Goiás;2012;1,905;0,7;2,61;1,16;3,15
Guarani de Goiás;2014;1,3275;0,59;0,53;0;4,19
Guarani de Goiás;2016;2,78;0,69;6,87;1,42;2,14
Guarani de Goiás;2018;3,13;1,29;5,8;0,92;4,51
Guarinos;2012;1,7225;0,86;1,52;0,82;3,69
Guarinos;2014;1,6775;0,9;0,31;0,79;4,71
Guarinos;2016;2,2575;1,21;4,31;1,2;2,31
Guarinos;2018;2,46;1,31;4,38;0,81;3,34
Heitoraí;2012;1,77;0,94;2,35;0,72;3,07
Heitoraí;2014;1,7825;0,99;0,55;0,78;4,81
Heitoraí;2016;2,915;1,2;8,07;0,16;2,23
Heitoraí;2018;2,1425;1,22;3,67;0,27;3,41
Hidrolândia;2012;2,385;1,78;1,87;2,31;3,58
Hidrolândia;2014;2,6725;2,01;0,36;2,91;5,41
Hidrolândia;2016;3,1175;2,77;4,96;1,99;2,75
Hidrolândia;2018;3,14;3,03;3,88;2,01;3,64
Hidrolina;2012;1,6775;1,06;2,41;0,47;2,77
Hidrolina;2014;1,655;1,01;0,39;0,7;4,52
Hidrolina;2016;2,115;1,01;5,23;0,63;1,59
Hidrolina;2018;2,3175;1,2;3,96;0,59;3,52
