Localidade;Ano;IDM Trabalho;Empregos formais;Nível de escolaridade dos trabalhadores;Remuneração mediana;Variação do numero de empregos formais
Caçu;2016;3,5;3,2;5,37;3,15;2,28
Caçu;2018;3,62;3,39;4,41;3,15;3,53
Caiapônia;2012;2,1625;0,94;1,88;2,5;3,33
Caiapônia;2014;2,7425;1,06;0,39;4,16;5,36
Caiapônia;2016;3;1,4;5,08;3,03;2,49
Caiapônia;2018;3,12;1,47;4,49;3,13;3,39
Caldas Novas;2012;2,58;2,57;2,27;1,9;3,58
Caldas Novas;2014;2,81;2,9;0,45;2,39;5,5
Caldas Novas;2016;3,5475;3,89;5,94;1,74;2,62
Caldas Novas;2018;3,6325;3,89;5,35;1,88;3,41
Caldazinha;2012;1,77;1,05;1,84;1,55;2,64
Caldazinha;2014;2,03;0,96;0,38;2,22;4,56
Caldazinha;2016;2,1825;0,95;4,74;1,29;1,75
Caldazinha;2018;2,6675;1,37;3,93;1,31;4,06
Campestre de Goiás;2012;2,0875;1,23;2,01;1,94;3,17
Campestre de Goiás;2014;2,085;1,16;0,45;2,05;4,68
Campestre de Goiás;2016;2,25;1,1;4,47;1,92;1,51
Campestre de Goiás;2018;2,8625;1,31;4,6;1,89;3,65
Campinaçu;2012;2,055;0,89;2,62;1,61;3,1
Campinaçu;2014;2,06;0,95;0,47;1,76;5,06
Campinaçu;2016;2,4925;1,01;5,8;1,33;1,83
Campinaçu;2018;1,4675;0;4,74;0,61;0,52
Campinorte;2012;1,8;1,01;3,03;1,43;1,73
Campinorte;2014;2,0725;1,06;0,53;1,61;5,09
Campinorte;2016;2,9725;1,26;7,21;1,25;2,17
Campinorte;2018;2,95;1,18;6,16;1,32;3,14
Campo Alegre de Goiás;2012;2,32;2,05;1,82;3,52;1,89
Campo Alegre de Goiás;2014;3,015;2,22;0,31;4,33;5,2
Campo Alegre de Goiás;2016;3,055;2,78;4,2;2,91;2,33
Campo Alegre de Goiás;2018;3,0025;2,9;2,76;2,84;3,51
Campo Limpo de Goiás;2012;2,24;1,41;2,3;1,86;3,39
Campo Limpo de Goiás;2014;1,805;1,08;0,43;1,81;3,9
Campo Limpo de Goiás;2016;3,0475;1,92;5,23;1,45;3,59
Campo Limpo de Goiás;2018;2,9375;2,32;4,41;1,2;3,82
Campos Belos;2012;2,415;1,13;3,34;1,81;3,38
Campos Belos;2014;2,2775;1,21;0,6;2,22;5,08
Campos Belos;2016;3,2525;1,5;7,82;1,42;2,27
Campos Belos;2018;3,3925;1,45;7,72;1,19;3,21
Campos Verdes;2012;2,4375;1;2,8;0,78;5,17
Campos Verdes;2014;1,9275;1,41;0,5;0,2;5,6
Campos Verdes;2016;2,66;1,43;6,9;1,04;1,27
Campos Verdes;2018;3,4125;1,72;8,08;0,59;3,26
Carmo do Rio Verde;2012;2,2275;1,34;3,02;1,44;3,11
Carmo do Rio Verde;2014;2,1675;1,27;0,6;2,1;4,7
Carmo do Rio Verde;2016;3,32;1,44;8,05;1,74;2,05
Carmo do Rio Verde;2018;3,4725;1,53;6,99;1,94;3,43
Castelândia;2012;2,0125;0,88;1,86;2,02;3,29
Castelândia;2014;2,3275;1,04;0,32;2,63;5,32
Castelândia;2016;2,36;1,11;4,4;2,15;1,78
Castelândia;2018;2,57;1,27;4,02;1,52;3,47
Catalão;2012;3,285;2,71;3,46;3,71;3,26
Catalão;2014;3,4125;2,98;0,66;4,68;5,33
Catalão;2016;4,2275;3,47;8,46;2,91;2,07
Catalão;2018;4,51;3,27;8,53;3,03;3,21
Caturaí;2012;1,9125;0,75;1,75;2,05;3,1
Caturaí;2014;2,2;0,75;0,43;2,74;4,88
Caturaí;2016;2,4675;0,87;5,25;1,57;2,18
Caturaí;2018;2,635;1,15;4,06;1,58;3,75
Cavalcante;2012;1,8875;1,16;2,38;1,31;2,7
Cavalcante;2014;1,9825;1,09;0,53;1,71;4,6
Cavalcante;2016;2,805;1,2;6,8;1,21;2,01
Cavalcante;2018;2,945;1,18;5,99;1,37;3,24
Ceres;2012;2,6675;1,97;3,52;1,94;3,24
Ceres;2014;2,6425;2,33;0,64;2,05;5,55
Ceres;2016;4,0025;3,14;8,76;1,61;2,5
Ceres;2018;4,2525;3,09;8,75;1,9;3,27
Cezarina;2012;2,895;2,11;3,14;3,06;3,27
Cezarina;2014;2,3025;1,77;0,56;2,79;4,09
Cezarina;2016;3,545;2,36;7,41;1,85;2,56
Cezarina;2018;3,5975;2,24;6,81;2,12;3,22
Chapadão do Céu;2012;4,915;6,01;1,16;8,56;3,93
Chapadão do Céu;2014;5,4375;6,22;0,3;10;5,23
Chapadão do Céu;2016;5,07;7,43;4,3;6,3;2,25
Chapadão do Céu;2018;5,37;7,39;3,27;7,33;3,49
Cidade Ocidental;2012;2,355;0,55;3;2,25;3,62
Cidade Ocidental;2014;2,175;0,58;0,61;2,35;5,16
Cidade Ocidental;2016;3,205;0,63;8,34;1,65;2,2
Cidade Ocidental;2018;3,3725;0,73;7,43;1,8;3,53
Cocalzinho de Goiás;2012;2,155;0,72;2,25;2,32;3,33
Cocalzinho de Goiás;2014;2,43;0,78;0,46;3,28;5,2
Cocalzinho de Goiás;2016;2,895;0,96;6,38;1,87;2,37
Cocalzinho de Goiás;2018;2,915;0,94;5,64;1,85;3,23
Colinas do Sul;2012;1,2425;1,12;0,8;0,28;2,77
Colinas do Sul;2014;1,9425;0,96;0,14;2,34;4,33
Colinas do Sul;2016;1,615;1,11;1,61;1,68;2,06
Colinas do Sul;2018;3,4675;1,05;6,77;2,94;3,11
Córrego do Ouro;2012;2,015;1,41;2,38;1,1;3,17
Córrego do Ouro;2014;2,0175;1,48;0,32;1,34;4,93
Córrego do Ouro;2016;2,605;1,95;5,27;0,9;2,3
Córrego do Ouro;2018;2,735;2,25;4,21;0,92;3,56
Corumbá de Goiás;2012;1,5;0,88;1,76;1,29;2,07
Corumbá de Goiás;2014;2,115;0,97;0,37;1,97;5,15
Corumbá de Goiás;2016;2,44;1,11;4,98;1,57;2,1
Corumbá de Goiás;2018;2,715;1,39;4;1,74;3,73
Corumbaíba;2012;2,3475;2,49;1,75;2,15;3
Corumbaíba;2014;2,6;2,52;0,34;2,59;4,95
Corumbaíba;2016;2,955;3,17;4,71;1,6;2,34
Corumbaíba;2018;3,1675;3,72;3,26;1,92;3,77
Cristalina;2012;2,81;2,42;1,59;2,93;4,3
Cristalina;2014;2,9525;2,63;0,33;3,54;5,31
Cristalina;2016;3,27;3,24;4,91;2,59;2,34
Cristalina;2018;3,1175;3,22;3,21;2,62;3,42
Cristianópolis;2012;2,0325;1,81;1,48;1,49;3,35
Cristianópolis;2014;2,165;2,06;0,33;1;5,27
Cristianópolis;2016;2,3425;2,32;4,29;0,8;1,96
Cristianópolis;2018;2,5325;2,24;2,98;1,74;3,17
Crixás;2012;4,15;2,47;3,27;7,3;3,56
Crixás;2014;3,8425;2,65;0,59;7,03;5,1
Crixás;2016;4,015;3,57;7,28;2,68;2,53
Crixás;2018;4,47;3;7,2;4,78;2,9
Cromínia;2012;2,26;0,88;3,37;1,81;2,98
Cromínia;2014;2,255;1,25;0,45;1,17;6,15
Cromínia;2016;2,7075;1,64;5,95;0,86;2,38
Cromínia;2018;2,1775;1,81;2,38;1,06;3,46
Cumari;2012;2,46;1,39;2,6;2,21;3,64
Cumari;2014;2,5325;1,55;0,55;2,81;5,22
Cumari;2016;2,5;1,31;5,59;2,01;1,09
Cumari;2018;2,7175;1,27;4,64;1,83;3,13
Damianópolis;2012;1,3825;0,63;2,23;0;2,67
Damianópolis;2014;1,545;0,67;0,51;0;5
Damianópolis;2016;2,4925;0,81;6,64;0,3;2,22
Damianópolis;2018;2,8275;0,89;6,86;0,18;3,38
Damolândia;2012;1,96;1;2,44;1,69;2,71
Damolândia;2014;2,2475;1;0,48;2,75;4,76
Damolândia;2016;2,9775;1,55;6,17;1,2;2,99
Damolândia;2018;1,83;1,1;2,59;1,07;2,56
Davinópolis;2012;2,3075;1,55;2,59;2,04;3,05
Davinópolis;2014;3,145;2,38;0,71;2,83;6,66
Davinópolis;2016;3,9225;2,73;9,02;2,03;1,91
Davinópolis;2018;4,22;3;8,61;1,74;3,53
Diorama;2012;1,9875;0,84;2,37;2,11;2,63
Diorama;2014;2,45;1,08;0,51;2,47;5,74
Diorama;2016;2,8925;1,28;6,66;1,55;2,08
Diorama;2018;3,03;1,23;5,89;1,87;3,13
Divinópolis de Goiás;2012;2,3375;0,72;2,96;2,28;3,39
Divinópolis de Goiás;2014;2,125;0,68;0,87;2,34;4,61
Divinópolis de Goiás;2016;2,4925;0,99;4,7;1,55;2,73
Divinópolis de Goiás;2018;2,7675;0,8;6,32;1,19;2,76
Doverlândia;2012;1,93;1,17;1,52;1,93;3,1
Doverlândia;2014;2,1275;1,13;0,28;2,66;4,44
Doverlândia;2016;2,5425;1,67;3,81;1,95;2,74
Doverlândia;2018;2,0375;1,65;1,23;2,08;3,19
Edealina;2012;2,02;1,49;2,14;1,95;2,5
Edealina;2014;3,1275;1,88;1,74;3,28;5,61
Edealina;2016;4,84;4,39;5,85;4,4;4,72
Edealina;2018;3,19;2,49;5,08;3,15;2,04
Edéia;2012;3,185;2,4;2,47;4,41;3,46
Edéia;2014;3,765;2,96;0,08;6,18;5,84
Edéia;2016;4,1175;4,02;5,45;4,42;2,58
Edéia;2018;4,1125;3,67;5,3;4,34;3,14
Estrela do Norte;2012;2,655;1,62;2,24;2,75;4,01
Estrela do Norte;2014;1,995;1,3;0,48;2,29;3,91
Estrela do Norte;2016;2,5825;1,44;5,37;1,57;1,95
Estrela do Norte;2018;2,585;1,19;4,63;1,7;2,82
Faina;2012;1,98;0,99;2,67;0,58;3,68
