Localidade;Ano;Alfabetizacao
Campos Verdes;2000;81,7
Campos Verdes;2010;82,58
Carmo do Rio Verde;1991;77,2
Carmo do Rio Verde;2000;84,1
Carmo do Rio Verde;2010;90
Castelândia;1991;67,1
Castelândia;2000;80
Castelândia;2010;76,83
Catalão;1991;87,2
Catalão;2000;92,1
Catalão;2010;94,84
Caturaí;1991;75,7
Caturaí;2000;83,2
Caturaí;2010;88,55
Cavalcante;1991;51
Cavalcante;2000;61,7
Cavalcante;2010;76,26
Ceres;1991;84,3
Ceres;2000;89,4
Ceres;2010;93,05
Cezarina;1991;79,1
Cezarina;2000;87,2
Cezarina;2010;90,06
Chapadão do Céu;2000;95,1
Chapadão do Céu;2010;95,82
Cidade Ocidental;2000;93,9
Cidade Ocidental;2010;94,96
Cocalzinho de Goiás;2000;82,3
Cocalzinho de Goiás;2010;88,72
Colinas do Sul;1991;73,9
Colinas do Sul;2000;82,7
Colinas do Sul;2010;85,74
Córrego do Ouro;1991;80,5
Córrego do Ouro;2000;85,6
Córrego do Ouro;2010;89,66
Corumbá de Goiás;1991;73,8
Corumbá de Goiás;2000;82
Corumbá de Goiás;2010;86,16
Corumbaíba;1991;82,3
Corumbaíba;2000;90,7
Corumbaíba;2010;90,65
Cristalina;1991;82,3
Cristalina;2000;87,6
Cristalina;2010;91,74
Cristianópolis;1991;82,9
Cristianópolis;2000;91,3
Cristianópolis;2010;93,27
Crixás;1991;75,2
Crixás;2000;84
Crixás;2010;89,16
Cromínia;1991;79,8
Cromínia;2000;85,8
Cromínia;2010;89,84
Cumari;1991;84,1
Cumari;2000;87,6
Cumari;2010;91,91
Damianópolis;1991;64,8
Damianópolis;2000;75,6
Damianópolis;2010;82,28
Damolândia;1991;80,6
Damolândia;2000;84,9
Damolândia;2010;88,09
Davinópolis;1991;80,5
Davinópolis;2000;82,8
Davinópolis;2010;86,47
Diorama;1991;78,5
Diorama;2000;83,5
Diorama;2010;88,25
Divinópolis de Goiás;1991;65,5
Divinópolis de Goiás;2000;74,8
Divinópolis de Goiás;2010;81,03
Doverlândia;1991;72,4
Doverlândia;2000;82,1
Doverlândia;2010;86,52
Edealina;1991;77,3
Edealina;2000;83,5
Edealina;2010;89,31
Edéia;1991;81,1
Edéia;2000;86,5
Edéia;2010;88,69
Estrela do Norte;1991;78,6
Estrela do Norte;2000;81,1
Estrela do Norte;2010;85,82
Faina;1991;71,4
Faina;2000;79,4
Faina;2010;83,42
Fazenda Nova;1991;77,2
Fazenda Nova;2000;84,1
Fazenda Nova;2010;86,27
Firminópolis;1991;82,1
Firminópolis;2000;85,8
Firminópolis;2010;90,06
Flores de Goiás;1991;54,7
Flores de Goiás;2000;78,2
Flores de Goiás;2010;83,99
Formosa;1991;81,7
Formosa;2000;88
Formosa;2010;92,18
Formoso;1991;80,1
Formoso;2000;84,8
Formoso;2010;88,06
Gameleira de Goiás;2010;88,91
Goianápolis;1991;69,7
Goianápolis;2000;84,3
Goianápolis;2010;85,14
Goiandira;1991;83,9
Goiandira;2000;89,7
Goiandira;2010;92,29
Goianésia;1991;80,4
Goianésia;2000;86,3
Goianésia;2010;90,92
Goiânia;1991;92,1
Goiânia;2000;95,2
Goiânia;2010;96,85
Goianira;1991;79,9
Goianira;2000;88,1
Goianira;2010;92,36
Goiás;1991;77
Goiás;2000;85,4
Goiás;2010;87,65
Goiatuba;1991;80,5
Goiatuba;2000;88,8
Goiatuba;2010;91,35
Gouvelândia;1991;71
Gouvelândia;2000;84,2
Gouvelândia;2010;83,62
Guapó;1991;81,1
Guapó;2000;86,6
Guapó;2010;90,01
Guaraíta;1991;73,9
Guaraíta;2000;82,9
Guaraíta;2010;90,14
Guarani de Goiás;1991;55,6
Guarani de Goiás;2000;72,2
Guarani de Goiás;2010;79,44
Guarinos;1991;74,9
Guarinos;2000;83,3
Guarinos;2010;87,17
Heitoraí;1991;78,2
Heitoraí;2000;85,8
Heitoraí;2010;88,03
Hidrolândia;1991;79,5
Hidrolândia;2000;87
Hidrolândia;2010;93,49
Hidrolina;1991;78,2
Hidrolina;2000;86,3
Hidrolina;2010;89,83
Iaciara;1991;66,7
Iaciara;2000;79,5
Iaciara;2010;82,42
Inaciolândia;1991;69
Inaciolândia;2000;78,5
Inaciolândia;2010;82,31
Indiara;1991;76,6
Indiara;2000;85,5
Indiara;2010;88,82
Inhumas;1991;81,6
Inhumas;2000;87,8
Inhumas;2010;90,69
Ipameri;1991;83
Ipameri;2000;89,5
Ipameri;2010;90,96
Ipiranga de Goiás;2010;88,57
Iporá;1991;82,7
Iporá;2000;87,5
Iporá;2010;88,99
Israelândia;1991;76,8
Israelândia;2000;84,5
Israelândia;2010;87,87
Itaberaí;1991;78,3
Itaberaí;2000;84,2
Itaberaí;2010;90,54
Itaguari;1991;76,2
Itaguari;2000;82,1
Itaguari;2010;86,24
Itaguaru;1991;75,9
Itaguaru;2000;86
Itaguaru;2010;87,03
Itajá;1991;73,8
Itajá;2000;84,6
Itajá;2010;90,01
Itapaci;1991;79,2
Itapaci;2000;85,4
Itapaci;2010;88,33
Itapirapuã;1991;71,6
Itapirapuã;2000;82,5
Itapirapuã;2010;85,02
Itapuranga;1991;76,5
Itapuranga;2000;82,9
Itapuranga;2010;86,97
Itarumã;1991;72,8
Itarumã;2000;85,3
Itarumã;2010;88,77
Itauçu;1991;79,9
Itauçu;2000;85,1
Itauçu;2010;88,85
Itumbiara;1991;83,8
Itumbiara;2000;89
Itumbiara;2010;92,74
Ivolândia;1991;81,5
Ivolândia;2000;81,6
Ivolândia;2010;87,03
Jandaia;1991;77,6
Jandaia;2000;87,5
Jandaia;2010;87,88
Jaraguá;1991;77,1
Jaraguá;2000;86,6
Jaraguá;2010;91,23
Jataí;1991;83,6
Jataí;2000;89,8
Jataí;2010;93,46
Jaupaci;1991;73,6
Jaupaci;2000;84,2
Jaupaci;2010;85,1
Jesúpolis;2000;82,6
Jesúpolis;2010;85,91
Joviânia;1991;82,4
Joviânia;2000;87,2
Joviânia;2010;89,65
Jussara;1991;79,9
Jussara;2000;84,9
Jussara;2010;88,54
Lagoa Santa;2010;93,84
Leopoldo de Bulhões;1991;78,5
Leopoldo de Bulhões;2000;85,7
Leopoldo de Bulhões;2010;87,55
Luziânia;1991;84,4
Luziânia;2000;89,2
Luziânia;2010;92,83
Mairipotaba;1991;81,02
Mairipotaba;2000;85,3
Mairipotaba;2010;89,34
Mambaí;1991;59,3
Mambaí;2000;75
Mambaí;2010;82,04
Mara Rosa;1991;72,7
Mara Rosa;2000;82,3
Mara Rosa;2010;85,79
Marzagão;1991;78,6
Marzagão;2000;85,7
Marzagão;2010;90,49
Matrinchã;1991;72,3
Matrinchã;2000;82,4
Matrinchã;2010;84,28
Maurilândia;1991;73,2
Maurilândia;2000;81,6
Maurilândia;2010;86,49
Mimoso de Goiás;1991;65,6
Mimoso de Goiás;2000;75,3
Mimoso de Goiás;2010;83,13
Minaçu;1991;80
Minaçu;2000;86,9
Minaçu;2010;87,76
Mineiros;1991;83,3
Mineiros;2000;88
Mineiros;2010;93,03
Moiporá;1991;80
Moiporá;2000;85,7
Moiporá;2010;85,68
Monte Alegre de Goiás;1991;53,7
Monte Alegre de Goiás;2000;75,8
Monte Alegre de Goiás;2010;77,33
Montes Claros de Goiás;1991;75,4
Montes Claros de Goiás;2000;84,5
Montes Claros de Goiás;2010;89,31
Montividiu;1991;77,6
Montividiu;2000;87,2
Montividiu;2010;91,31
Montividiu do Norte;2000;80,9
Montividiu do Norte;2010;84,66
Morrinhos;1991;83,1
Morrinhos;2000;88,9
Morrinhos;2010;92,56
Morro Agudo de Goiás;1991;73
Morro Agudo de Goiás;2000;85,7
Morro Agudo de Goiás;2010;87,77
Mossâmedes;1991;76,9
Mossâmedes;2000;84,6
Mossâmedes;2010;86,49
Mozarlândia;1991;74,8
Mozarlândia;2000;84,2
Mozarlândia;2010;88,09
Mundo Novo;1991;67,8
Mundo Novo;2000;81,1
Mundo Novo;2010;81,15
Mutunópolis;1991;76,3
Mutunópolis;2000;80,4
Mutunópolis;2010;84,03
Nazário;1991;82,8
Nazário;2000;87
Nazário;2010;88,3
Nerópolis;1991;80,8
Nerópolis;2000;87,7
Nerópolis;2010;92,19
Niquelândia;1991;74,5
Niquelândia;2000;84,4
Niquelândia;2010;88,81
Nova América;1991;83,9
Nova América;2000;82,4
