Localidade;Ano;Taxa de Abandono
Britânia;2016;4,9
Britânia;2017;2,2
Britânia;2018;4,7
Buriti Alegre;2013;6,1
Buriti Alegre;2014;3,2
Buriti Alegre;2015;0
Buriti Alegre;2016;0
Buriti Alegre;2017;0,4
Buriti Alegre;2018;8,7
Buriti de Goiás;2013;1,9
Buriti de Goiás;2014;0
Buriti de Goiás;2015;1,5
Buriti de Goiás;2016;0
Buriti de Goiás;2017;0
Buriti de Goiás;2018;0
Buritinópolis;2013;8,9
Buritinópolis;2014;6,7
Buritinópolis;2015;2,9
Buritinópolis;2016;10,2
Buritinópolis;2017;0
Buritinópolis;2018;4,5
Cabeceiras;2013;0,4
Cabeceiras;2014;6,4
Cabeceiras;2015;3,1
Cabeceiras;2016;1,8
Cabeceiras;2017;6,5
Cabeceiras;2018;0,7
Cachoeira Alta;2013;4,5
Cachoeira Alta;2014;8,4
Cachoeira Alta;2015;9,4
Cachoeira Alta;2016;9,1
Cachoeira Alta;2017;7,5
Cachoeira Alta;2018;13
Cachoeira de Goiás;2013;0
Cachoeira de Goiás;2014;0
Cachoeira de Goiás;2015;0
Cachoeira de Goiás;2016;0
Cachoeira de Goiás;2017;0
Cachoeira de Goiás;2018;0
Cachoeira Dourada;2013;0,7
Cachoeira Dourada;2014;0,8
Cachoeira Dourada;2015;8
Cachoeira Dourada;2016;5,8
Cachoeira Dourada;2017;0
Cachoeira Dourada;2018;2,2
Caçu;2013;5,3
Caçu;2014;4,7
Caçu;2015;8,8
Caçu;2016;6,3
Caçu;2017;3,9
Caçu;2018;2,1
Caiapônia;2013;8
Caiapônia;2014;2,6
Caiapônia;2015;3,9
Caiapônia;2016;4,5
Caiapônia;2017;4,7
Caiapônia;2018;0,6
Caldas Novas;2013;6,8
Caldas Novas;2014;8,6
Caldas Novas;2015;4,8
Caldas Novas;2016;4,3
Caldas Novas;2017;0,6
Caldas Novas;2018;1
Caldazinha;2013;2,1
Caldazinha;2014;2
Caldazinha;2015;9,1
Caldazinha;2016;6,9
Caldazinha;2017;2,1
Caldazinha;2018;0
Campestre de Goiás;2013;2,9
Campestre de Goiás;2014;0
Campestre de Goiás;2015;6,3
Campestre de Goiás;2016;4,8
Campestre de Goiás;2017;0
Campestre de Goiás;2018;8
Campinaçu;2013;0
Campinaçu;2014;1,7
Campinaçu;2015;5,3
Campinaçu;2016;6,5
Campinaçu;2017;2,9
Campinaçu;2018;6,6
Campinorte;2013;4,4
Campinorte;2014;5,1
Campinorte;2015;8,4
Campinorte;2016;1,5
Campinorte;2017;1,6
Campinorte;2018;0,8
Campo Alegre de Goiás;2013;6
Campo Alegre de Goiás;2014;9,7
Campo Alegre de Goiás;2015;8,3
Campo Alegre de Goiás;2016;7,6
Campo Alegre de Goiás;2017;3,9
Campo Alegre de Goiás;2018;5,1
Campo Limpo de Goiás;2013;2,7
Campo Limpo de Goiás;2014;9,1
Campo Limpo de Goiás;2015;16,3
Campo Limpo de Goiás;2016;12
Campo Limpo de Goiás;2017;2
Campo Limpo de Goiás;2018;1,6
Campos Belos;2013;7,1
Campos Belos;2014;5,6
Campos Belos;2015;6,1
Campos Belos;2016;3,1
Campos Belos;2017;1,9
Campos Belos;2018;2,5
Campos Verdes;2013;2,8
Campos Verdes;2014;1,9
Campos Verdes;2015;12,4
Campos Verdes;2016;4,2
Campos Verdes;2017;3
