Localidade;Ano;Taxa de Abandono
Nova Roma;2017;0,8
Nova Roma;2018;2,5
Nova Veneza;2013;0,7
Nova Veneza;2014;9,8
Nova Veneza;2015;2,1
Nova Veneza;2016;0
Nova Veneza;2017;0
Nova Veneza;2018;3
Novo Brasil;2013;1,4
Novo Brasil;2014;0,9
Novo Brasil;2015;3,4
Novo Brasil;2016;3,1
Novo Brasil;2017;0
Novo Brasil;2018;2,1
Novo Gama;2013;15,1
Novo Gama;2014;9,6
Novo Gama;2015;7,7
Novo Gama;2016;6,1
Novo Gama;2017;3,9
Novo Gama;2018;4,4
Novo Planalto;2013;5,7
Novo Planalto;2014;2,2
Novo Planalto;2015;3,4
Novo Planalto;2016;5,4
Novo Planalto;2017;4,4
Novo Planalto;2018;4,4
Orizona;2013;1,4
Orizona;2014;5,5
Orizona;2015;3,8
Orizona;2016;7,4
Orizona;2017;0
Orizona;2018;1,2
Ouro Verde de Goiás;2013;5,2
Ouro Verde de Goiás;2014;7,6
Ouro Verde de Goiás;2015;13,4
Ouro Verde de Goiás;2016;6,9
Ouro Verde de Goiás;2017;4,4
Ouro Verde de Goiás;2018;6,9
Ouvidor;2013;4,8
Ouvidor;2014;5,1
Ouvidor;2015;17,6
Ouvidor;2016;6,8
Ouvidor;2017;5
Ouvidor;2018;7,9
Padre Bernardo;2013;7,9
Padre Bernardo;2014;8,4
Padre Bernardo;2015;8,9
Padre Bernardo;2016;8,9
Padre Bernardo;2017;1
Padre Bernardo;2018;2
Palestina de Goiás;2013;6,6
Palestina de Goiás;2014;5,3
Palestina de Goiás;2015;1,7
Palestina de Goiás;2016;0,9
Palestina de Goiás;2017;0
Palestina de Goiás;2018;0
Palmeiras de Goiás;2013;9,6
Palmeiras de Goiás;2014;8,1
Palmeiras de Goiás;2015;7
Palmeiras de Goiás;2016;1,3
Palmeiras de Goiás;2017;3,4
Palmeiras de Goiás;2018;3,1
Palmelo;2013;2,8
Palmelo;2014;6,7
Palmelo;2015;9,4
Palmelo;2016;5,2
Palmelo;2017;0
Palmelo;2018;1,7
Palminópolis;2013;0,5
Palminópolis;2014;0,5
Palminópolis;2015;1,7
Palminópolis;2016;0
Palminópolis;2017;0
Palminópolis;2018;0
Panamá;2013;1,1
Panamá;2014;14,9
Panamá;2015;2,5
Panamá;2016;4
Panamá;2017;2,3
Panamá;2018;0
Paranaiguara;2013;3,4
Paranaiguara;2014;3,6
Paranaiguara;2015;9,7
Paranaiguara;2016;8,7
Paranaiguara;2017;9,7
Paranaiguara;2018;6,9
Paraúna;2013;0,2
Paraúna;2014;4,6
Paraúna;2015;1,4
Paraúna;2016;2,9
Paraúna;2017;3,5
Paraúna;2018;3,1
Perolândia;2013;6
Perolândia;2014;9,2
Perolândia;2015;4,5
Perolândia;2016;0
Perolândia;2017;0
Perolândia;2018;3
Petrolina de Goiás;2013;6,5
Petrolina de Goiás;2014;7
Petrolina de Goiás;2015;5,3
Petrolina de Goiás;2016;6,8
Petrolina de Goiás;2017;1,8
Petrolina de Goiás;2018;10,1
Pilar de Goiás;2013;1,2
Pilar de Goiás;2014;7,4
Pilar de Goiás;2015;3,7
Pilar de Goiás;2016;7,1
Pilar de Goiás;2017;5,2
Pilar de Goiás;2018;1,3
Piracanjuba;2013;3,1
Piracanjuba;2014;6,4
Piracanjuba;2015;9,9
Piracanjuba;2016;12,8
Piracanjuba;2017;6,4
Piracanjuba;2018;1,9
Piranhas;2013;6,5
Piranhas;2014;0
Piranhas;2015;11,6
Piranhas;2016;11,6
Piranhas;2017;4,1
Piranhas;2018;9,7
Pirenópolis;2013;5,3
Pirenópolis;2014;5,6
Pirenópolis;2015;6,1
Pirenópolis;2016;7,8
Pirenópolis;2017;3,6
Pirenópolis;2018;2,8
Pires do Rio;2013;5,8
Pires do Rio;2014;6,4
Pires do Rio;2015;7
Pires do Rio;2016;6,6
Pires do Rio;2017;1,8
Pires do Rio;2018;2,1
Planaltina;2013;8,9
Planaltina;2014;5,3
Planaltina;2015;8,5
Planaltina;2016;6,5
Planaltina;2017;1,9
Planaltina;2018;1,3
Pontalina;2013;0,1
Pontalina;2014;0
Pontalina;2015;0
Pontalina;2016;2,3
Pontalina;2017;0
Pontalina;2018;0,9
Porangatu;2013;7,7
Porangatu;2014;6,6
Porangatu;2015;7,7
Porangatu;2016;8,9
Porangatu;2017;4,9
Porangatu;2018;2,6
Porteirão;2013;7,7
Porteirão;2014;11,1
Porteirão;2015;10,9
Porteirão;2016;16,4
Porteirão;2017;2,3
Porteirão;2018;4,4
Portelândia;2013;0,8
Portelândia;2014;5,1
Portelândia;2015;5,6
Portelândia;2016;0,7
Portelândia;2017;0
Portelândia;2018;1,9
Posse;2013;6,7
Posse;2014;4,1
Posse;2015;6,5
Posse;2016;6,8
Posse;2017;1,3
Posse;2018;3,5
Professor Jamil;2013;0
Professor Jamil;2014;7,8
Professor Jamil;2015;3,8
Professor Jamil;2016;3,9
Professor Jamil;2017;1,9
Professor Jamil;2018;6,7
Quirinópolis;2013;4,2
Quirinópolis;2014;9
Quirinópolis;2015;8,6
Quirinópolis;2016;8,9
Quirinópolis;2017;1,4
Quirinópolis;2018;4,8
Rialma;2013;3,9
Rialma;2014;7,1
Rialma;2015;3,1
Rialma;2016;9
Rialma;2017;0,2
Rialma;2018;0
Rianápolis;2013;2,9
Rianápolis;2014;7,1
Rianápolis;2015;6,3
Rianápolis;2016;5,6
Rianápolis;2017;4,6
Rianápolis;2018;0
Rio Quente;2013;2,6
Rio Quente;2014;5,9
Rio Quente;2015;7,8
Rio Quente;2016;12,7
Rio Quente;2017;19,5
Rio Quente;2018;19,6
Rio Verde;2013;5
Rio Verde;2014;3,8
Rio Verde;2015;6,2
Rio Verde;2016;6,1
Rio Verde;2017;5,7
Rio Verde;2018;5,9
Rubiataba;2013;9,1
Rubiataba;2014;8,7
Rubiataba;2015;6,4
Rubiataba;2016;7,8
Rubiataba;2017;0,5
Rubiataba;2018;0,3
Sanclerlândia;2013;4,7
Sanclerlândia;2014;7,2
Sanclerlândia;2015;3,8
Sanclerlândia;2016;3,1
Sanclerlândia;2017;3,6
Sanclerlândia;2018;0
Santa Bárbara de Goiás;2013;9,5
Santa Bárbara de Goiás;2014;1,7
Santa Bárbara de Goiás;2015;14,6
Santa Bárbara de Goiás;2016;6,8
Santa Bárbara de Goiás;2017;0
Santa Bárbara de Goiás;2018;0
Santa Cruz de Goiás;2013;12,9
Santa Cruz de Goiás;2014;9,5
Santa Cruz de Goiás;2015;14,3
Santa Cruz de Goiás;2016;5,4
Santa Cruz de Goiás;2017;0
Santa Cruz de Goiás;2018;0
Santa Fé de Goiás;2013;3,8
Santa Fé de Goiás;2014;6,9
Santa Fé de Goiás;2015;8,1
Santa Fé de Goiás;2016;11,3
Santa Fé de Goiás;2017;5,6
Santa Fé de Goiás;2018;7
Santa Helena de Goiás;2013;6,9
Santa Helena de Goiás;2014;10
Santa Helena de Goiás;2015;11,5
Santa Helena de Goiás;2016;1,9
Santa Helena de Goiás;2017;4,7
Santa Helena de Goiás;2018;5,7
Santa Isabel;2013;0
Santa Isabel;2014;0
Santa Isabel;2015;1,8
Santa Isabel;2016;1
Santa Isabel;2017;0
Santa Isabel;2018;0
Santa Rita do Araguaia;2013;2,9
Santa Rita do Araguaia;2014;4,7
Santa Rita do Araguaia;2015;6
Santa Rita do Araguaia;2016;0
Santa Rita do Araguaia;2017;0
Santa Rita do Araguaia;2018;0,3
Santa Rita do Novo Destino;2013;2,2
Santa Rita do Novo Destino;2014;4,9
Santa Rita do Novo Destino;2015;9,5
Santa Rita do Novo Destino;2016;4,3
Santa Rita do Novo Destino;2017;0
Santa Rita do Novo Destino;2018;2,9
Santa Rosa de Goiás;2013;0
Santa Rosa de Goiás;2014;2,7
Santa Rosa de Goiás;2015;0
Santa Rosa de Goiás;2016;0
Santa Rosa de Goiás;2017;0
Santa Rosa de Goiás;2018;0
Santa Tereza de Goiás;2013;5,9
Santa Tereza de Goiás;2014;1,6
Santa Tereza de Goiás;2015;0
Santa Tereza de Goiás;2016;3,1
Santa Tereza de Goiás;2017;1,5
Santa Tereza de Goiás;2018;4,1
Santa Terezinha de Goiás;2013;5,9
Santa Terezinha de Goiás;2014;9,9
Santa Terezinha de Goiás;2015;5,9
Santa Terezinha de Goiás;2016;6,6
Santa Terezinha de Goiás;2017;2,1
Santa Terezinha de Goiás;2018;0,3
Santo Antônio da Barra;2013;0,6
Santo Antônio da Barra;2014;0
Santo Antônio da Barra;2015;0
Santo Antônio da Barra;2016;6,9
Santo Antônio da Barra;2017;0
Santo Antônio da Barra;2018;2,1
Santo Antônio de Goiás;2013;0
Santo Antônio de Goiás;2014;4,8
Santo Antônio de Goiás;2015;0,9
Santo Antônio de Goiás;2016;0
Santo Antônio de Goiás;2017;0
Santo Antônio de Goiás;2018;0
Santo Antônio do Descoberto;2013;6,6
Santo Antônio do Descoberto;2014;9,5
Santo Antônio do Descoberto;2015;11,8
Santo Antônio do Descoberto;2016;9,8
Santo Antônio do Descoberto;2017;3,4
Santo Antônio do Descoberto;2018;3,5
São Domingos;2013;2,4
São Domingos;2014;2,7
São Domingos;2015;3
São Domingos;2016;4,3
São Domingos;2017;2,5
São Domingos;2018;0,9
São Francisco de Goiás;2013;4,8
São Francisco de Goiás;2014;4,8
São Francisco de Goiás;2015;0,3
São Francisco de Goiás;2016;4,2
São Francisco de Goiás;2017;0,9
São Francisco de Goiás;2018;2,8
São João d'Aliança;2013;0,8
São João d'Aliança;2014;0,2
São João d'Aliança;2015;0
São João d'Aliança;2016;0
São João d'Aliança;2017;0
São João d'Aliança;2018;0
São João da Paraúna;2013;5,5
São João da Paraúna;2014;0
São João da Paraúna;2015;0
São João da Paraúna;2016;0
São João da Paraúna;2017;0
São João da Paraúna;2018;0
São Luis de Montes Belos;2013;2,2
São Luis de Montes Belos;2014;2,6
São Luis de Montes Belos;2015;4,3
São Luis de Montes Belos;2016;4,9
São Luis de Montes Belos;2017;0,9
São Luis de Montes Belos;2018;0,1
São Luiz do Norte;2013;1,5
São Luiz do Norte;2014;1,4
São Luiz do Norte;2015;3,9
São Luiz do Norte;2016;5,8
São Luiz do Norte;2017;10,5
São Luiz do Norte;2018;0,7
São Miguel do Araguaia;2013;5
São Miguel do Araguaia;2014;8,9
São Miguel do Araguaia;2015;11,5
São Miguel do Araguaia;2016;4,6
São Miguel do Araguaia;2017;2,5
São Miguel do Araguaia;2018;1,8
São Miguel do Passa Quatro;2013;3,1
São Miguel do Passa Quatro;2014;5,3
São Miguel do Passa Quatro;2015;10,2
São Miguel do Passa Quatro;2016;4,9
São Miguel do Passa Quatro;2017;0
São Miguel do Passa Quatro;2018;0
São Patrício;2013;7,4
São Patrício;2014;1,4
São Patrício;2015;5
São Patrício;2016;2,5
São Patrício;2017;6,4
São Patrício;2018;0
São Simão;2013;7,3
São Simão;2014;5,9
São Simão;2015;8,9
São Simão;2016;8,7
São Simão;2017;4,2
São Simão;2018;5,5
Senador Canedo;2013;11,8
Senador Canedo;2014;11,5
Senador Canedo;2015;14,6
Senador Canedo;2016;8,2
Senador Canedo;2017;4,7
Senador Canedo;2018;5,4
Serranópolis;2013;0,5
Serranópolis;2014;1,9
Serranópolis;2015;4,3
Serranópolis;2016;1
Serranópolis;2017;0,5
Serranópolis;2018;3,5
Silvânia;2013;3,7
Silvânia;2014;0,7
Silvânia;2015;1,2
Silvânia;2016;4,4
Silvânia;2017;0,2
Silvânia;2018;0,6
Simolândia;2013;6,2
Simolândia;2014;3,3
Simolândia;2015;7,1
Simolândia;2016;4,8
Simolândia;2017;0
Simolândia;2018;0,3
Sítio d'Abadia;2013;0
Sítio d'Abadia;2014;0
Sítio d'Abadia;2015;0
Sítio d'Abadia;2016;2,9
Sítio d'Abadia;2017;0
Sítio d'Abadia;2018;0
Taquaral de Goiás;2013;2,8
Taquaral de Goiás;2014;2,2
Taquaral de Goiás;2015;3,7
Taquaral de Goiás;2016;0,9
Taquaral de Goiás;2017;0
Taquaral de Goiás;2018;1
Teresina de Goiás;2013;1,8
Teresina de Goiás;2014;0
Teresina de Goiás;2015;0
Teresina de Goiás;2016;0,7
Teresina de Goiás;2017;0
Teresina de Goiás;2018;2,8
Terezópolis de Goiás;2013;5,7
Terezópolis de Goiás;2014;5,9
Terezópolis de Goiás;2015;6,6
Terezópolis de Goiás;2016;8,6
Terezópolis de Goiás;2017;6,3
Terezópolis de Goiás;2018;8,5
Três Ranchos;2013;0
Três Ranchos;2014;0
Três Ranchos;2015;0
Três Ranchos;2016;0
Três Ranchos;2017;0
Três Ranchos;2018;0
Trindade;2013;7,9
Trindade;2014;7,7
Trindade;2015;8,7
Trindade;2016;5,9
Trindade;2017;1
Trindade;2018;1,3
Trombas;2013;4,9
Trombas;2014;5,6
Trombas;2015;7
Trombas;2016;2,6
Trombas;2017;4,4
Trombas;2018;1,6
Turvânia;2013;0,7
Turvânia;2014;0
Turvânia;2015;0
Turvânia;2016;0
Turvânia;2017;0
Turvânia;2018;0
Turvelândia;2013;6
Turvelândia;2014;5,7
Turvelândia;2015;6,3
Turvelândia;2016;5,9
Turvelândia;2017;5,4
Turvelândia;2018;5
Uirapuru;2013;3,7
Uirapuru;2014;7
Uirapuru;2015;3
Uirapuru;2016;4,7
Uirapuru;2017;1,8
Uirapuru;2018;1,2
Uruaçu;2013;4
Uruaçu;2014;5,6
Uruaçu;2015;7,4
Uruaçu;2016;3,1
Uruaçu;2017;2,9
Uruaçu;2018;1,5
Uruana;2013;5,9
Uruana;2014;7,1
Uruana;2015;3,9
Uruana;2016;9,9
Uruana;2017;2,1
Uruana;2018;10,5
Urutaí;2013;3,8
Urutaí;2014;2,5
Urutaí;2015;3,2
Urutaí;2016;4,6
Urutaí;2017;0,8
Urutaí;2018;1,6
Valparaíso de Goiás;2013;7,4
Valparaíso de Goiás;2014;6,7
Valparaíso de Goiás;2015;5,4
Valparaíso de Goiás;2016;4,5
Valparaíso de Goiás;2017;1,8
Valparaíso de Goiás;2018;2,6
Varjão;2013;4,8
Varjão;2014;2
Varjão;2015;1,6
Varjão;2016;1,6
Varjão;2017;5,9
Varjão;2018;2,3
Vianópolis;2013;4,7
Vianópolis;2014;3,6
Vianópolis;2015;6,3
Vianópolis;2016;9,3
Vianópolis;2017;0,5
Vianópolis;2018;2,6
Vicentinópolis;2013;8,7
Vicentinópolis;2014;12,7
Vicentinópolis;2015;0,5
Vicentinópolis;2016;6,4
Vicentinópolis;2017;0
Vicentinópolis;2018;2,1
Vila Boa;2013;7,6
Vila Boa;2014;0
Vila Boa;2015;0
Vila Boa;2016;0
Vila Boa;2017;0
Vila Boa;2018;0
Vila Propício;2013;0,9
Vila Propício;2014;1
Vila Propício;2015;1,6
Vila Propício;2016;3,3
Vila Propício;2017;0
Vila Propício;2018;3,3
