Localidade;Ano;Varejo;Atacado
Alto Horizonte;2013;70;143
Alto Horizonte;2014;90;127
Alto Horizonte;2015;78;113
Alto Horizonte;2016;84;136
Alto Horizonte;2017;88;143
Alto Horizonte;2018;76;138
Alto Paraíso de Goiás;1999;42;  
Alto Paraíso de Goiás;2000;53;  
Alto Paraíso de Goiás;2001;57;  
Alto Paraíso de Goiás;2002;69;
Alto Paraíso de Goiás;2003;60;
Alto Paraíso de Goiás;2004;58;
Alto Paraíso de Goiás;2005;92;
Alto Paraíso de Goiás;2006;84;
Alto Paraíso de Goiás;2007;94;
Alto Paraíso de Goiás;2008;83;
Alto Paraíso de Goiás;2009;96;
Alto Paraíso de Goiás;2010;117;282
Alto Paraíso de Goiás;2011;128;
Alto Paraíso de Goiás;2012;127;
Alto Paraíso de Goiás;2013;137;
Alto Paraíso de Goiás;2014;152;6
Alto Paraíso de Goiás;2015;175;5
Alto Paraíso de Goiás;2016;185;
Alto Paraíso de Goiás;2017;189;
Alto Paraíso de Goiás;2018;219;  
Alvorada do Norte;1999;76;3
Alvorada do Norte;2000;61;1
Alvorada do Norte;2001;78;2
Alvorada do Norte;2002;67;1
Alvorada do Norte;2003;92;1
Alvorada do Norte;2004;119;
Alvorada do Norte;2005;147;
Alvorada do Norte;2006;125;
Alvorada do Norte;2007;102;
Alvorada do Norte;2008;111;
Alvorada do Norte;2009;123;
Alvorada do Norte;2010;141;157
Alvorada do Norte;2011;161;2
Alvorada do Norte;2012;174;
Alvorada do Norte;2013;150;
Alvorada do Norte;2014;154;
Alvorada do Norte;2015;177;
Alvorada do Norte;2016;142;
Alvorada do Norte;2017;158;
Alvorada do Norte;2018;151;  
Amaralina;1999;2;  
Amaralina;2000;2;  
Amaralina;2001;2;  
Amaralina;2002;2;
Amaralina;2003;2;
Amaralina;2004;1;
Amaralina;2005;8;
Amaralina;2006;8;
Amaralina;2007;9;
Amaralina;2008;4;
Amaralina;2009;3;
Amaralina;2010;9;1
Amaralina;2011;3;
Amaralina;2012;5;
Amaralina;2013;2;
Amaralina;2014;3;
Amaralina;2015;1;
Amaralina;2016;4;
Amaralina;2017;1;
Amaralina;2018;3;  
Americano do Brasil;1999;13;  
Americano do Brasil;2000;14;  
Americano do Brasil;2001;12;  
Americano do Brasil;2002;11;36
