Localidade;Ano;IDHM – Geral;IDHM - Educação;IDHM - Longevidade;IDHM - Renda
Padre Bernardo;2010;0,651;0,515;0,801;0,67
Palestina de Goiás;1991;0,355;0,137;0,639;0,511
Palestina de Goiás;2000;0,525;0,328;0,735;0,599
Palestina de Goiás;2010;0,713;0,66;0,837;0,656
Palmeiras de Goiás;1991;0,484;0,272;0,7;0,596
Palmeiras de Goiás;2000;0,606;0,457;0,793;0,613
Palmeiras de Goiás;2010;0,698;0,598;0,815;0,698
Palmelo;1991;0,474;0,269;0,71;0,557
Palmelo;2000;0,602;0,433;0,789;0,638
Palmelo;2010;0,73;0,659;0,804;0,734
Palminópolis;1991;0,436;0,228;0,646;0,563
Palminópolis;2000;0,579;0,412;0,747;0,631
Palminópolis;2010;0,722;0,63;0,833;0,718
Panamá;1991;0,493;0,318;0,639;0,589
Panamá;2000;0,56;0,407;0,722;0,597
Panamá;2010;0,686;0,574;0,818;0,688
Paranaiguara;1991;0,465;0,248;0,678;0,597
Paranaiguara;2000;0,582;0,371;0,795;0,668
Paranaiguara;2010;0,711;0,613;0,836;0,702
Paraúna;1991;0,404;0,165;0,682;0,588
Paraúna;2000;0,552;0,335;0,758;0,663
Paraúna;2010;0,672;0,547;0,807;0,687
Perolândia;1991;0,373;0,144;0,653;0,554
Perolândia;2000;0,551;0,364;0,722;0,637
Perolândia;2010;0,676;0,538;0,832;0,691
Petrolina de Goiás;1991;0,362;0,14;0,669;0,506
Petrolina de Goiás;2000;0,562;0,363;0,789;0,621
Petrolina de Goiás;2010;0,712;0,643;0,834;0,674
Pilar de Goiás;1991;0,35;0,126;0,639;0,534
Pilar de Goiás;2000;0,479;0,275;0,739;0,542
Pilar de Goiás;2010;0,684;0,6;0,816;0,654
Piracanjuba;1991;0,474;0,246;0,683;0,632
Piracanjuba;2000;0,577;0,378;0,767;0,662
Piracanjuba;2010;0,721;0,599;0,87;0,72
Piranhas;1991;0,429;0,197;0,676;0,592
Piranhas;2000;0,57;0,387;0,774;0,619
Piranhas;2010;0,721;0,631;0,848;0,699
Pirenópolis;1991;0,388;0,151;0,667;0,579
Pirenópolis;2000;0,565;0,387;0,765;0,61
Pirenópolis;2010;0,693;0,604;0,813;0,678
Pires do Rio;1991;0,507;0,3;0,7;0,619
Pires do Rio;2000;0,641;0,484;0,777;0,699
Pires do Rio;2010;0,744;0,65;0,88;0,719
Planaltina;1991;0,384;0,156;0,657;0,554
Planaltina;2000;0,508;0,286;0,76;0,602
Planaltina;2010;0,669;0,566;0,81;0,653
Pontalina;1991;0,484;0,264;0,7;0,613
Pontalina;2000;0,626;0,429;0,779;0,735
Pontalina;2010;0,687;0,547;0,835;0,71
Porangatu;1991;0,456;0,24;0,676;0,583
Porangatu;2000;0,602;0,415;0,759;0,694
Porangatu;2010;0,727;0,642;0,845;0,709
Porteirão;1991;0,308;0,088;0,687;0,481
Porteirão;2000;0,541;0,296;0,789;0,677
Porteirão;2010;0,684;0,541;0,827;0,716
Portelândia;1991;0,369;0,132;0,687;0,553
Portelândia;2000;0,553;0,337;0,781;0,642
Portelândia;2010;0,654;0,513;0,803;0,68
Posse;1991;0,34;0,113;0,659;0,53
Posse;2000;0,503;0,292;0,748;0,583
Posse;2010;0,659;0,53;0,819;0,659
Professor Jamil;1991;0,441;0,247;0,635;0,545
Professor Jamil;2000;0,563;0,394;0,734;0,616
Professor Jamil;2010;0,684;0,579;0,821;0,673
Quirinópolis;1991;0,473;0,251;0,682;0,617
Quirinópolis;2000;0,613;0,445;0,787;0,659
Quirinópolis;2010;0,74;0,642;0,863;0,732
Rialma;1991;0,48;0,304;0,647;0,564
Rialma;2000;0,614;0,425;0,762;0,714
Rialma;2010;0,727;0,667;0,827;0,698
Rianápolis;1991;0,461;0,259;0,671;0,563
Rianápolis;2000;0,573;0,408;0,749;0,615
Rianápolis;2010;0,693;0,587;0,84;0,674
Rio Quente;1991;0,371;0,141;0,702;0,517
Rio Quente;2000;0,612;0,491;0,77;0,607
Rio Quente;2010;0,731;0,629;0,878;0,707
Rio Verde;1991;0,488;0,265;0,687;0,638
Rio Verde;2000;0,633;0,444;0,802;0,713
Rio Verde;2010;0,754;0,656;0,853;0,765
Rubiataba;1991;0,438;0,234;0,64;0,56
Rubiataba;2000;0,592;0,455;0,729;0,627
Rubiataba;2010;0,719;0,666;0,814;0,686
Sanclerlândia;1991;0,45;0,246;0,67;0,554
Sanclerlândia;2000;0,588;0,435;0,778;0,6
Sanclerlândia;2010;0,736;0,662;0,832;0,725
Santa Bárbara de Goiás;1991;0,425;0,221;0,646;0,539
Santa Bárbara de Goiás;2000;0,54;0,357;0,742;0,594
Santa Bárbara de Goiás;2010;0,706;0,635;0,832;0,667
Santa Cruz de Goiás;1991;0,401;0,162;0,71;0,559
Santa Cruz de Goiás;2000;0,573;0,355;0,791;0,67
Santa Cruz de Goiás;2010;0,688;0,563;0,827;0,7
Santa Fé de Goiás;1991;0,383;0,144;0,7;0,559
Santa Fé de Goiás;2000;0,541;0,332;0,809;0,588
Santa Fé de Goiás;2010;0,713;0,608;0,847;0,703
Santa Helena de Goiás;1991;0,477;0,259;0,678;0,619
Santa Helena de Goiás;2000;0,582;0,4;0,766;0,642
Santa Helena de Goiás;2010;0,724;0,627;0,823;0,734
Santa Isabel;1991;0,459;0,268;0,659;0,547
Santa Isabel;2000;0,566;0,425;0,729;0,584
Santa Isabel;2010;0,683;0,593;0,818;0,658
Santa Rita do Araguaia;1991;0,475;0,247;0,687;0,633
Santa Rita do Araguaia;2000;0,596;0,414;0,802;0,638
Santa Rita do Araguaia;2010;0,714;0,616;0,842;0,703
Santa Rita do Novo Destino;1991;0,32;0,109;0,64;0,471
Santa Rita do Novo Destino;2000;0,495;0,31;0,712;0,548
Santa Rita do Novo Destino;2010;0,634;0,487;0,82;0,639
Santa Rosa de Goiás;1991;0,458;0,248;0,656;0,592
Santa Rosa de Goiás;2000;0,544;0,393;0,726;0,563
Santa Rosa de Goiás;2010;0,701;0,635;0,844;0,643
Santa Tereza de Goiás;1991;0,428;0,223;0,635;0,555
Santa Tereza de Goiás;2000;0,587;0,462;0,702;0,624
Santa Tereza de Goiás;2010;0,665;0,561;0,825;0,635
Santa Terezinha de Goiás;1991;0,412;0,185;0,64;0,589
Santa Terezinha de Goiás;2000;0,549;0,39;0,723;0,586
Santa Terezinha de Goiás;2010;0,701;0,644;0,826;0,647
Santo Antônio da Barra;1991;0,375;0,144;0,658;0,557
Santo Antônio da Barra;2000;0,54;0,346;0,738;0,617
Santo Antônio da Barra;2010;0,691;0,593;0,835;0,665
Santo Antônio de Goiás;1991;0,398;0,181;0,71;0,492
Santo Antônio de Goiás;2000;0,619;0,462;0,796;0,644
Santo Antônio de Goiás;2010;0,723;0,662;0,832;0,687
Santo Antônio do Descoberto;1991;0,409;0,183;0,669;0,559
Santo Antônio do Descoberto;2000;0,526;0,334;0,755;0,576
Santo Antônio do Descoberto;2010;0,665;0,556;0,818;0,647
São Domingos;1991;0,304;0,091;0,639;0,485
São Domingos;2000;0,442;0,226;0,722;0,528
São Domingos;2010;0,597;0,445;0,83;0,576
São Francisco de Goiás;1991;0,389;0,174;0,671;0,506
São Francisco de Goiás;2000;0,569;0,408;0,75;0,603
São Francisco de Goiás;2010;0,651;0,509;0,825;0,658
São João d'Aliança;1991;0,363;0,142;0,653;0,514
São João d'Aliança;2000;0,533;0,308;0,753;0,654
São João d'Aliança;2010;0,685;0,609;0,812;0,65
São João da Paraúna;1991;0,458;0,257;0,66;0,566
São João da Paraúna;2000;0,635;0,49;0,767;0,681
São João da Paraúna;2010;0,724;0,664;0,818;0,699
São Luis de Montes Belos;1991;0,497;0,306;0,676;0,592
São Luis de Montes Belos;2000;0,624;0,48;0,769;0,657
São Luis de Montes Belos;2010;0,731;0,67;0,809;0,721
São Luiz do Norte;1991;0,323;0,115;0,64;0,459
São Luiz do Norte;2000;0,494;0,29;0,738;0,564
São Luiz do Norte;2010;0,669;0,581;0,801;0,643
São Miguel do Araguaia;1991;0,439;0,223;0,646;0,589
São Miguel do Araguaia;2000;0,548;0,349;0,724;0,652
São Miguel do Araguaia;2010;0,664;0,536;0,818;0,667
São Miguel do Passa Quatro;1991;0,406;0,193;0,671;0,516
São Miguel do Passa Quatro;2000;0,56;0,363;0,788;0,614
São Miguel do Passa Quatro;2010;0,697;0,619;0,802;0,681
São Patrício;1991;0,415;0,194;0,644;0,574
São Patrício;2000;0,523;0,356;0,715;0,562
São Patrício;2010;0,693;0,597;0,833;0,668
São Simão;1991;0,423;0,207;0,676;0,542
São Simão;2000;0,596;0,418;0,779;0,65
São Simão;2010;0,72;0,599;0,825;0,756
Senador Canedo;1991;0,365;0,141;0,657;0,524
Senador Canedo;2000;0,505;0,296;0,735;0,591
Senador Canedo;2010;0,701;0,617;0,827;0,676
Serranópolis;1991;0,423;0,182;0,671;0,62
Serranópolis;2000;0,563;0,338;0,789;0,668
Serranópolis;2010;0,681;0,551;0,804;0,713
Silvânia;1991;0,438;0,198;0,69;0,615
Silvânia;2000;0,578;0,371;0,8;0,652
Silvânia;2010;0,709;0,606;0,814;0,721
Simolândia;1991;0,277;0,078;0,637;0,429
Simolândia;2000;0,47;0,256;0,742;0,545
Simolândia;2010;0,645;0,546;0,826;0,595
Sítio d'Abadia;1991;0,301;0,094;0,649;0,447
Sítio d'Abadia;2000;0,493;0,287;0,765;0,546
Sítio d'Abadia;2010;0,617;0,497;0,802;0,59
Taquaral de Goiás;1991;0,357;0,139;0,656;0,498
Taquaral de Goiás;2000;0,584;0,431;0,726;0,635
Taquaral de Goiás;2010;0,716;0,619;0,846;0,7
Teresina de Goiás;1991;0,377;0,154;0,621;0,559
Teresina de Goiás;2000;0,498;0,315;0,723;0,543
Teresina de Goiás;2010;0,661;0,564;0,817;0,626
Terezópolis de Goiás;1991;0,36;0,141;0,658;0,502
Terezópolis de Goiás;2000;0,535;0,348;0,739;0,594
Terezópolis de Goiás;2010;0,685;0,615;0,799;0,655
Três Ranchos;1991;0,467;0,267;0,71;0,537
Três Ranchos;2000;0,598;0,431;0,811;0,611
Três Ranchos;2010;0,745;0,672;0,849;0,724
Trindade;1991;0,441;0,218;0,68;0,58
Trindade;2000;0,568;0,383;0,777;0,616
Trindade;2010;0,699;0,608;0,822;0,682
Trombas;1991;0,376;0,171;0,653;0,475
Trombas;2000;0,566;0,427;0,751;0,565
Trombas;2010;0,653;0,547;0,812;0,628
Turvânia;1991;0,482;0,303;0,626;0,59
Turvânia;2000;0,587;0,466;0,702;0,617
Turvânia;2010;0,697;0,609;0,82;0,679
Turvelândia;1991;0,413;0,189;0,646;0,577
Turvelândia;2000;0,528;0,314;0,75;0,626
Turvelândia;2010;0,691;0,605;0,813;0,671
Uirapuru;1991;0,323;0,1;0,637;0,531
Uirapuru;2000;0,521;0,361;0,737;0,532
Uirapuru;2010;0,67;0,579;0,822;0,632
Uruaçu;1991;0,454;0,242;0,662;0,584
Uruaçu;2000;0,578;0,402;0,771;0,622
Uruaçu;2010;0,737;0,628;0,86;0,74
Uruana;1991;0,483;0,289;0,644;0,606
Uruana;2000;0,554;0,38;0,712;0,628
Uruana;2010;0,703;0,634;0,824;0,665
Urutaí;1991;0,496;0,324;0,639;0,591
Urutaí;2000;0,624;0,496;0,746;0,656
Urutaí;2010;0,732;0,666;0,841;0,7
Valparaíso de Goiás;1991;0,531;0,331;0,687;0,66
Valparaíso de Goiás;2000;0,632;0,474;0,776;0,686
Valparaíso de Goiás;2010;0,746;0,695;0,815;0,733
Varjão;1991;0,414;0,19;0,69;0,542
Varjão;2000;0,562;0,37;0,796;0,604
Varjão;2010;0,687;0,572;0,813;0,698
Vianópolis;1991;0,418;0,179;0,7;0,582
Vianópolis;2000;0,596;0,376;0,779;0,722
Vianópolis;2010;0,712;0,622;0,818;0,71
Vicentinópolis;1991;0,431;0,189;0,684;0,621
Vicentinópolis;2000;0,583;0,383;0,777;0,665
Vicentinópolis;2010;0,684;0,562;0,804;0,707
Vila Boa;1991;0,271;0,06;0,648;0,512
Vila Boa;2000;0,499;0,31;0,724;0,554
Vila Boa;2010;0,647;0,534;0,818;0,619
Vila Propício;1991;0,222;0,04;0,649;0,421
Vila Propício;2000;0,437;0,211;0,733;0,539
Vila Propício;2010;0,634;0,505;0,802;0,629
