Localidade;Ano;IDHM – Geral;IDHM - Educação;IDHM - Longevidade;IDHM - Renda
Cachoeira de Goiás;1991;0,378;0,152;0,643;0,551
Cachoeira de Goiás;2000;0,575;0,44;0,726;0,594
Cachoeira de Goiás;2010;0,727;0,674;0,838;0,68
Cachoeira Dourada;1991;0,44;0,208;0,684;0,6
Cachoeira Dourada;2000;0,589;0,406;0,782;0,644
Cachoeira Dourada;2010;0,698;0,602;0,804;0,703
Caçu;1991;0,452;0,201;0,7;0,655
Caçu;2000;0,621;0,448;0,787;0,68
Caçu;2010;0,73;0,599;0,84;0,774
Caiapônia;1991;0,442;0,206;0,702;0,599
Caiapônia;2000;0,562;0,367;0,783;0,617
Caiapônia;2010;0,693;0,588;0,808;0,701
Caldas Novas;1991;0,497;0,277;0,682;0,65
Caldas Novas;2000;0,623;0,446;0,755;0,718
Caldas Novas;2010;0,733;0,64;0,832;0,739
Caldazinha;1991;0,38;0,15;0,658;0,557
Caldazinha;2000;0,542;0,31;0,777;0,661
Caldazinha;2010;0,685;0,591;0,814;0,669
Campestre de Goiás;1991;0,42;0,218;0,643;0,527
Campestre de Goiás;2000;0,524;0,33;0,746;0,584
Campestre de Goiás;2010;0,653;0,556;0,799;0,628
Campinaçu;1991;0,373;0,152;0,658;0,52
Campinaçu;2000;0,494;0,292;0,75;0,552
Campinaçu;2010;0,631;0,476;0,819;0,644
Campinorte;1991;0,389;0,168;0,662;0,529
Campinorte;2000;0,547;0,372;0,74;0,596
Campinorte;2010;0,688;0,565;0,841;0,685
Campo Alegre de Goiás;1991;0,466;0,221;0,67;0,684
Campo Alegre de Goiás;2000;0,608;0,432;0,749;0,693
Campo Alegre de Goiás;2010;0,694;0,586;0,811;0,702
Campo Limpo de Goiás;1991;0,324;0,092;0,676;0,545
Campo Limpo de Goiás;2000;0,495;0,272;0,763;0,583
Campo Limpo de Goiás;2010;0,661;0,533;0,829;0,654
Campos Belos;1991;0,408;0,192;0,626;0,563
Campos Belos;2000;0,511;0,322;0,72;0,577
Campos Belos;2010;0,692;0,616;0,815;0,661
Campos Verdes;1991;0,32;0,095;0,621;0,558
Campos Verdes;2000;0,519;0,35;0,7;0,571
Campos Verdes;2010;0,654;0,577;0,796;0,608
Carmo do Rio Verde;1991;0,449;0,259;0,671;0,52
Carmo do Rio Verde;2000;0,578;0,431;0,752;0,597
Carmo do Rio Verde;2010;0,713;0,649;0,824;0,677
Castelândia;1991;0,374;0,136;0,71;0,542
Castelândia;2000;0,546;0,326;0,775;0,643
Castelândia;2010;0,701;0,578;0,823;0,724
Catalão;1991;0,533;0,341;0,71;0,624
Catalão;2000;0,662;0,519;0,807;0,694
Catalão;2010;0,766;0,715;0,819;0,769
Caturaí;1991;0,396;0,18;0,66;0,524
Caturaí;2000;0,527;0,338;0,742;0,585
Caturaí;2010;0,664;0,54;0,815;0,665
Cavalcante;1991;0,285;0,079;0,64;0,458
Cavalcante;2000;0,396;0,172;0,71;0,509
Cavalcante;2010;0,584;0,415;0,808;0,595
Ceres;1991;0,543;0,351;0,7;0,65
Ceres;2000;0,654;0,504;0,803;0,69
Ceres;2010;0,775;0,733;0,842;0,753
Cezarina;1991;0,434;0,208;0,67;0,586
Cezarina;2000;0,581;0,414;0,769;0,615
Cezarina;2010;0,711;0,652;0,807;0,684
Chapadão do Céu;1991;0,425;0,184;0,71;0,588
Chapadão do Céu;2000;0,618;0,445;0,798;0,664
Chapadão do Céu;2010;0,742;0,652;0,837;0,748
Cidade Ocidental;1991;0,538;0,338;0,71;0,65
Cidade Ocidental;2000;0,638;0,486;0,797;0,67
Cidade Ocidental;2010;0,717;0,641;0,814;0,706
Cocalzinho de Goiás;1991;0,363;0,138;0,632;0,547
Cocalzinho de Goiás;2000;0,506;0,31;0,735;0,567
Cocalzinho de Goiás;2010;0,657;0,531;0,826;0,648
Colinas do Sul;1991;0,377;0,161;0,632;0,525
Colinas do Sul;2000;0,472;0,282;0,702;0,532
Colinas do Sul;2010;0,658;0,549;0,82;0,633
Córrego do Ouro;1991;0,428;0,218;0,67;0,536
Córrego do Ouro;2000;0,55;0,377;0,765;0,578
Córrego do Ouro;2010;0,686;0,578;0,803;0,696
Corumbá de Goiás;1991;0,333;0,101;0,665;0,55
Corumbá de Goiás;2000;0,5;0,272;0,746;0,616
Corumbá de Goiás;2010;0,68;0,571;0,829;0,665
Corumbaíba;1991;0,427;0,197;0,676;0,586
Corumbaíba;2000;0,573;0,376;0,786;0,637
Corumbaíba;2010;0,698;0,582;0,831;0,703
Cristalina;1991;0,474;0,26;0,699;0,586
Cristalina;2000;0,578;0,38;0,788;0,646
Cristalina;2010;0,699;0,587;0,814;0,716
Cristianópolis;1991;0,403;0,163;0,678;0,591
Cristianópolis;2000;0,623;0,467;0,789;0,656
Cristianópolis;2010;0,688;0,554;0,838;0,703
Crixás;1991;0,404;0,159;0,678;0,611
Crixás;2000;0,565;0,384;0,786;0,597
Crixás;2010;0,708;0,625;0,805;0,706
Cromínia;1991;0,429;0,201;0,684;0,574
Cromínia;2000;0,617;0,466;0,789;0,64
Cromínia;2010;0,706;0,634;0,803;0,692
Cumari;1991;0,465;0,256;0,676;0,582
Cumari;2000;0,625;0,495;0,786;0,628
Cumari;2010;0,737;0,657;0,819;0,744
Damianópolis;1991;0,368;0,158;0,658;0,478
Damianópolis;2000;0,496;0,332;0,765;0,481
Damianópolis;2010;0,654;0,558;0,815;0,614
Damolândia;1991;0,478;0,315;0,639;0,541
Damolândia;2000;0,563;0,443;0,721;0,56
