Localidade;Ano;AnosIniciaisRedeMunicipal;AnosIniciaisRedeEstadual;AnosIniciaisRedeFederal;AnosIniciaisRedePública;AnosFinaisRedeMunicipal;AnosFinaisRedeEstadual;AnosFinaisRedeFederal;AnosFinaisRedePública
Inhumas;2013;6,1;6,2;;6,1;4,7;5,2;;5,1
Inhumas;2015;6,3;6,5;;6,3;4,7;5,3;;5,2
Inhumas;2017;6,2;7,1;    ;6,3;4,8;5,6;    ;5,5
Ipameri;2005;5,3;4,4;;4,8;4,4;2,9;;
Ipameri;2007;5,1;4,3;;4,8;4,6;2,8;;3,3
Ipameri;2009;5,3;5,8;;5,4;4,8;3,4;;3,9
Ipameri;2011;5,4;6;;5,6;5,4;4;;4,4
Ipameri;2013;6,3;6,9;;6,5;5,4;4;;4,4
Ipameri;2015;6,3;6,8;;6,4;5,5;4,2;;4,5
Ipameri;2017;6,1;6,9;    ;6,3;5,7;5;    ;5,2
Ipiranga de Goiás;2005;;;;;;4,4;;4,3
Ipiranga de Goiás;2007;;;;;;4,4;;4,3
Ipiranga de Goiás;2009;5,1;;;5,1;;4,2;;4,3
Ipiranga de Goiás;2011;5,2;;;5,2;;4,6;;4,6
Ipiranga de Goiás;2013;6;;;6;;5,4;;5,4
Ipiranga de Goiás;2015;6,4;;;6,4;;5,4;;5,4
Ipiranga de Goiás;2017;7;    ;    ;7;    ;5,8;    ;5,8
Iporá;2005;;4,4;;4,4;;3,8;;3,8
Iporá;2007;4,1;4,6;;4,5;3;3,9;;3,8
Iporá;2009;5,1;5,7;;5,6;3,5;3,9;;3,9
Iporá;2011;;5,6;;5,6;4,1;4,5;;4,4
Iporá;2013;5,9;6,8;;6,6;4,3;5,1;;5
Iporá;2015;6,5;6,9;;6,8;;5,1;;5,2
Iporá;2017;6,9;6,9;    ;6,9;5,7;5,7;    ;5,7
Israelândia;2005;;4;;4,2;;3,1;;3,1
Israelândia;2007;4,3;4,1;;4,2;;3,7;;3,7
Israelândia;2009;4,5;;;4,5;;3,7;;3,8
Israelândia;2011;4,6;;;4,6;;3,8;;3,7
Israelândia;2013;5,1;;;5,1;;4,2;;4,2
Israelândia;2015;;;;;;4,5;;4,5
Israelândia;2017;5,8;    ;    ;5,8;    ;4,7;    ;4,7
Itaberaí;2005;4,2;4,1;;4,2;3,7;4;;4
Itaberaí;2007;4,5;4,2;;4,5;4,3;3,5;;3,7
Itaberaí;2009;5,1;5,7;;5,2;4,5;4;;4,1
Itaberaí;2011;5,9;6;;5,9;4,8;4,6;;4,7
Itaberaí;2013;5,9;6,4;;6;4,7;5,3;;5
Itaberaí;2015;6,4;6,5;;6,5;4,9;5,3;;5,1
Itaberaí;2017;7;6,5;    ;6,9;4,8;5,9;    ;5,2
Itaguari;2005;4;;;3,9;;3,5;;3,5
Itaguari;2007;5;;;5;;4,1;;4,1
Itaguari;2009;5,8;;;5,8;;4,3;;4,3
Itaguari;2011;6,2;;;6,2;;4,8;;4,8
Itaguari;2013;7;;;7;;5,2;;5,2
Itaguari;2015;7;;;7;;5,4;;5,4
Itaguari;2017;6,6;    ;    ;6,6;    ;5,4;    ;5,4
Itaguaru;2005;4,6;;;4,6;;3,6;;3,6
Itaguaru;2007;4,5;;;4,5;;4,1;;4,1
Itaguaru;2009;5,5;;;5,5;;4,4;;4,4
Itaguaru;2011;5;;;5;;5;;5
Itaguaru;2013;6,2;;;6,2;;5,2;;5,2
Itaguaru;2015;6,5;;;6,5;;4,8;;4,8
Itaguaru;2017;6,6;    ;    ;6,6;    ;6;    ;6
Itajá;2005;3,7;;;3,7;;2,3;;
Itajá;2007;4,3;;;4,3;;3,8;;3,5
Itajá;2009;4,3;;;4,3;;3,5;;3,5
Itajá;2011;5,4;;;5,4;;4,5;;4,5
Itajá;2013;5,4;;;5,4;;4,8;;4,7
Itajá;2015;6,3;;;6,3;;4,6;;4,6
Itajá;2017;5,9;    ;    ;5,9;    ;5;    ;5,1
Itapaci;2005;4,8;4,1;;4,4;;3,4;;3,6
Itapaci;2007;5,6;5;;5,3;4,5;3,5;;3,7
Itapaci;2009;6,6;5,1;;5,7;4,6;3,5;;3,8
Itapaci;2011;5,6;5,5;;5,6;4,3;4;;4,1
Itapaci;2013;5,8;6,1;;5,9;4,1;4,7;;4,4
Itapaci;2015;5;;;5;3,8;5,1;;4,5
Itapaci;2017;6;    ;    ;6;5,1;5,3;    ;5,2
Itapirapuã;2005;3,2;3,4;;3,4;;3,4;;3,4
Itapirapuã;2007;3,9;3,8;;3,9;;3,5;;3,5
Itapirapuã;2009;4,1;3,9;;4,1;;3,2;;3,2
Itapirapuã;2011;4,9;5,2;;4,9;;4;;4
Itapirapuã;2013;4,9;;;4,9;;4,9;;4,9
Itapirapuã;2015;5;5,1;;5;;5;;5
Itapirapuã;2017;5;5,3;    ;5;    ;5,1;    ;5,1
Itapuranga;2005;4,2;4,1;;4,1;;3,8;;3,8
Itapuranga;2007;4,5;4,1;;4,4;4,2;3,9;;4
Itapuranga;2009;4,9;5;;5;4,7;4;;4,1
Itapuranga;2011;5,4;6,2;;5,6;4,5;4,8;;4,7
Itapuranga;2013;5,8;6,4;;6,2;4,8;5,1;;5
Itapuranga;2015;5,5;6,5;;5,7;5;5,1;;5,1
Itapuranga;2017;5,9;6;    ;6;4,6;5,8;    ;5,3
Itarumã;2005;4,2;;;4,2;;3,3;;
Itarumã;2007;4;;;4;;4;;4
Itarumã;2009;4,5;;;4,5;;2,7;;2,8
Itarumã;2011;5,5;;;5,5;;4,2;;4,2
Itarumã;2013;6,1;;;6,1;;4,4;;4,5
Itarumã;2015;6,5;;;6,5;;4,6;;4,7
Itarumã;2017;6,6;    ;    ;6,6;    ;5,2;    ;5,1
Itauçu;2005;;4,4;;4,2;;3,8;;3,8
Itauçu;2007;;4,9;;4,8;;3,6;;3,6
Itauçu;2009;5,4;5,3;;5,3;;3,8;;3,7
Itauçu;2011;6,7;7,1;;6,9;;4,5;;4,6
Itauçu;2013;6,4;6,8;;6,6;;4,9;;4,9
Itauçu;2015;6,5;6,5;;6,5;;5;;5
Itauçu;2017;7,8;7,3;    ;7,6;    ;5,2;    ;5,2
Itumbiara;2005;4,1;4,2;;4,2;3,7;3,6;;3,7
Itumbiara;2007;4,4;4,1;;4,3;4,1;3,4;;3,6
Itumbiara;2009;5;4,7;;4,9;4,5;3,6;;3,8
Itumbiara;2011;5,6;5;;5,5;5;4,3;;4,4
Itumbiara;2013;6,5;6,2;;6,4;5,6;5,2;;5,2
Itumbiara;2015;6,4;5,6;;6,4;;5,2;;5,2
Itumbiara;2017;7;    ;    ;7;    ;5,8;    ;5,8
Ivolândia;2005;;3,7;;3,8;;3,9;;3,9
Ivolândia;2007;;5,1;;5,1;;4,4;;4,4
Ivolândia;2009;;6,1;;6,1;;4,4;;4,4
Ivolândia;2011;;6,2;;6,2;;;;
Ivolândia;2013;;5,8;;5,8;;5,9;;5,9
Ivolândia;2015;;6,4;;6,4;;5,9;;5,9
Ivolândia;2017;    ;6,3;    ;6,3;    ;5,5;    ;5,5
Jandaia;2005;4,3;4,8;;4,6;;3,7;;3,9
Jandaia;2007;4,1;4,6;;4,2;4,3;3,9;;4,1
Jandaia;2009;4,9;;;4,9;4,6;4;;4,3
Jandaia;2011;4,8;;;4,8;4,3;4;;4,2
Jandaia;2013;6,1;;;6,1;4,7;4,5;;4,6
Jandaia;2015;6,2;;;6,2;5,3;4,1;;4,8
Jandaia;2017;6,6;    ;    ;6,6;    ;5,3;    ;5,3
Jaraguá;2005;4,4;4,7;;4,5;;3,4;;3,4
Jaraguá;2007;4,6;4,5;;4,6;;3,5;;3,5
Jaraguá;2009;5,1;5,5;;5,1;;3,9;;3,9
Jaraguá;2011;5,5;;;5,5;;4,1;;4,1
Jaraguá;2013;6;6,4;;6;;5;;5
Jaraguá;2015;6,3;6,8;;6,3;;5,1;;5,1
Jaraguá;2017;6,6;6,9;    ;6,6;    ;5,5;    ;5,5
Jataí;2005;4;4,4;;4,1;3,8;3,7;;3,7
Jataí;2007;4,3;4,2;;4,3;3,7;4,1;;3,9
Jataí;2009;5,2;5,1;;5,2;4;3,9;;3,9
Jataí;2011;5,2;5,2;;5,2;4;4,5;;4,4
Jataí;2013;5,9;6,2;;5,9;4,4;5;;4,8
Jataí;2015;5,8;6,2;;5,8;4,7;5;;5
