Localidade;Ano;IDM Educacao;Adequacao dos professores do ensino infantil;Adequacao dos professores do ensino fundamental;Adequacao dos professores do ensino médio;Atendimento educacional da população de 4 a 5 anos;Atendimento educacional da população de 6 a 14 anos;Atendimento educacional da população de 15 a 17 anos;IDEB5ano;IDEB9ano;Infraestrutura dos predios das escolas publicas urbanas
Alexânia;2014;4,94166666666667;;;;3,35;7,52;6,38;4,8;4;3,6
Alexânia;2016;5,19444444444444;2,22;2,84;4,46;5,35;10;9,26;5;4,3;3,32
Alexânia;2018;5,41333333333333;4,89;3,87;3,96;8,18;9,84;4,07;5,5;4,9;3,51
Aloândia;2012;5,23666666666667;;;;7;8,28;3,9;5,4;0;6,84
Aloândia;2014;5,7;;;;3,75;8,19;5,17;5,7;4,8;6,59
Aloândia;2016;5,42625;5;3,66;3,95;5,09;8,92;6,23;;5,5;5,06
Aloândia;2018;5,80333333333333;7,5;1,62;3,63;10;7,42;3,6;6,9;5,6;5,96
Alto Horizonte;2012;5,58333333333333;;;;8,62;7,45;6,45;4,4;2,9;3,68
Alto Horizonte;2014;6,54166666666667;;;;8,1;8,25;8,25;5,4;3,8;5,45
Alto Horizonte;2016;5,19333333333333;0,56;4,17;3,58;8,69;9,9;6,87;6,1;5,1;1,77
Alto Horizonte;2018;6,12666666666667;2,11;6,23;3,38;10;9,46;7,25;6,6;5,3;4,81
Alto Paraíso de Goiás;2012;5,65166666666667;;;;7,58;8,23;7,76;3,6;3,9;2,84
Alto Paraíso de Goiás;2014;5,835;;;;6,81;9,8;6,75;4,1;3,8;3,75
Alto Paraíso de Goiás;2016;4,24777777777778;4,44;3,67;2,4;4,61;4,39;4,95;4,7;5;4,07
Alto Paraíso de Goiás;2018;5,54777777777778;4,12;3,95;1,88;10;10;6,23;4,9;4,5;4,35
Alvorada do Norte;2012;5,12;;;;5,85;8,21;4,87;3,9;3,6;4,29
Alvorada do Norte;2014;6,08;;;;6,81;7,47;10;4,9;3,7;3,6
Alvorada do Norte;2016;5,08;2,14;3,52;2,74;5,2;10;9,3;5,2;4,8;2,82
Alvorada do Norte;2018;5,08777777777778;3;4,68;1,77;7,94;9,17;5,55;5,5;5,1;3,08
Amaralina;2012;3,01333333333333;;;;0,84;3,23;5,23;4,1;3,8;0,88
Amaralina;2014;4,48;;;;2,83;6,62;5,41;4,5;3,8;3,72
Amaralina;2016;5,63111111111111;7,5;5,44;3,87;7,41;9,58;4,69;5,1;4,5;2,59
Amaralina;2018;5,87111111111111;7,14;4,9;3,72;9,11;8,53;6,71;6;5;1,73
Americano do Brasil;2012;5,41;;;;6,45;7,71;6,26;5,1;4,1;2,84
