Localidade;Ano;IDM Geral;IDM Economia;IDM Educacao;IDM Infraestrutura;IDM Saude;IDM Seguranca;IDM Trabalho
Campestre de Goiás;2012;4,43833333333333;1,13;5,39;2,13;6,31;9,58;2,09
Campestre de Goiás;2014;4,41;1,56;5,61;2,28;5,99;8,94;2,08
Campestre de Goiás;2016;4,62833333333333;1,33;6,05;2,14;7,56;8,44;2,25
Campestre de Goiás;2018;4,71166666666667;0,92;6,29;2,29;7,71;8,20;2,86
Campinaçu;2012;4,45833333333333;0,8;4,08;2,13;8,07;9,62;2,05
Campinaçu;2014;4,78833333333333;1,42;5,58;2,27;7,91;9,49;2,06
Campinaçu;2016;4,69666666666667;1,41;4,99;2,35;8,11;8,83;2,49
Campinaçu;2018;4,35;0,87;4,92;2,61;7,83;8,40;1,47
Campinorte;2012;4,42833333333333;1,39;5,15;2,93;6,81;8,49;1,8
Campinorte;2014;4,36333333333333;1,83;5,28;3,35;7,19;6,46;2,07
Campinorte;2016;4,65333333333333;1,67;4,89;3,59;7,31;7,49;2,97
Campinorte;2018;4,98666666666667;1,18;6,11;3,88;7,63;8,17;2,95
Campo Alegre de Goiás;2012;4,68666666666667;1,39;6,12;2,72;7,43;8,14;2,32
Campo Alegre de Goiás;2014;4,87166666666667;2,46;5,27;2,75;8,38;7,35;3,02
Campo Alegre de Goiás;2016;5,155;2,79;5,72;2,66;8,43;8,28;3,05
Campo Alegre de Goiás;2018;4,59166666666667;2,17;5,06;2,77;8,23;6,32;3
Campo Limpo de Goiás;2012;3,875;1,04;4,78;1,99;5,91;7,29;2,24
Campo Limpo de Goiás;2014;3,77333333333333;1,5;4,71;2,12;6,06;6,45;1,8
Campo Limpo de Goiás;2016;4,30333333333333;1,48;5,16;2,18;6,11;7,84;3,05
Campo Limpo de Goiás;2018;4,23333333333333;0,94;4,96;2,33;5,82;8,41;2,94
Campos Belos;2012;4,32666666666667;1,25;5,97;4,47;5,51;6,34;2,42
Campos Belos;2014;4,49666666666667;1,71;6,19;4,75;7,21;4,84;2,28
Campos Belos;2016;4,815;1,65;5,91;5,13;7,09;5,86;3,25
Campos Belos;2018;4,93333333333333;1,28;5,58;5,19;7,26;6,90;3,39
Campos Verdes;2012;4,93333333333333;0,83;5,77;3,37;8,23;8,96;2,44
Campos Verdes;2014;5,02666666666667;1,31;6,68;3,79;7,55;8,90;1,93
Campos Verdes;2016;5,155;1,3;6,31;3,9;7,76;9,00;2,66
Campos Verdes;2018;5,155;0,8;6,02;4,74;7,93;8,03;3,41
Carmo do Rio Verde;2012;4,71666666666667;1,03;5,86;2,77;6,81;9,60;2,23
Carmo do Rio Verde;2014;4,34833333333333;1,37;4,52;2,99;7,36;7,68;2,17
Carmo do Rio Verde;2016;4,51;1,44;4,32;2,91;7,67;7,40;3,32
Carmo do Rio Verde;2018;4,84666666666667;1,6;5,03;3,06;7,98;7,94;3,47
Castelândia;2012;4,53166666666667;0,95;4,03;3,07;7,87;9,26;2,01
Castelândia;2014;5,06833333333333;1,69;6,17;3,61;7,06;9,55;2,33
Castelândia;2016;4,835;1,62;5,36;3,56;8,11;8,00;2,36
Castelândia;2018;5,08833333333333;1,32;5,94;3,87;8,95;7,88;2,57
Catalão;2012;5,47333333333333;2,5;5,68;5,65;9,3;6,42;3,29
Catalão;2014;5,16333333333333;3,39;5,98;5,41;6,14;6,65;3,41
Catalão;2016;4,79333333333333;3,38;3,99;4,9;6,37;5,89;4,23
Catalão;2018;5,18333333333333;2,81;4,95;5,2;6,75;6,88;4,51
