Localidade;Ano;IDM Geral;IDM Economia;IDM Educacao;IDM Infraestrutura;IDM Saude;IDM Seguranca;IDM Trabalho
Edéia;2016;5,42;2,32;5,59;5,29;8,74;6,46;4,12
Edéia;2018;5,555;2,38;6,02;5,18;8,53;7,11;4,11
Estrela do Norte;2012;5,28666666666667;1,42;5,9;3,16;8,67;9,91;2,66
Estrela do Norte;2014;4,495;1,55;5,98;3,22;6,44;7,79;1,99
Estrela do Norte;2016;4,82666666666667;1,07;5,89;3,71;8,45;7,26;2,58
Estrela do Norte;2018;4,685;0,82;5,88;3,92;8,46;6,45;2,58
Faina;2012;4,29833333333333;0,99;5,08;1,18;7,33;9,23;1,98
Faina;2014;4,34166666666667;1,48;4,2;1,25;7,89;9,36;1,87
Faina;2016;4,09;1,36;3,98;1,17;8,35;7,62;2,06
Faina;2018;4,485;1,17;5,21;1,19;8,44;8,39;2,51
Fazenda Nova;2012;4,01166666666667;1,13;3,04;2,44;6,53;9,25;1,68
Fazenda Nova;2014;4,70666666666667;1,43;5,48;2,26;8,06;8,87;2,14
Fazenda Nova;2016;4,71833333333333;1,68;5,02;2,54;7,79;8,87;2,41
Fazenda Nova;2018;4,62;1,38;4,87;2,67;8,14;8,24;2,42
Firminópolis;2012;4,49666666666667;0,97;5,9;2,75;8,14;7,33;1,89
Firminópolis;2014;4,30666666666667;1,42;3,54;2,72;7,7;8,21;2,25
Firminópolis;2016;4,78;1,61;4,71;2,8;8,11;8,15;3,3
Firminópolis;2018;4,59333333333333;1,25;4,94;2,86;7,81;7,35;3,35
Flores de Goiás;2012;3,75666666666667;0,36;4,6;0,03;6,18;9,56;1,81
Flores de Goiás;2014;4,10833333333333;1,49;3,28;0,05;5,83;9,43;4,57
Flores de Goiás;2016;3,96333333333333;1,29;4,57;0;6,49;8,73;2,7
Flores de Goiás;2018;3,665;0,97;3,21;0,1;7,09;7,74;2,88
Formosa;2012;4,39833333333333;1,45;5,12;3,98;7,6;5,72;2,52
Formosa;2014;4,3;2,11;5,01;4,23;6,21;5,89;2,35
Formosa;2016;4,43333333333333;2,1;4,18;4,38;6,67;5,86;3,41
Formosa;2018;4,61;1,87;4,87;4,79;6,38;6,17;3,58
Formoso;2012;4,80666666666667;0,67;4,97;3,12;8,08;9,97;2,03
Formoso;2014;4,94;1,32;5,61;3,18;7,64;9,83;2,06
Formoso;2016;4,90333333333333;1,46;5,32;3,35;7,59;8,98;2,72
Formoso;2018;4,6;1,2;4,79;3,57;8,98;6,32;2,74
Gameleira de Goiás;2012;4,615;1,44;6,09;1,21;7,59;9,36;2
Gameleira de Goiás;2014;4,33333333333333;1,86;4,69;1,44;6,47;8,92;2,62
Gameleira de Goiás;2016;4,72833333333333;1,75;5,46;1,39;7,09;9,53;3,15
Gameleira de Goiás;2018;4,45166666666667;1,67;5,34;1,34;7,3;7,91;3,15
Goianápolis;2012;4,22166666666667;1,09;5,14;2,75;7,16;6,89;2,3
Goianápolis;2014;4,81333333333333;1,55;5,84;3,2;8,36;7,62;2,31
Goianápolis;2016;4,39666666666667;1,6;5,86;3,43;7,39;5,13;2,97
Goianápolis;2018;4,69833333333333;1,04;5,88;3,94;8,18;5,91;3,24
Goiandira;2012;4,55333333333333;1,26;7,19;4,55;6,38;5,86;2,08
Goiandira;2014;4,97166666666667;1,56;6,18;4,68;8,3;6,76;2,35
Goiandira;2016;5,07166666666667;2,49;5,91;4,28;7,95;6,87;2,93
Goiandira;2018;5,265;2,32;5,54;4,71;9,4;6,65;2,97
Goianésia;2012;5,00666666666667;1,48;5,65;4,19;8,7;7,51;2,51
Goianésia;2014;4,775;1,86;5,9;4,43;7,6;6,26;2,6
Goianésia;2016;4,80166666666667;2,26;5,91;4,35;8;4,89;3,4
Goianésia;2018;5,15833333333333;2,05;5,97;5,18;8,01;6,24;3,5
Goiânia;2012;5,46666666666667;4,75;5,34;6,87;6,84;5,32;3,68
Goiânia;2014;5,74166666666667;5,54;5,46;7,1;6,9;5,75;3,7
Goiânia;2016;5,74166666666667;5,49;4,55;7,12;6,71;5,65;4,93
Goiânia;2018;5,92166666666667;5,07;5,87;7,16;6,44;5,76;5,23
Goianira;2012;4,34333333333333;1,62;5,37;3,57;6,49;6,68;2,33
Goianira;2014;4,73833333333333;1,92;5,47;4,46;7,13;6,71;2,74
Goianira;2016;4,76333333333333;2,01;6,21;5,13;7,45;4,67;3,11
Goianira;2018;5,085;1,8;6,78;5,8;7,73;5,22;3,18
Goiás;2012;4,74166666666667;1,07;6,06;4,54;8,38;6,49;1,91
Goiás;2014;4,88;1,89;4,99;4,88;8,9;6,00;2,62
Goiás;2016;4,9;1,78;4,95;5,04;8,45;6,77;2,41
Goiás;2018;4,91;1,11;5,07;5,5;8,13;6,41;3,24
Goiatuba;2012;4,76833333333333;1,43;5,64;4,13;7,39;7,28;2,74
Goiatuba;2014;5,02166666666667;1,31;5,63;4,34;7,83;7,75;3,27
Goiatuba;2016;5,655;2,5;5,65;4,63;7,69;10,00;3,46
Goiatuba;2018;5,38166666666667;2,17;5,99;5,06;8,7;6,84;3,53
Gouvelândia;2012;4,285;1,48;4,7;2,45;6,73;8,46;1,89
Gouvelândia;2014;4,57;1,88;4,9;2,47;6,29;9,71;2,17
Gouvelândia;2016;4,17833333333333;1,94;4,22;2,4;6,62;7,70;2,19
Gouvelândia;2018;4,28666666666667;1,66;4,7;2,3;6,17;8,81;2,08
Guapó;2012;4,24833333333333;1,28;4,75;4,39;6,43;6,52;2,12
Guapó;2014;4,38333333333333;1,81;5,11;4,75;6,52;6,02;2,09
Guapó;2016;4,655;1,54;5,49;4,61;7,08;6,32;2,89
Guapó;2018;4,85;1,25;5,56;5,42;7,27;6,31;3,29
Guaraíta;2012;4,73166666666667;1,27;5,96;1,94;7,48;9,52;2,22
Guaraíta;2014;4,49;1,54;5,55;2,11;5,78;9,62;2,34
Guaraíta;2016;4,73166666666667;1,21;5,91;2,12;7,62;8,47;3,06
Guaraíta;2018;4,62166666666667;0,97;5,02;2,78;7,67;8,00;3,29
Guarani de Goiás;2012;3,97333333333333;1,09;4,69;0,86;6,6;8,69;1,91
Guarani de Goiás;2014;4,05333333333333;1,48;5,43;0,84;6,22;9,02;1,33
Guarani de Goiás;2016;4,26833333333333;1,37;5,73;0,88;7,04;7,81;2,78
Guarani de Goiás;2018;4,54833333333333;1,09;5,37;1,08;7,53;9,09;3,13
Guarinos;2012;4,44833333333333;1,27;5,69;1,69;6,75;9,57;1,72
Guarinos;2014;4,19666666666667;1,71;4,64;1,83;6,08;9,24;1,68
Guarinos;2016;4,56333333333333;1,56;5,01;1,77;7,16;9,62;2,26
Guarinos;2018;4,64666666666667;1,51;5,65;1,87;7,51;8,88;2,46
Heitoraí;2012;4,49333333333333;0,65;5;2,66;7,51;9,37;1,77
Heitoraí;2014;4,77166666666667;1,3;5,69;2,65;8,16;9,05;1,78
Heitoraí;2016;4,65166666666667;1,29;5,2;2,82;8,34;7,34;2,92
Heitoraí;2018;4,59;0,94;5,17;2,84;9,03;7,42;2,14
Hidrolândia;2012;4,06;1,55;5,02;2,61;7,21;5,59;2,38
Hidrolândia;2014;4,07833333333333;2,15;4,45;3,02;7,37;4,81;2,67
Hidrolândia;2016;4,47166666666667;2,12;6;3,2;7,57;4,82;3,12
Hidrolândia;2018;4,91;2,09;6,24;3,44;7,67;6,88;3,14
Hidrolina;2012;4,73333333333333;1,23;5,24;2,74;8,46;9,05;1,68
Hidrolina;2014;4,34833333333333;1,51;4,31;2,82;6,48;9,31;1,66
Hidrolina;2016;4,87666666666667;1,36;5,2;2,6;8,61;9,37;2,12
Hidrolina;2018;5,10166666666667;0,88;6,21;3,53;8,64;9,03;2,32
Iaciara;2012;3,79;1,14;4,32;2,01;6,13;6,67;2,47
Iaciara;2014;3,945;1,83;4,09;2,03;5,8;7,77;2,15
Iaciara;2016;4,17666666666667;1,91;3,75;1,91;6,98;7,59;2,92
Iaciara;2018;4,15;1,61;4,21;1,89;6,17;7,86;3,16
Inaciolândia;2012;4,985;1,49;5,34;2,83;7,97;9,02;3,26
Inaciolândia;2014;5,12666666666667;2;5,95;3,4;8,13;8,82;2,46
Inaciolândia;2016;5,375;2,09;6,34;3,62;7,57;9,64;2,99
Inaciolândia;2018;5,09666666666667;1,82;6,32;3,85;8,78;7,17;2,64
Indiara;2012;4,25666666666667;1,94;5,45;2,9;6,71;5,91;2,63
Indiara;2014;4,87833333333333;2,68;5,17;2,96;7,21;7,90;3,35
Indiara;2016;4,53166666666667;2,19;5,73;3,04;6,38;6,79;3,06
Indiara;2018;4,36833333333333;1,63;4,99;3,32;7,32;5,22;3,73
Inhumas;2012;4,95666666666667;1,58;5,82;4,6;8,47;7,08;2,19
Inhumas;2014;5,20333333333333;1,66;5,99;5,19;7,94;8,15;2,29
Inhumas;2016;5,255;1,82;6,53;5,4;7,54;7,41;2,83
Inhumas;2018;5,46666666666667;1,56;6,97;5,64;7,86;7,86;2,91
Ipameri;2012;4,91;1,92;5,85;4,03;8,78;6,53;2,35
Ipameri;2014;5,02;2,31;5,32;3,98;8,53;7,46;2,52
Ipameri;2016;4,92666666666667;2,46;5,19;4,02;8,58;6,60;2,71
Ipameri;2018;5,07666666666667;2,36;5,45;4,25;8,97;6,75;2,68
Ipiranga de Goiás;2012;4,63833333333333;1,11;6,27;1,84;6,67;9,71;2,23
Ipiranga de Goiás;2014;3,96;1,66;4,33;1,9;3,73;9,71;2,43
Ipiranga de Goiás;2016;4,39333333333333;1,41;4,87;1,95;5,61;9,32;3,2
Ipiranga de Goiás;2018;5,04333333333333;1,14;5,98;2,34;8,24;9,15;3,41
Iporá;2012;5,06333333333333;1,4;6,37;5,12;7,47;7,69;2,33
Iporá;2014;5,17333333333333;1,98;6,07;5,35;7,82;7,36;2,46
Iporá;2016;5;1,75;5,55;5,51;7,37;6,32;3,5
Iporá;2018;5,37666666666667;1,45;5,95;5,81;8,43;6,79;3,83
Israelândia;2012;4,46;1,05;6,43;2,96;8,81;6,14;1,37
Israelândia;2014;4,71833333333333;1,66;4,96;3,13;7,66;8,32;2,58
Israelândia;2016;4,32333333333333;1,18;5,05;3,07;7,85;6,48;2,31
Israelândia;2018;4,61333333333333;1,01;6,1;3;9,07;6,17;2,33
Itaberaí;2012;4,475;1,57;5,22;3,28;7,62;6,71;2,45
Itaberaí;2014;4,555;2,04;5,14;4,05;6,83;6,87;2,4
Itaberaí;2016;4,85166666666667;2,16;5,28;4,19;7,44;7,02;3,02
Itaberaí;2018;4,76;1,74;6,26;4,29;7,34;5,99;2,94
Itaguari;2012;4,86333333333333;0,97;6,24;3,13;6,67;9,86;2,31
Itaguari;2014;4,90333333333333;1,65;6,74;3,36;6,72;8,87;2,08
Itaguari;2016;5,09166666666667;1,34;7,12;3,45;7,13;8,32;3,19
Itaguari;2018;4,91166666666667;1,03;6,13;3,8;7,31;8,09;3,11
Itaguaru;2012;4,78166666666667;1,18;6,32;3,01;8,02;8,39;1,77
Itaguaru;2014;4,82833333333333;1,43;6,63;3,19;7,61;7,98;2,13
Itaguaru;2016;4,91666666666667;1,51;5,98;3,19;8,41;7,79;2,62
Itaguaru;2018;5,03333333333333;1,18;6,17;3,7;9;7,04;3,11
Itajá;2012;5,145;1,05;5,94;3,29;8,79;9,99;1,81
Itajá;2014;4,91666666666667;1,62;5,33;3,41;7,28;9,72;2,14
Itajá;2016;4,81;1,71;5,94;3,59;6,63;8,47;2,52
Itajá;2018;4,695;1,36;5,67;3,62;8,03;7,03;2,46
Itapaci;2012;4,625;1,09;5,88;2,5;7,75;7,68;2,85
Itapaci;2014;4,22833333333333;1,67;4,65;2,43;7,92;6,45;2,25
Itapaci;2016;4,40666666666667;1,56;3,75;2,5;7,34;8,59;2,7
Itapaci;2018;4,72833333333333;1,21;5,29;3;8,05;7,73;3,09
Itapirapuã;2012;4,665;1,3;5,07;2,85;8,54;8,20;2,03
Itapirapuã;2014;4,52666666666667;0,78;5,19;3,33;7,59;8,15;2,12
Itapirapuã;2016;4,93166666666667;1,77;4,85;3,7;8,07;8,37;2,83
Itapirapuã;2018;5,15666666666667;1,51;5,12;4,42;9,1;7,83;2,96
Itapuranga;2012;4,99;1,11;5,84;5,01;7,48;8,24;2,26
Itapuranga;2014;5,27333333333333;1,71;5,57;5,41;8,13;8,76;2,06
Itapuranga;2016;5,31333333333333;1,68;5,04;5,26;8,84;7,74;3,32
Itapuranga;2018;5,26333333333333;1,31;5,71;5,31;8,69;6,94;3,62
Itarumã;2012;4,455;1,76;3,6;2,14;7;9,98;2,25
Itarumã;2014;4,88666666666667;1,84;4,74;2,58;8,12;9,98;2,06
Itarumã;2016;4,80666666666667;2,08;4,95;2,55;8,63;8,09;2,54
Itarumã;2018;4,84;1,86;5,2;2,47;8,49;8,87;2,15
Itauçu;2012;4,95666666666667;1,48;5,55;4,88;8,25;7,60;1,98
Itauçu;2014;4,96333333333333;1,28;4,5;4,94;8;8,70;2,36
Itauçu;2016;4,76666666666667;1,52;5,48;4,67;7,97;6,84;2,12
Itauçu;2018;5,40833333333333;1,07;6,53;4,65;8,69;8,70;2,81
Itumbiara;2012;5,25166666666667;1,87;5,93;6,26;7,71;6,76;2,98
Itumbiara;2014;5,315;2,79;5,99;6,69;6,85;6,53;3,04
Itumbiara;2016;5,02333333333333;2,67;5,01;6,95;5,99;5,61;3,91
Itumbiara;2018;5,225;2,2;5,83;7,13;6,24;6,11;3,84
Ivolândia;2012;4,87166666666667;1,27;5,61;2,29;8,27;9,34;2,45
Ivolândia;2014;5,10166666666667;1,9;4,54;2,39;8,85;9,95;2,98
Ivolândia;2016;5,115;1,27;5,48;2,4;9,2;9,38;2,96
Ivolândia;2018;4,935;1,2;5,77;2,52;9,33;7,66;3,13
Jandaia;2012;5,16833333333333;1,66;6,4;3,23;7,73;9,04;2,95
Jandaia;2014;5,005;1,72;5,82;3,01;7,21;8,98;3,29
Jandaia;2016;4,98833333333333;1,87;5,66;3,05;7,58;8,28;3,49
Jandaia;2018;4,99666666666667;1,81;5,54;3,08;8,84;7,26;3,45
Jaraguá;2012;4,24166666666667;1,32;4,81;3,25;7,49;6,63;1,95
Jaraguá;2014;4,42166666666667;1,81;5,12;3,61;6,75;6,88;2,36
Jaraguá;2016;4,545;1,73;5,19;3,62;6,46;7,46;2,81
Jaraguá;2018;4,47166666666667;1,3;5,19;3,54;6,9;7,53;2,37
Jataí;2012;5,18833333333333;3;5,64;5,25;8,58;5,92;2,74
Jataí;2014;5,10833333333333;3,65;5,64;5,58;6,98;5,79;3,01
Jataí;2016;5,26333333333333;3,61;5,13;5,65;7,59;6,15;3,45
Jataí;2018;5,48666666666667;3,14;5,93;6,32;7,41;6,88;3,24
Jaupaci;2012;4,86833333333333;1,09;6,54;3,69;6,93;8,62;2,34
Jaupaci;2014;5,09833333333333;1,62;5,97;3,68;8,02;9,23;2,07
Jaupaci;2016;4,785;1,28;6,11;3,52;7,95;7,06;2,79
Jaupaci;2018;5,17333333333333;1,11;6,16;3,65;8,55;8,56;3,01
Jesúpolis;2012;4,55166666666667;1,23;4,34;2,94;7,16;9,55;2,09
Jesúpolis;2014;4,56;1,49;6,36;3;6,25;7,66;2,6
Jesúpolis;2016;4,87333333333333;1,5;6,67;2,86;6,98;8,45;2,78
Jesúpolis;2018;4,84;1,07;6,55;2,9;7,24;8,69;2,59
Joviânia;2012;4,84;1,11;6,08;5,57;7,54;6,74;2
Joviânia;2014;4,86333333333333;1,9;5,68;5,54;7,68;5,95;2,43
Joviânia;2016;5,08;1,88;5,61;5,16;7,64;7,37;2,82
Joviânia;2018;5,425;1,6;5,74;5,57;8,45;8,17;3,02
Jussara;2012;4,77333333333333;1,46;5,64;5,29;6,73;7,05;2,47
Jussara;2014;4,70833333333333;1,9;5,6;5,4;7,15;5,92;2,28
Jussara;2016;5,25166666666667;1,95;5,93;5,46;7,7;7,16;3,31
Jussara;2018;5,26;1,6;6,07;5,63;7,39;7,33;3,54
Lagoa Santa;2012;4,544;1,2;5,56;5,49;8,04;-;2,43
Lagoa Santa;2014;5,44333333333333;1,68;6,43;5,75;7,71;8,40;2,69
Lagoa Santa;2016;5,245;1,57;6,04;6;7,27;9,05;1,54
Lagoa Santa;2018;5,57166666666667;1,25;5,96;7,35;7,72;7,05;4,1
Leopoldo de Bulhões;2012;4,165;1,08;5,63;2,25;7,51;6,41;2,11
Leopoldo de Bulhões;2014;4,44;1,51;4,76;2,28;7,91;7,99;2,19
Leopoldo de Bulhões;2016;4,42333333333333;2,09;4,22;2,12;7,25;8,13;2,73
Leopoldo de Bulhões;2018;4,45333333333333;1,45;5,29;2,23;7,4;7,78;2,57
Luziânia;2012;3,82333333333333;1,9;4,72;2,86;5,29;5,83;2,34
Luziânia;2014;3,885;2,21;4,86;3;4,96;5,93;2,35
Luziânia;2016;4,06666666666667;2,64;5,07;3,1;4,61;5,72;3,26
Luziânia;2018;4,20166666666667;2,27;5,54;2,77;4,55;6,70;3,38
Mairipotaba;2012;5,18833333333333;1,23;6,64;2,86;8,47;9,86;2,07
Mairipotaba;2014;5,415;1,58;6,62;3,49;8,77;9,88;2,15
Mairipotaba;2016;4,94833333333333;1,49;7,18;3,21;9,28;5,98;2,55
Mairipotaba;2018;4,87833333333333;1,42;6,78;3,27;8,88;6,18;2,74
Mambaí;2012;4,26;1,07;5,14;2,11;6,95;8,95;1,34
Mambaí;2014;4,54;1,61;5,26;2,36;7,13;8,74;2,14
Mambaí;2016;4,64333333333333;1,5;5,52;1,9;7,36;8,69;2,89
Mambaí;2018;4,535;1,05;5,32;1,88;7,48;8,53;2,95
Mara Rosa;2012;4,74833333333333;1,55;5,95;3,97;6,69;8,34;1,99
Mara Rosa;2014;4,80166666666667;2,01;5,47;4,25;6,33;8,53;2,22
Mara Rosa;2016;4,76;1,5;6,01;4,34;6,77;7,37;2,57
Mara Rosa;2018;5,01833333333333;1,14;5,83;4,88;7,83;7,36;3,07
Marzagão;2012;4,91333333333333;1,2;6,2;4,19;8,23;7,57;2,09
Marzagão;2014;5,30833333333333;1,56;6,73;4,16;8,47;8,10;2,83
Marzagão;2016;5,27666666666667;1,13;6,53;4,04;8,99;8,60;2,37
Marzagão;2018;4,75833333333333;0,71;5,5;4,03;8,8;6,80;2,71
Matrinchã;2012;4,53333333333333;1,51;5,73;2,48;7,58;7,81;2,09
Matrinchã;2014;4,95666666666667;1,8;6,07;2,39;8,3;8,46;2,72
Matrinchã;2016;4,635;1,33;4,61;2,21;8,31;8,88;2,47
Matrinchã;2018;4,67166666666667;1,36;5,24;2,05;8,86;8,10;2,42
Maurilândia;2012;3,88166666666667;1,03;4,78;2,89;5,35;7,11;2,13
Maurilândia;2014;4,36666666666667;1,8;5,24;2,9;5,8;7,73;2,73
Maurilândia;2016;4,36666666666667;1,38;4,88;2,84;5,16;8,84;3,1
Maurilândia;2018;3,99333333333333;0,92;4,83;2,9;5,11;7,63;2,57
Mimoso de Goiás;2012;4,23666666666667;1,24;5,9;1,3;6,76;8,78;1,44
Mimoso de Goiás;2014;4,47833333333333;1,83;3,87;2,7;7,21;8,59;2,67
Mimoso de Goiás;2016;5,01666666666667;1,99;5,35;2,56;7,46;9,54;3,2
Mimoso de Goiás;2018;4,42;0,99;5,59;2,53;6,32;8,73;2,36
Minaçu;2012;4,765;1,76;5,93;2,95;6,97;8,17;2,81
Minaçu;2014;4,52333333333333;2,29;5,53;3,04;6,18;7,38;2,72
Minaçu;2016;4,52166666666667;1,82;5,91;3,03;5,5;7,03;3,84
Minaçu;2018;4,73333333333333;1,76;5,07;4,27;5,78;7,87;3,65
Mineiros;2012;5,11;2,25;5,13;5,31;7,83;7,29;2,85
Mineiros;2014;5,185;2,83;5,37;5,35;5,99;8,22;3,35
Mineiros;2016;5,065;2,86;5,9;5,12;6,88;6,26;3,37
Mineiros;2018;5,305;2,52;6,92;5,04;7,6;6,38;3,37
Moiporá;2012;4,90666666666667;1,14;5,26;3,09;7,37;9,86;2,72
Moiporá;2014;4,82;1,59;3,79;3,3;7,89;9,97;2,38
Moiporá;2016;5,36;1,44;6,41;3,65;7,75;9,58;3,33
Moiporá;2018;4,68166666666667;1,06;5,63;3,25;6,57;8,25;3,33
Monte Alegre de Goiás;2012;3,95166666666667;1,28;4,26;1;6,14;9,30;1,73
Monte Alegre de Goiás;2014;3,86333333333333;1,43;3,86;1,05;5,98;9,00;1,86
Monte Alegre de Goiás;2016;4,02833333333333;1,27;4,72;1,06;6,79;7,64;2,69
Monte Alegre de Goiás;2018;3,83333333333333;0,98;3,72;1,04;6,88;7,80;2,58
Montes Claros de Goiás;2012;4,75;1,7;4,65;2,4;7,34;9,97;2,44
Montes Claros de Goiás;2014;4,965;2,33;4,36;2,89;7,86;9,13;3,22
Montes Claros de Goiás;2016;5,13333333333333;2,09;6,19;3,66;8,16;7,62;3,08
Montes Claros de Goiás;2018;4,71166666666667;1,76;5,12;4,13;8,88;5,49;2,89
Montividiu;2012;5,245;1,88;6,29;3,66;8,66;8,27;2,71
Montividiu;2014;4,98166666666667;2,57;6,2;3,7;7,14;6,95;3,33
Montividiu;2016;4,97833333333333;2,52;6,08;3,63;6,63;7,84;3,17
Montividiu;2018;4,965;2,14;5,98;3,51;7,82;7,26;3,08
Montividiu do Norte;2012;4,23333333333333;0,86;4,38;0,98;7,69;9,68;1,81
Montividiu do Norte;2014;4,40833333333333;1,37;4,56;1,18;7,22;9,99;2,13
Montividiu do Norte;2016;4,24;1,29;4,36;1,2;6,74;9,26;2,59
Montividiu do Norte;2018;4,02666666666667;0,99;3,86;1,36;7,29;8,01;2,65
Morrinhos;2012;4,98666666666667;1,8;5,4;5,1;7,92;6,98;2,72
Morrinhos;2014;5,23;2,49;5,23;5,54;8,02;7,11;2,99
Morrinhos;2016;4,74;2,43;4,19;5,49;7,67;5,88;2,78
Morrinhos;2018;5,13833333333333;1,98;5,24;5,74;8,12;6,41;3,34
Morro Agudo de Goiás;2012;4,855;0,92;5,29;2,8;8,36;9,13;2,63
Morro Agudo de Goiás;2014;5,06666666666667;1,49;5,95;3,1;8,15;9,66;2,05
Morro Agudo de Goiás;2016;4,97833333333333;1,43;5,29;3,19;8,66;8,54;2,76
Morro Agudo de Goiás;2018;4,96;1,13;4,73;3,36;9,44;7,33;3,77
Mossâmedes;2012;4,95333333333333;1,22;5,92;2,3;8,51;9,59;2,18
Mossâmedes;2014;4,63333333333333;1,38;5,54;2,53;8,63;7,63;2,09
Mossâmedes;2016;4,95;1,33;6,48;2,94;7,75;8,25;2,95
Mossâmedes;2018;4,92333333333333;1,29;6,06;2,7;9,46;6,82;3,21
Mozarlândia;2012;4,515;1,25;4,72;2,47;8;8,13;2,52
Mozarlândia;2014;4,59666666666667;1,94;5,15;2,58;6,62;8,23;3,06
Mozarlândia;2016;4,31333333333333;2,07;4,34;2,63;6,56;7,56;2,72
Mozarlândia;2018;4,46666666666667;1,38;5,46;2,78;6,54;6,63;4,01
Mundo Novo;2012;4,54333333333333;1,14;4,57;1,7;7,77;9,94;2,14
Mundo Novo;2014;4,525;1,49;4,6;1,87;6,83;9,89;2,47
Mundo Novo;2016;4,55333333333333;1,31;4,65;1,98;8,46;8,06;2,86
Mundo Novo;2018;4,77666666666667;1,05;5,58;2,63;8,82;7,66;2,92
Mutunópolis;2012;4,64666666666667;1,17;5,08;2,33;7,69;9,92;1,69
Mutunópolis;2014;4,955;1,57;6,19;2,55;7,03;9,92;2,47
Mutunópolis;2016;4,46666666666667;1,46;5,69;2,59;7,44;7,32;2,3
Mutunópolis;2018;4,66666666666667;1,27;5,54;2,63;8,74;7,63;2,19
Nazário;2012;4,86166666666667;1,25;6,11;3,74;7,85;8,41;1,81
Nazário;2014;5,06;1,9;5,82;3,92;7,7;8,47;2,55
Nazário;2016;4,55333333333333;1,43;4,98;3,95;7,22;6,93;2,81
Nazário;2018;4,88;1,27;5,46;3,7;8,29;7,48;3,08
Nerópolis;2012;4,795;1,51;5,83;3;8,56;7,21;2,66
Nerópolis;2014;4,86833333333333;2,04;5,59;3,22;8,7;7,07;2,59
Nerópolis;2016;5,06333333333333;2,18;5,75;3,05;8,65;7,32;3,43
Nerópolis;2018;5,15;1,63;6,44;3,37;8,73;7,08;3,65
Niquelândia;2012;4,7;1,71;5,44;2,58;8,3;7,39;2,78
Niquelândia;2014;4,79;2,08;5,05;3,03;7,28;8,40;2,9
Niquelândia;2016;4,615;1,55;4,96;2,94;6,85;7,79;3,6
Niquelândia;2018;4,31833333333333;1,16;4,28;2,99;6,59;7,79;3,1
Nova América;2012;4,485;1,29;6,15;2,5;6,93;8,80;1,24
Nova América;2014;4,65333333333333;1,49;6,69;2,51;6,1;9,07;2,06
Nova América;2016;4,46333333333333;1,31;5,65;2,39;7,73;7,29;2,41
Nova América;2018;4,69666666666667;1,02;5,31;2,38;8,25;8,29;2,93
Nova Aurora;2012;4,79;1,39;5,76;4,09;6,87;9,34;1,29
Nova Aurora;2014;4,44166666666667;1,56;5,11;3,99;6,36;7,39;2,24
Nova Aurora;2016;4,655;1,32;5,96;3,85;6,88;6,92;3
Nova Aurora;2018;4,87666666666667;1,24;5,03;4,61;7,78;7,57;3,03
Nova Crixás;2012;4,47833333333333;1,38;4,25;2,52;6,95;9,45;2,32
Nova Crixás;2014;4,49166666666667;2,13;3,79;2,77;6,87;8,61;2,78
Nova Crixás;2016;4,53;1,97;4,49;2,84;8,07;7,10;2,71
Nova Crixás;2018;4,49666666666667;1,87;4,88;2,75;7,84;6,71;2,93
Nova Glória;2012;4,34;0,84;5,99;2,59;6,15;8,56;1,91
Nova Glória;2014;4,01166666666667;1,53;5,02;2,72;4,8;8,02;1,98
Nova Glória;2016;4,57666666666667;1,29;5,62;2,9;5,97;8,55;3,13
Nova Glória;2018;4,32;1,09;5,28;3,21;6,41;6,70;3,23
Nova Iguaçu de Goiás;2012;4,24833333333333;0,95;5,02;2,57;6,08;9,05;1,82
Nova Iguaçu de Goiás;2014;4,5;1,53;6,16;2,55;7,23;7,94;1,59
Nova Iguaçu de Goiás;2016;4,62333333333333;1,2;6,39;2,56;5,82;9,30;2,47
Nova Iguaçu de Goiás;2018;4,825;0,87;6,17;2,81;7,53;9,04;2,53
Nova Roma;2012;3,765;0,89;4,42;2,24;4,68;8,59;1,77
Nova Roma;2014;3,95833333333333;1,52;4,83;2,11;5,68;8,04;1,57
Nova Roma;2016;4,33333333333333;1,3;4,35;1,94;7,06;9,53;1,82
Nova Roma;2018;4,15666666666667;1,23;3,71;2,01;7,92;8,44;1,63
Nova Veneza;2012;4,75666666666667;1,41;5,84;2,79;8,27;7,95;2,28
Nova Veneza;2014;4,59;1,88;4,82;2,95;7,75;7,99;2,15
Nova Veneza;2016;4,86833333333333;1,77;5,27;3,03;8,25;7,95;2,94
Nova Veneza;2018;4,885;1,37;5,7;3;8,28;8,09;2,87
Novo Brasil;2012;5,065;1,38;4,81;3,46;9,39;9,40;1,95
Novo Brasil;2014;4,895;1,62;5,64;3,54;8,37;8,47;1,73
Novo Brasil;2016;5,21333333333333;1,49;6,18;3,59;8,34;9,10;2,58
Novo Brasil;2018;5,1;1,14;5,89;3,69;8,95;8,45;2,48
Novo Gama;2012;4,07666666666667;1,07;4,44;3,01;6,41;7,21;2,32
Novo Gama;2014;3,37833333333333;1,54;2,16;3,15;4,4;6,77;2,25
Novo Gama;2016;3,7;1,25;3,79;3,18;4,35;6,89;2,74
Novo Gama;2018;3,86166666666667;0,89;4,23;2,32;3,79;7,66;4,28
Novo Planalto;2012;4,03833333333333;1,16;3,48;1,95;5,73;9,82;2,09
Novo Planalto;2014;4,55333333333333;1,74;5,09;2,07;6,87;9,19;2,36
Novo Planalto;2016;4,44666666666667;1,7;5,7;2,12;6;8,34;2,82
