Localidade;Ano;IDM Saude;Cobertura ESF;Cobertura Vacinal tetravalente;Cobertura ESF Saude Bucal;Leitos SUS por 1000 hab;Medicos SUS por 1000 hab;Mortalidade Infantil;Morte por causas externas;Prenatal com 7 consultas
Águas Lindas de Goiás;2012;5,53125;8,45;9,03;8,71;1,07;2,4;9,07;2,42;3,1
Águas Lindas de Goiás;2014;3,855;2,2;6,95;2,57;0,73;3,3;8,62;4,11;2,36
Águas Lindas de Goiás;2016;4,45125;2,05;9,1;3,26;0,69;3,53;9,15;5,94;1,89
Águas Lindas de Goiás;2018;3,6525;1,24;3,36;3,07;0,67;5;9,41;4,58;1,89
Alexânia;2012;7,52;9,99;10;4,57;5,4;10;9,4;5,29;5,51
Alexânia;2014;5,76375;0;10;2,85;5,1;9,4;7,51;6,39;4,86
Alexânia;2016;6,64125;7,9;7,82;2,83;4,34;10;9,25;6,53;4,46
Alexânia;2018;7,22375;7,18;10;7,54;4,33;10;9,43;4,09;5,22
Aloândia;2012;7,87625;10;1,16;10;10;4,9;10;8,5;8,45
Aloândia;2014;9,23625;10;10;10;10;9,6;10;7,39;6,9
Aloândia;2016;8,345;9;10;10;10;4,81;10;8,17;4,78
Aloândia;2018;8,59625;10;5,48;10;10;10;10;5;8,29
Alto Horizonte;2012;8,05875;10;10;10;0;6,4;10;10;8,07
Alto Horizonte;2014;6,80375;7,13;10;7,3;0;10;10;5,17;4,83
Alto Horizonte;2016;7,23625;6,62;10;7,19;0;9,14;8,51;7,99;8,44
Alto Horizonte;2018;7,07375;10;10;5,62;0;9;10;5;6,97
Alto Paraíso de Goiás;2012;7,49375;9,47;10;5,45;10;10;7,64;3,47;3,92
Alto Paraíso de Goiás;2014;7,3725;10;10;4,95;6,9;9,6;7,92;6,52;3,09
Alto Paraíso de Goiás;2016;7,385;9,99;9,31;4,93;3,61;10;9,24;7,25;4,75
Alto Paraíso de Goiás;2018;7,8725;10;10;3,93;7,67;10;9,66;5,27;6,45
Alvorada do Norte;2012;8,2225;9,66;7,81;9,7;10;6,2;8,6;7,75;6,06
Alvorada do Norte;2014;8,5;10;10;10;10;5,9;10;7,14;4,96
Alvorada do Norte;2016;7,465;8,27;10;2,11;10;8,19;9,4;5,4;6,35
Alvorada do Norte;2018;8,20625;10;8,23;10;10;8;8,87;3,08;7,47
Amaralina;2012;6,9625;10;10;10;0;2,9;10;5,18;7,62
Amaralina;2014;5,4075;10;6,28;10;0;5,5;0;6;5,48
Amaralina;2016;7,91375;10;8,66;10;0;10;10;10;4,65
Amaralina;2018;7,3275;10;8,8;10;0;10;10;6,25;3,57
Americano do Brasil;2012;8,1025;10;10;3,58;10;10;8;7,25;5,99
Americano do Brasil;2014;7,8825;10;10;6,19;10;8,6;7,34;7,22;3,71
Americano do Brasil;2016;7,91875;10;8,92;6,17;9,58;6,76;10;8,7;3,22
Americano do Brasil;2018;8,33;10;7,53;10;9,33;7;8,22;7,16;7,4
Amorinópolis;2012;7,015;4,27;5,29;4,22;10;5,6;8,29;8,45;10
Amorinópolis;2014;8,78375;9,71;6,84;9,72;10;8,4;10;8,1;7,5
Amorinópolis;2016;8,4425;9,73;10;9,78;10;8,6;4,83;10;4,6
Amorinópolis;2018;8,99625;10;6,15;10;10;10;10;8,86;6,96
Anápolis;2012;6,47;1,9;9,44;0,58;9,8;10;9,2;6,87;3,97
Anápolis;2014;6,99125;4,74;10;4,16;7,8;10;8,68;6,62;3,93
Anápolis;2016;7,01875;4,35;9,11;5,08;7,07;10;9,22;7,53;3,79
Anápolis;2018;6,2925;2,11;7,76;5,36;5,33;10;9,41;5,49;4,88
Anhanguera;2012;6,69125;10;10;10;0;10;0;10;3,53
Anhanguera;2014;7,2675;10;10;10;0;9,2;1,92;10;7,02
Anhanguera;2016;6,285;10;0,28;10;0;0;10;10;10
Anhanguera;2018;7,90125;10;10;10;0;10;10;6,88;6,33
Anicuns;2012;7,08625;8,2;9,09;8,41;4,43;6,4;9,35;6,63;4,18
Anicuns;2014;6,79;10;10;5,07;4,23;4,2;9,01;6,9;4,91
Anicuns;2016;5,87375;10;2,82;5,06;4,19;3,72;9,67;7,71;3,82
Anicuns;2018;6,61375;10;3,97;4,11;7,67;5;9,49;7,48;5,19
Aparecida de Goiânia;2012;8,08625;10;10;9,2;4,87;10;8,94;5,2;6,48
Aparecida de Goiânia;2014;5,61625;2,39;10;0,77;3,53;10;8,25;5,22;4,77
Aparecida de Goiânia;2016;5,9;3,17;10;0,5;3,75;10;9,03;6,28;4,47
Aparecida de Goiânia;2018;5,77;2,76;10;0;4;10;9,29;4,78;5,33
Aparecida do Rio Doce;2012;6,55875;9,74;10;10;0;4,1;10;1,56;7,07
Aparecida do Rio Doce;2014;6,42375;10;10;10;0;4;10;3,85;3,54
