Localidade;Ano;IDM Saude;Cobertura ESF;Cobertura Vacinal tetravalente;Cobertura ESF Saude Bucal;Leitos SUS por 1000 hab;Medicos SUS por 1000 hab;Mortalidade Infantil;Morte por causas externas;Prenatal com 7 consultas
Edéia;2016;8,7375;10;10;10;9,68;7,47;7,69;6,93;8,13
Edéia;2018;8,5275;10;10;10;6;6;9,33;7,76;9,13
Estrela do Norte;2012;8,6725;10;10;10;10;6;7,67;8,82;6,89
Estrela do Norte;2014;6,435;7,34;10;7,82;10;2,9;5,33;4,12;3,97
Estrela do Norte;2016;8,45;10;10;10;10;2,95;10;9,29;5,36
Estrela do Norte;2018;8,4625;10;10;10;10;6;10;4,32;7,38
Faina;2012;7,33;8,59;7,67;8,76;7,2;7,2;5,33;7,5;6,39
Faina;2014;7,8875;10;10;9,54;7,07;2,8;10;5,81;7,88
Faina;2016;8,3525;10;10;9,97;7,14;2,86;10;8,52;8,33
Faina;2018;8,4425;10;5,9;9,88;9,67;10;10;6;6,09
Fazenda Nova;2012;6,5325;4,74;10;5,02;10;3,2;10;6,67;2,63
Fazenda Nova;2014;8,06;10;10;10;10;1,6;8,09;7,84;6,95
Fazenda Nova;2016;7,79125;10;8,47;10;10;1,62;6,96;7,88;7,4
Fazenda Nova;2018;8,145;10;7,85;10;8,67;6;10;4,51;8,13
Firminópolis;2012;8,13875;9,72;10;10;9,67;4,3;8,14;8,04;5,24
Firminópolis;2014;7,69625;10;4,84;10;6,2;3,2;10;8,75;8,58
Firminópolis;2016;8,11125;10;10;10;6,86;4,75;9,21;9,03;5,04
Firminópolis;2018;7,81;10;8,73;10;6,67;7;8,49;5,1;6,49
Flores de Goiás;2012;6,1825;9,83;10;10;1,87;2,4;8,56;5,38;1,42
Flores de Goiás;2014;5,825;7,87;10;8;1,7;5,9;6,25;5,26;1,62
Flores de Goiás;2016;6,48875;10;9,01;10;1,62;4,17;9,28;4,57;3,26
Flores de Goiás;2018;7,095;9,17;10;9,27;1,67;10;9,13;1,43;6,09
Formosa;2012;7,6025;10;9,14;10;2,8;9,1;9,05;5,81;4,92
Formosa;2014;6,2125;5,48;9,73;5,41;2,77;8;8,88;5,26;4,17
Formosa;2016;6,67125;5,61;10;5,68;2,61;9,09;9,08;6,72;4,58
Formosa;2018;6,38375;5,27;8,39;5,49;2;10;9,73;3,67;6,52
Formoso;2012;8,08375;10;6,25;10;10;0;10;10;8,42
Formoso;2014;7,64;10;10;10;10;2,1;8,31;5,29;5,42
Formoso;2016;7,58625;9,17;2,53;10;10;8,46;8,56;7,7;4,27
Formoso;2018;8,98;10;10;10;10;8;10;6,15;7,69
Gameleira de Goiás;2012;7,59375;10;10;9,34;0;6;10;8,27;7,14
Gameleira de Goiás;2014;6,47375;10;10;10;0;5,6;6,61;5;4,58
Gameleira de Goiás;2016;7,09;10;10;10;0;8,19;7,02;10;1,51
Gameleira de Goiás;2018;7,295;10;8,87;10;0;10;10;5;4,49
Goianápolis;2012;7,16125;6,3;10;6,24;10;5,6;8,49;6,87;3,79
Goianápolis;2014;8,36625;10;10;9,14;7,27;8,2;9,38;7,58;5,36
Goianápolis;2016;7,395;10;10;10;5,44;4,54;8,76;6,8;3,62
Goianápolis;2018;8,18;10;10;10;5,33;10;9,76;5,65;4,7
Goiandira;2012;6,38375;10;10;0;10;3,8;1,25;9,22;6,8
Goiandira;2014;8,30375;10;10;0;10;10;10;8,67;7,76
Goiandira;2016;7,95;10;9,19;0;10;10;6,84;8,77;8,8
Goiandira;2018;9,40125;10;10;10;10;10;10;7;8,21
Goianésia;2012;8,7;9,96;10;10;8,47;9,3;8,76;6,78;6,33
Goianésia;2014;7,605;6,62;9,74;6,82;9,17;7,8;8,35;7,25;5,09
Goianésia;2016;8,00125;6,13;9,65;6,77;10;9,28;9,36;7,6;5,22
Goianésia;2018;8,0125;5,09;9,89;10;8,33;10;9,36;6,81;4,62
Goiânia;2012;6,84;3,19;8,5;1,09;8,9;10;9,14;6,67;7,23
Goiânia;2014;6,9025;4,37;8,82;2,32;7,77;10;8,67;6,81;6,46
Goiânia;2016;6,705;3,71;7,68;2,44;7,46;10;9,19;7,51;5,65
Goiânia;2018;6,4375;2,81;6,07;2,89;8;10;9,45;6,17;6,11
Goianira;2012;6,48625;6,67;10;7,07;2,67;3,7;8,47;4,95;8,36
Goianira;2014;7,12875;9,78;10;9,79;2,47;5;7,24;5,66;7,09
Goianira;2016;7,45;10;10;9,61;2,36;5,57;9,33;7,11;5,62
Goianira;2018;7,725;10;10;10;2,33;10;9,45;5,14;4,88
Goiás;2012;8,38375;10;7,21;10;10;6,9;8,79;7,25;6,92
Goiás;2014;8,8975;10;9,78;9,88;9,13;9,7;8,85;7,16;6,68
Goiás;2016;8,4475;10;4,16;10;9,27;10;9,44;7,63;7,08
Goiás;2018;8,1275;10;4,98;10;8,33;10;8,69;6,05;6,97
Goiatuba;2012;7,39125;8;9,13;8,24;6,03;4,9;9,17;6,34;7,32
Goiatuba;2014;7,8325;9,96;10;10;5,83;4,7;8,34;7,48;6,35
Goiatuba;2016;7,6925;9,55;8,67;10;5,78;5,58;8,32;7,66;5,98
Goiatuba;2018;8,7025;8,81;9,26;10;8,33;10;9,65;6,38;7,19
Gouvelândia;2012;6,7325;10;10;10;0;0;10;7,59;6,27
Gouvelândia;2014;6,29125;6,62;10;6,82;0;5,6;10;4,67;6,62
Gouvelândia;2016;6,61625;6,13;10;6,78;0;5,46;8,48;8,39;7,69
Gouvelândia;2018;6,17125;5,06;8,68;5,69;0;9;7,92;6,3;6,72
Guapó;2012;6,425;10;10;10;0;1,4;8,42;6,01;5,57
Guapó;2014;6,515;10;10;10;0;2,8;7,61;6,48;5,23
Guapó;2016;7,075;10;10;10;0;4,85;9,56;6,74;5,45
Guapó;2018;7,26875;10;9,93;10;0;8;9,52;6,1;4,6
Guaraíta;2012;7,47875;9,45;10;9,52;0;8,5;10;5,5;6,86
Guaraíta;2014;5,78125;10;5,42;10;0;0;10;6;4,83
Guaraíta;2016;7,62;10;9,3;10;0;4,41;10;8,59;8,66
Guaraíta;2018;7,6675;10;10;10;0;9;10;6,25;6,09
Guarani de Goiás;2012;6,5975;10;10;8,42;0;2,4;8,25;7,75;5,96
Guarani de Goiás;2014;6,2225;8,24;10;8,88;0;2,3;6,61;8,33;5,42
Guarani de Goiás;2016;7,04125;10;10;10;0;7,14;4,95;10;4,24
Guarani de Goiás;2018;7,53;10;10;10;0;7;10;6,67;6,57
Guarinos;2012;6,7475;10;10;10;0;4,4;10;6,54;3,04
Guarinos;2014;6,0825;9,11;10;10;0;4,5;5,43;4,67;4,95
Guarinos;2016;7,16125;9;10;10;0;4,69;5,44;9,03;9,13
Guarinos;2018;7,51;10;8,48;10;0;9;10;4,74;7,86
Heitoraí;2012;7,5075;7,97;10;5,48;10;2,8;10;5,5;8,31
Heitoraí;2014;8,165;9,6;10;9,62;10;2,7;7,77;8,1;7,53
Heitoraí;2016;8,3375;9,53;7,91;9,61;10;5,36;10;6,89;7,4
Heitoraí;2018;9,03125;10;9,63;10;10;10;10;4,23;8,39
Hidrolândia;2012;7,215;10;8,81;10;3,4;2,8;9,34;7,13;6,24
Hidrolândia;2014;7,3675;10;10;10;3,67;4,7;9,25;6,04;5,28
Hidrolândia;2016;7,56875;9,91;9,85;10;3,54;6,58;9,06;6,64;4,97
Hidrolândia;2018;7,66875;10;7,29;10;3,67;10;9,16;5,76;5,47
Hidrolina;2012;8,46;9,79;10;9,97;10;5;10;7,19;5,73
Hidrolina;2014;6,48125;6,31;10;5,8;10;5;2,13;7,78;4,83
Hidrolina;2016;8,61;10;10;8,73;10;7,64;10;8,17;4,34
Hidrolina;2018;8,645;10;7,64;10;10;8;10;5;8,52
Iaciara;2012;6,12625;9,93;4,34;7,91;5,83;1,6;9,59;4,18;5,63
Iaciara;2014;5,8;7,87;10;5,48;5,57;2,3;6,31;6,72;2,15
Iaciara;2016;6,98125;7,82;10;5,46;3,97;5,21;9,16;8,21;6,02
Iaciara;2018;6,1675;6,94;7,96;4,45;4;10;9,37;2,92;3,7
Inaciolândia;2012;7,97;9,87;10;8,47;9,3;3,5;8,27;7,5;6,85
Inaciolândia;2014;8,13375;10;10;10;8,93;3,3;8,75;7,93;6,16
Inaciolândia;2016;7,57375;10;8,83;10;8,79;3,3;8,42;5,76;5,49
Inaciolândia;2018;8,77625;10;10;10;8,67;10;10;5,31;6,23
Indiara;2012;6,7125;10;10;0;8,93;1,4;9,35;8,04;5,98
Indiara;2014;7,2125;9,92;6,4;9,93;8,47;2,7;10;6,6;3,68
Indiara;2016;6,3775;9,85;0,24;9,88;4,48;4,7;9,11;6,81;5,95
Indiara;2018;7,3225;8,92;4,63;10;4,67;6;10;5,72;8,64
Inhumas;2012;8,475;8,57;9,51;8,74;10;7,4;9,14;6,82;7,62
Inhumas;2014;7,9375;9,9;7,72;7,08;6,9;8,1;8,6;7,23;7,97
Inhumas;2016;7,54375;9,85;4,19;7,05;6,21;7,57;9,4;8,49;7,59
Inhumas;2018;7,86125;9,09;4,93;9,96;6,33;10;9,41;5,96;7,21
Ipameri;2012;8,78;10;10;10;10;6;8,37;7,46;8,41
Ipameri;2014;8,5275;10;8,92;8,29;10;6,5;8,98;6,87;8,66
Ipameri;2016;8,575;10;10;8,26;7,58;7,2;8,83;8,02;8,71
Ipameri;2018;8,97;10;7,23;10;10;10;9,28;7,01;8,24
Ipiranga de Goiás;2012;6,67;9;10;6,52;0;3,5;10;8,68;5,66
Ipiranga de Goiás;2014;3,73375;8,23;2,23;0;0;0;10;4,17;5,24
Ipiranga de Goiás;2016;5,605;10;10;0;0;3,4;10;6,11;5,33
Ipiranga de Goiás;2018;8,23875;10;10;10;0;10;10;8,15;7,76
Iporá;2012;7,4675;5,27;10;10;5,43;6,4;9,14;7,38;6,12
Iporá;2014;7,81875;8,75;10;8,83;5,3;6,8;8,91;7,69;6,27
Iporá;2016;7,37;8,59;9,42;8,83;5,38;4,35;9,05;7,52;5,82
Iporá;2018;8,42875;8,15;10;8,38;5,33;9;9,55;7,51;9,51
Israelândia;2012;8,80875;10;10;10;10;6,9;7,2;7,75;8,62
Israelândia;2014;7,6625;10;10;10;10;0;10;6;5,3
Israelândia;2016;7,8475;10;10;10;10;3,42;10;4,56;4,8
Israelândia;2018;9,07125;10;10;10;8;10;10;8,53;6,04
Itaberaí;2012;7,6175;10;10;6,58;5,67;5,3;9,09;7,17;7,13
Itaberaí;2014;6,8275;7,8;7,91;5,4;5,3;5,5;8,1;7,02;7,59
Itaberaí;2016;7,435;8,21;9,39;5,67;5,38;7,82;9,46;7,64;5,91
Itaberaí;2018;7,34;8,15;6,41;7,29;5,33;10;9,75;5,34;6,45
Itaguari;2012;6,6675;10;10;7,73;0;2,2;10;8,5;4,91
Itaguari;2014;6,72125;10;10;10;0;2,1;8,19;7,27;6,21
Itaguari;2016;7,1325;10;10;10;0;4,25;10;6,99;5,82
Itaguari;2018;7,31375;10;10;10;0;4;10;8,21;6,3
Itaguaru;2012;8,015;9,89;10;4,41;10;5,5;10;8,31;6,01
Itaguaru;2014;7,60625;9,68;10;10;0;5,4;10;9,46;6,31
Itaguaru;2016;8,41375;10;10;10;10;7,29;10;6,99;3,03
Itaguaru;2018;9,00125;10;10;10;10;10;7,78;7,37;6,86
Itajá;2012;8,7925;9,31;10;9,39;10;8;10;8,02;5,62
Itajá;2014;7,28125;10;4,26;6,91;10;4;8,69;7,78;6,61
Itajá;2016;6,6325;9,08;7,19;6,94;10;2,02;4,56;8,44;4,83
Itajá;2018;8,0325;10;6,41;6,62;10;10;8,57;6,95;5,71
Itapaci;2012;7,75375;10;5,73;10;10;4,8;8,67;6,22;6,61
Itapaci;2014;7,9225;9,77;10;6,97;10;5;8,95;7,02;5,67
Itapaci;2016;7,34375;9,24;7,75;6,76;9,71;1,91;9,24;8,5;5,64
Itapaci;2018;8,04875;9,62;6,87;6,01;10;9;10;6,85;6,04
Itapirapuã;2012;8,5425;10;10;10;10;3,9;7,92;7,88;8,64
Itapirapuã;2014;7,59;10;10;4,61;10;4,1;8,81;7,6;5,6
Itapirapuã;2016;8,075;10;9,84;9,35;10;2,95;8,39;8,21;5,86
Itapirapuã;2018;9,09625;10;10;10;10;9;9,58;7,02;7,17
Itapuranga;2012;7,47625;4,55;10;4,83;10;5,4;9,56;7,1;8,37
Itapuranga;2014;8,13125;9,22;8,37;9,27;10;5,6;6,92;8,03;7,64
Itapuranga;2016;8,8425;9,93;9,95;9,28;10;5,63;9,75;8,12;8,08
Itapuranga;2018;8,69375;10;6,66;10;10;9;9,41;6,95;7,53
Itarumã;2012;7,00375;10;2,17;10;7,33;3,1;10;6,25;7,18
Itarumã;2014;8,12125;10;10;10;6,97;4,5;10;6,77;6,73
Itarumã;2016;8,63;10;10;10;8,27;5,84;10;7,33;7,6
Itarumã;2018;8,48875;10;4,86;9,96;8;9;10;8,39;7,7
Itauçu;2012;8,24625;10;10;10;6,97;5,8;8,16;8,5;6,54
Itauçu;2014;8,00375;10;10;10;6,73;3,4;10;6,77;7,13
Itauçu;2016;7,9675;9,8;10;10;6,7;4,47;10;8,12;4,65
Itauçu;2018;8,69125;10;10;10;6,67;10;10;6,92;5,94
Itumbiara;2012;7,715;7,85;9,72;7,29;5,23;10;9,24;6,95;5,44
Itumbiara;2014;6,8525;4,82;10;4,76;4,47;10;8,21;7,28;5,28
Itumbiara;2016;5,99125;4,12;4,03;4,74;3,95;10;8,75;7,79;4,55
Itumbiara;2018;6,24;3,65;6,2;5,21;4;10;9,48;6,54;4,84
Ivolândia;2012;8,27;5,78;10;6,29;10;7,6;7,59;10;8,9
Ivolândia;2014;8,8525;10;8,51;10;10;10;10;5;7,31
Ivolândia;2016;9,1975;10;10;10;10;10;10;8,06;5,52
Ivolândia;2018;9,3275;10;7,89;10;10;10;10;8,44;8,29
Jandaia;2012;7,7325;10;7,8;10;7,03;3,3;10;7;6,73
Jandaia;2014;7,2075;10;10;10;6,9;4,8;5,37;6,67;3,92
Jandaia;2016;7,57875;10;10;10;6,91;3,19;8,35;8,13;4,05
Jandaia;2018;8,83875;10;10;10;7,33;10;9,33;7,22;6,83
Jaraguá;2012;7,49375;10;9,25;10;5,97;2,6;9,29;7,23;5,61
Jaraguá;2014;6,75;8,5;9,42;7,92;5,6;2,9;7,78;7,19;4,69
Jaraguá;2016;6,46;7,43;8,22;7,06;5,84;2,99;8,4;7,01;4,73
Jaraguá;2018;6,89625;7,4;5,87;6,9;6,33;8;9,31;5,69;5,67
Jataí;2012;8,5825;10;9,81;9,4;6,1;10;8,86;7,01;7,48
Jataí;2014;6,98;5,93;10;6,17;4,2;8,3;8,53;5,96;6,75
Jataí;2016;7,5925;6,98;9,51;7,48;4,51;10;8,96;6,89;6,41
Jataí;2018;7,41375;6,71;6,94;7,66;5;10;9,2;6,17;7,63
Jaupaci;2012;6,93625;6,49;10;6,31;10;0;10;8,68;4,01
Jaupaci;2014;8,015;10;10;10;10;3,3;10;6,36;4,46
Jaupaci;2016;7,95125;9;10;10;10;0;10;5,56;9,05
Jaupaci;2018;8,54625;10;7,37;10;10;10;8,53;6,25;6,22
Jesúpolis;2012;7,165;10;10;10;0;4,3;10;6,54;6,48
Jesúpolis;2014;6,245;7,34;3,46;10;0;8,3;6,5;8,67;5,69
Jesúpolis;2016;6,97625;10;10;10;0;4,09;10;7,17;4,55
Jesúpolis;2018;7,2425;10;10;10;0;8;7,73;6,88;5,33
Joviânia;2012;7,53625;10;10;10;7;1,4;7,11;7,66;7,12
Joviânia;2014;7,6825;9,94;8,24;9,66;6,77;5,4;8,73;8,14;4,58
Joviânia;2016;7,63625;10;9,66;9,65;7,19;2,69;10;6,11;5,79
Joviânia;2018;8,44875;10;8,24;10;7,67;8;10;6,71;6,97
Jussara;2012;6,73125;1,75;10;2,11;10;6,3;8,26;7,33;8,1
Jussara;2014;7,1525;7,07;10;7,24;2,73;5,7;9,16;6,77;8,55
Jussara;2016;7,705;9,26;9,05;7,26;5,17;5,69;10;7,62;7,59
Jussara;2018;7,3925;10;9,37;4,76;5,67;5;9,64;6,06;8,64
Lagoa Santa;2012;8,04;10;10;10;0;10;6,32;10;8
Lagoa Santa;2014;7,71125;10;10;10;0;10;10;6;5,69
Lagoa Santa;2016;7,2675;10;10;10;0;6,97;10;10;1,17
Lagoa Santa;2018;7,72;10;10;10;0;10;10;6,43;5,33
Leopoldo de Bulhões;2012;7,5125;9,87;5,8;9,91;10;3,8;10;5;5,72
Leopoldo de Bulhões;2014;7,91;9,89;10;8,38;10;6,1;10;4;4,91
Leopoldo de Bulhões;2016;7,25125;10;10;8,73;10;2,45;8,71;6,22;1,9
Leopoldo de Bulhões;2018;7,3975;10;5,05;8,75;10;7;8,94;4,64;4,8
Luziânia;2012;5,29125;2,36;10;3,28;2,07;6,2;9,05;3,86;5,51
Luziânia;2014;4,95625;2,87;10;1,84;1,43;6,6;8,81;4,67;3,43
Luziânia;2016;4,61125;2,37;6,52;2,29;1,46;5,15;9,16;6,12;3,82
Luziânia;2018;4,55375;1,36;6,75;3,69;0,67;7;9,47;3,71;3,78
Mairipotaba;2012;8,46875;10;10;10;10;0;10;10;7,75
Mairipotaba;2014;8,7675;10;10;10;10;10;10;6,36;3,78
Mairipotaba;2016;9,28125;10;10;10;10;10;10;8,27;5,98
Mairipotaba;2018;8,88;10;10;10;10;10;10;3,18;7,86
Mambaí;2012;6,95125;10;6,68;10;8,53;2,8;8,44;6,12;3,04
Mambaí;2014;7,13;9,7;10;9,72;5,7;2,6;8,33;4,17;6,82
Mambaí;2016;7,3625;9,54;10;9,61;6,71;3,78;7,21;6,74;5,31
Mambaí;2018;7,4775;10;10;8,32;6,33;6;9,15;3,92;6,1
Mara Rosa;2012;6,68625;5,14;9,12;5,72;8,53;1,9;9,01;7,92;6,15
Mara Rosa;2014;6,33375;7,84;6,17;7,95;5,33;0,9;7,54;7,97;6,97
Mara Rosa;2016;6,7675;9,88;10;6,6;5,76;0,96;7,98;6,06;6,9
Mara Rosa;2018;7,8275;10;7,67;10;5,67;7;9,2;4,62;8,46
Marzagão;2012;8,23;10;10;10;10;0;10;6,78;9,06
Marzagão;2014;8,4675;10;10;10;10;0;10;8,95;8,79
Marzagão;2016;8,985;10;9,12;10;10;4,55;10;8,7;9,51
Marzagão;2018;8,7975;10;10;10;10;5;8,69;7,73;8,96
Matrinchã;2012;7,58375;7,21;10;3,31;10;2,3;10;8,5;9,35
Matrinchã;2014;8,295;8,92;10;10;10;4,4;10;5,71;7,33
Matrinchã;2016;8,31;10;5,4;10;10;4,44;10;8,39;8,25
Matrinchã;2018;8,86375;10;10;10;10;10;8,89;5,16;6,86
Maurilândia;2012;5,35375;2,43;9,11;1,98;4,57;2,6;8,83;8,37;4,94
Maurilândia;2014;5,8;5,58;10;5,84;4,27;0,8;9,44;6,21;4,26
Maurilândia;2016;5,16375;4,37;7,55;5,31;3,09;1,54;8,29;6,94;4,22
Maurilândia;2018;5,1075;3,83;4,88;4,62;3;6;10;4,87;3,66
Mimoso de Goiás;2012;6,7575;10;10;10;0;7,5;6,11;6,03;4,42
Mimoso de Goiás;2014;7,20875;10;10;10;0;3,7;10;10;3,97
Mimoso de Goiás;2016;7,465;10;10;10;0;7,37;10;7,61;4,74
Mimoso de Goiás;2018;6,32125;10;10;10;0;7;10;0;3,57
Minaçu;2012;6,9725;8,49;8,09;8,67;3;5,2;8,91;7,15;6,27
Minaçu;2014;6,1775;6,8;10;4,01;2,97;4,1;8,81;6,75;5,98
Minaçu;2016;5,5025;2,59;10;0,47;3,01;4,51;9,51;8,44;5,49
Minaçu;2018;5,78;5,74;6,45;2,49;3;6;10;6,63;5,93
Mineiros;2012;7,8325;9,46;10;10;4,77;4,8;8,94;6,61;8,08
Mineiros;2014;5,98875;3,35;10;2,22;4,53;4,8;8,19;6,95;7,87
Mineiros;2016;6,8775;5,52;10;2,46;5,84;7,61;8,86;6,98;7,75
Mineiros;2018;7,59875;10;5,39;5,56;6,67;10;9,42;5,81;7,94
Moiporá;2012;7,36625;8,93;5,46;9,22;0;10;10;7,19;8,13
Moiporá;2014;7,895;10;10;10;0;10;10;8;5,16
Moiporá;2016;7,7525;10;10;10;0;10;10;6,67;5,35
Moiporá;2018;6,575;10;2,6;10;0;10;0;10;10
Monte Alegre de Goiás;2012;6,14125;10;2,84;10;6,83;2,6;10;4,62;2,24
Monte Alegre de Goiás;2014;5,9775;7,96;4,4;8,09;6,53;3,7;8,22;6,87;2,05
Monte Alegre de Goiás;2016;6,78875;8,54;9,04;8,78;6,41;2,4;10;7,04;2,1
Monte Alegre de Goiás;2018;6,88125;10;4,8;10;6,33;5;8,85;7,78;2,29
Montes Claros de Goiás;2012;7,3425;9,02;10;8,3;6,27;5;9,37;6,25;4,53
Montes Claros de Goiás;2014;7,8625;10;10;10;10;3,7;8,86;8,86;1,48
Montes Claros de Goiás;2016;8,155;10;10;10;10;4,86;9,28;6,83;4,27
Montes Claros de Goiás;2018;8,88625;10;10;10;9,67;10;9,13;5,56;6,73
Montividiu;2012;8,66375;10;10;10;10;5,6;8,59;8;7,12
Montividiu;2014;7,1425;8,9;10;8,97;9,77;2,6;6,11;4,62;6,17
Montividiu;2016;6,63375;8,03;9,91;8,36;3,58;4,96;9,5;4,58;4,15
Montividiu;2018;7,81375;7,91;9,66;8,18;3,33;10;9,4;7,64;6,39
Montividiu do Norte;2012;7,685;10;10;10;0;4,8;10;10;6,68
Montividiu do Norte;2014;7,22375;10;7,06;10;0;4,6;10;10;6,13
Montividiu do Norte;2016;6,74375;10;7,6;10;0;10;6,56;5,68;4,11
Montividiu do Norte;2018;7,28875;10;10;10;0;7;10;5,83;5,48
Morrinhos;2012;7,92375;7,24;9,45;7,57;6,7;8,1;9,2;7,63;7,5
Morrinhos;2014;8,01875;8,98;10;8,22;6,4;7,3;8,96;8,14;6,15
Morrinhos;2016;7,6725;8,81;8,78;8,19;5,83;6,5;9,52;8,36;5,39
Morrinhos;2018;8,11875;7,97;8,86;8,98;6;10;9,61;6,84;6,69
Morro Agudo de Goiás;2012;8,36375;10;10;10;10;0;10;8,13;8,78
Morro Agudo de Goiás;2014;8,14625;10;10;10;10;0;10;8,18;6,99
Morro Agudo de Goiás;2016;8,65875;10;10;10;10;4,22;10;7,78;7,27
Morro Agudo de Goiás;2018;9,44375;10;10;10;10;10;10;8;7,55
Mossâmedes;2012;8,50625;10;10;10;10;4;10;7,57;6,48
Mossâmedes;2014;8,63;10;10;10;10;4;10;7,5;7,54
Mossâmedes;2016;7,74625;7;10;10;10;2,08;10;7,29;5,6
Mossâmedes;2018;9,465;10;8,54;10;10;10;10;9,14;8,04
Mozarlândia;2012;7,9975;10;8,87;10;9,1;2,2;7,38;8,73;7,7
Mozarlândia;2014;6,62125;7,43;10;7,58;4,63;0;8,9;7,54;6,89
Mozarlândia;2016;6,55875;7,04;10;7,53;4,52;2,71;8,36;6,3;6,01
Mozarlândia;2018;6,54375;6,02;10;6,53;4,67;5;9,09;3,92;7,12
Mundo Novo;2012;7,7675;10;8,31;10;9,5;1,6;8,97;6,25;7,51
Mundo Novo;2014;6,82875;10;10;10;9,7;0;5,74;6;3,19
Mundo Novo;2016;8,45625;10;10;10;10;3,38;9,22;7,58;7,47
Mundo Novo;2018;8,81625;10;10;10;10;8;9,34;5,39;7,8
Mutunópolis;2012;7,69;9,72;4,97;9,82;10;2,6;8,63;7,75;8,03
Mutunópolis;2014;7,03375;9,91;7,1;10;10;0;6,25;7,39;5,62
Mutunópolis;2016;7,44;10;5,49;10;10;2,55;7,58;8,27;5,63
Mutunópolis;2018;8,73625;10;8,05;10;10;10;10;5,19;6,65
Nazário;2012;7,85375;10;9,78;10;7,1;1,3;8,03;7,63;8,99
Nazário;2014;7,7025;10;10;10;6,73;2,4;9,02;7,45;6,02
Nazário;2016;7,225;9;6,43;10;6,17;3,47;9,17;8,15;5,41
Nazário;2018;8,28875;10;9,45;10;6;8;10;6,74;6,12
Nerópolis;2012;8,56;10;10;10;9,33;6,9;9,22;6,37;6,66
Nerópolis;2014;8,69875;10;10;10;8,73;9,9;7,85;7,18;5,93
Nerópolis;2016;8,64875;10;10;10;8,41;10;9,26;8,42;3,1
Nerópolis;2018;8,73125;10;10;10;10;10;9,01;5,6;5,24
Niquelândia;2012;8,2975;10;10;10;10;6,6;9,16;6,52;4,1
Niquelândia;2014;7,28125;9,44;5,22;9,47;8,83;5,2;8,27;6,29;5,53
Niquelândia;2016;6,8525;9,57;5,78;6,29;6,56;5,75;9,23;7,1;4,54
Niquelândia;2018;6,58875;7,84;6,04;10;4,33;4;9,56;6,1;4,84
Nova América;2012;6,93;7,8;10;5,38;0;8,8;10;7,5;5,96
Nova América;2014;6,1;10;10;10;0;0;10;4,67;4,13
Nova América;2016;7,725;10;9,15;10;5,65;4,24;7,65;6,89;8,22
Nova América;2018;8,2525;10;10;10;5,67;10;10;4,64;5,71
Nova Aurora;2012;6,86625;10;10;10;0;0;10;10;4,93
Nova Aurora;2014;6,3575;10;7,3;10;0;0;10;6,25;7,31
Nova Aurora;2016;6,88;10;7,08;10;0;4,59;6,9;10;6,47
Nova Aurora;2018;7,78125;10;10;10;0;10;10;6,88;5,37
Nova Crixás;2012;6,9475;9,72;5,1;9,76;8,9;1,7;8,79;6,98;4,63
Nova Crixás;2014;6,875;9,88;7,4;10;8,53;1,6;9,39;6,45;1,75
Nova Crixás;2016;8,07125;9,86;7,88;10;10;3,95;10;8,15;4,73
Nova Crixás;2018;7,845;10;8,06;10;10;6;9,09;5,18;4,43
Nova Glória;2012;6,14875;10;10;10;0;0;7,47;7,15;4,57
Nova Glória;2014;4,79625;3,35;10;5,44;0;0;7,61;6,81;5,16
Nova Glória;2016;5,975;7,8;9,84;4,09;0;3,5;9,29;7,33;5,95
Nova Glória;2018;6,40875;7,5;8,44;7,82;0;5;10;6,94;5,57
Nova Iguaçu de Goiás;2012;6,0825;10;10;10;0;3,5;5,63;3,57;5,96
Nova Iguaçu de Goiás;2014;7,225;10;10;10;0;3,4;10;5,29;9,11
Nova Iguaçu de Goiás;2016;5,82375;10;10;10;0;3,4;6,03;2,82;4,34
Nova Iguaçu de Goiás;2018;7,5325;10;10;10;0;7;10;7,22;6,04
Nova Roma;2012;4,685;4,55;10;2,21;0;2,9;10;2,84;4,98
Nova Roma;2014;5,67875;9,11;9,35;9,18;0;5,7;5,23;2,73;4,13
Nova Roma;2016;7,05875;10;10;10;0;5,76;10;5,91;4,8
Nova Roma;2018;7,915;10;10;10;0;9;8,61;10;5,71
Nova Veneza;2012;8,26875;10;10;10;7,27;4,8;10;6,6;7,48
Nova Veneza;2014;7,7525;9,71;10;10;6,8;3,4;7,56;8;6,55
Nova Veneza;2016;8,24625;10;10;10;6,59;4,39;10;9,08;5,91
Nova Veneza;2018;8,275;10;10;10;6,33;10;9,1;5,75;5,02
Novo Brasil;2012;9,39125;10;10;10;10;8,6;10;7,86;8,67
Novo Brasil;2014;8,36625;10;10;10;10;2,9;10;7,78;6,25
Novo Brasil;2016;8,34;10;10;10;10;2,99;10;6,67;7,06
Novo Brasil;2018;8,94875;10;8,39;10;9,33;10;10;5,16;8,71
Novo Gama;2012;6,4125;8,92;10;10;0;2,4;9,16;4,91;5,91
Novo Gama;2014;4,40375;4,61;8,06;1,89;0;3,1;9,26;4,35;3,96
Novo Gama;2016;4,355;3,9;6,19;1,41;0;4,5;9,19;5,67;3,98
Novo Gama;2018;3,7875;1,99;5,77;1,32;0;4;9,21;4,59;3,42
Novo Planalto;2012;5,73;6,08;4,59;6,55;0;5;8,37;8,39;6,86
Novo Planalto;2014;6,87375;9,76;10;10;0;2,4;10;8,46;4,37
Novo Planalto;2016;5,99875;10;4,6;10;0;4,65;10;6,89;1,85
