Localidade;Ano;IDM Segurança;Crimes contra a dignidade sexual;Crimes contra a pessoa;Crimes contra o patrimonio;Contravenções penais;Tráfico de drogas
Gouvelândia;2016;7,698;8,33;7,8;9,29;9,75;3,32
Gouvelândia;2018;8,808;10;8,2;8,29;8,08;9,47
Guapó;2012;6,52;6,04;7,12;3,73;8,4;7,31
Guapó;2014;6,024;1,88;6,21;4,1;8,87;9,06
Guapó;2016;6,324;7,46;6,59;4,6;8,76;4,21
Guapó;2018;6,304;8,31;6,83;5,2;8,78;2,4
Guaraíta;2012;9,52;10;8,9;9,56;9,14;10
Guaraíta;2014;9,622;10;9,33;9,25;9,53;10
Guaraíta;2016;8,47;5,98;8,6;9,58;8,19;10
Guaraíta;2018;7,998;7,8;5,42;8,98;7,79;10
Guarani de Goiás;2012;8,686;7,11;7,67;9,37;9,28;10
Guarani de Goiás;2014;9,02;7,92;8,26;9,31;9,61;10
Guarani de Goiás;2016;7,806;5,65;6,21;9,39;9,02;8,76
Guarani de Goiás;2018;9,088;8,82;8,72;9,08;8,82;10
Guarinos;2012;9,574;10;9,66;9,54;8,67;10
Guarinos;2014;9,24;10;8,96;9,21;8,03;10
Guarinos;2016;9,618;10;9,67;9,7;8,72;10
Guarinos;2018;8,884;7,64;8,95;9,25;8,58;10
Heitoraí;2012;9,366;10;8,24;9,02;9,57;10
Heitoraí;2014;9,052;10;7,64;8,38;9,24;10
Heitoraí;2016;7,342;2,63;8,48;9,14;9,26;7,2
Heitoraí;2018;7,422;7,4;6,71;7,97;5,03;10
Hidrolândia;2012;5,59;2,93;3,84;3,75;8,36;9,07
Hidrolândia;2014;4,808;5,64;2,54;2,64;9,03;4,19
Hidrolândia;2016;4,82;3,95;4,95;3,49;7,83;3,88
Hidrolândia;2018;6,876;8,32;7,41;4,28;8,02;6,35
Hidrolina;2012;9,054;6,95;9,81;9,65;8,86;10
Hidrolina;2014;9,306;7,79;9,32;9,56;9,86;10
Hidrolina;2016;9,372;10;8,83;9,43;8,6;10
Hidrolina;2018;9,028;10;8,19;8,98;7,97;10
Iaciara;2012;6,674;3,07;4,74;8,28;7,71;9,57
Iaciara;2014;7,772;4,47;6,62;8,55;9,74;9,48
Iaciara;2016;7,592;9,32;5,37;8,63;8,15;6,49
Iaciara;2018;7,856;7,13;6,63;8,48;7,91;9,13
Inaciolândia;2012;9,018;10;9,59;9,9;9,37;6,23
Inaciolândia;2014;8,822;8,49;9,47;9,65;9,91;6,59
Inaciolândia;2016;9,636;10;8,89;9,52;9,77;10
Inaciolândia;2018;7,172;6,82;8,03;8,41;6,96;5,64
Indiara;2012;5,91;6,86;8,3;7,11;6,69;0,59
Indiara;2014;7,894;9,37;8,73;6,69;9,37;5,31
Indiara;2016;6,79;6,92;7,78;7,03;7,5;4,72
Indiara;2018;5,224;7,1;6,28;7,07;5,67;0
Inhumas;2012;7,074;7,45;6,94;6,37;7,95;6,66
Inhumas;2014;8,148;8,21;7,78;6,63;9,46;8,66
Inhumas;2016;7,412;6,62;7,38;6,66;8,64;7,76
Inhumas;2018;7,856;9,16;7,77;6,3;8,61;7,44
Ipameri;2012;6,528;5,03;6,45;7,16;7,04;6,96
Ipameri;2014;7,464;7,21;7,19;6,87;9,19;6,86
Ipameri;2016;6,596;6,17;5,97;7,05;6,97;6,82
Ipameri;2018;6,746;8,35;6,54;6,49;6,14;6,21
Ipiranga de Goiás;2012;9,706;10;9,63;9,26;9,64;10
Ipiranga de Goiás;2014;9,714;10;9,46;9,49;9,62;10
Ipiranga de Goiás;2016;9,324;10;8,79;9,23;8,6;10
Ipiranga de Goiás;2018;9,154;10;8,44;8,99;8,34;10
Iporá;2012;7,692;7,64;8,29;7,26;7,84;7,43
Iporá;2014;7,364;8,32;7,65;7,09;9,42;4,34
Iporá;2016;6,314;5,73;7,31;6,57;9,1;2,86
Iporá;2018;6,796;8,18;7,43;6,71;5,44;6,22
Israelândia;2012;6,138;3,61;4,75;7,36;6,83;8,14
Israelândia;2014;8,322;10;4,64;8,68;8,29;10
Israelândia;2016;6,478;6,87;7,82;7,96;1,53;8,21
Israelândia;2018;6,176;1,62;7,34;8,01;6,97;6,94
Itaberaí;2012;6,712;5,65;7,2;5,86;8,04;6,81
Itaberaí;2014;6,87;4,49;7,04;6,19;8,43;8,2
Itaberaí;2016;7,018;7,45;7,03;7,37;7,35;5,89
Itaberaí;2018;5,992;8,56;7,02;5,79;1,08;7,51
Itaguari;2012;9,864;10;9,94;9,38;10;10
Itaguari;2014;8,87;8,07;7,54;9,1;9,64;10
Itaguari;2016;8,32;10;6,6;8,11;9,12;7,77
Itaguari;2018;8,086;8,97;6,88;7,28;7,3;10
Itaguaru;2012;8,388;8,87;6,49;8,79;8,78;9,01
Itaguaru;2014;7,98;10;4,94;6,99;9,19;8,78
Itaguaru;2016;7,788;6,67;6,06;8,21;8;10
Itaguaru;2018;7,034;6,42;5,66;7,59;6,59;8,91
Itajá;2012;9,99;10;10;9,95;10;10
Itajá;2014;9,724;10;10;9,94;10;8,68
Itajá;2016;8,468;8,16;7,43;8,35;9,45;8,95
Itajá;2018;7,03;10;5,95;7,69;8,2;3,31
Itapaci;2012;7,676;9,33;8,81;7,71;5,15;7,38
Itapaci;2014;6,45;4,06;7,65;7,51;5,77;7,26
Itapaci;2016;8,59;9,56;8,55;8,78;7,82;8,24
Itapaci;2018;7,732;8,41;8,44;7,6;6;8,21
Itapirapuã;2012;8,206;8,43;7,66;6,59;9,03;9,32
Itapirapuã;2014;8,15;6,45;8,02;7,24;9,93;9,11
Itapirapuã;2016;8,372;10;8,03;7,93;8,19;7,71
Itapirapuã;2018;7,828;10;7,13;7,26;7,08;7,67
Itapuranga;2012;8,24;8,35;7,73;7,32;8,01;9,79
Itapuranga;2014;8,762;8,99;7,81;7,83;9,18;10
Itapuranga;2016;7,738;9,31;5,69;7,89;7,37;8,43
Itapuranga;2018;6,944;7,8;5,97;7,65;5,65;7,65
Itarumã;2012;9,978;10;10;9,89;10;10
Itarumã;2014;9,978;10;9,94;9,95;10;10
Itarumã;2016;8,088;3,3;9,22;9,69;8,99;9,24
Itarumã;2018;8,874;9,3;8,2;8,99;8,31;9,57
Itauçu;2012;7,602;7,85;5,76;7,43;8,22;8,75
Itauçu;2014;8,698;8,99;6,7;8,18;9,62;10
Itauçu;2016;6,838;5,91;3,62;7,39;7,85;9,42
Itauçu;2018;8,7;9,46;8,69;7,76;8,58;9,01
Itumbiara;2012;6,762;7,82;6,81;6,21;6,49;6,48
Itumbiara;2014;6,53;8,43;5,67;5,68;8,14;4,73
Itumbiara;2016;5,61;8,36;5,31;6,42;6,56;1,4
Itumbiara;2018;6,112;6,99;6,25;5,59;6,18;5,55
Ivolândia;2012;9,344;7,69;9,51;9,52;10;10
Ivolândia;2014;9,948;10;9,85;9,89;10;10
Ivolândia;2016;9,38;10;8,23;9,2;9,47;10
Ivolândia;2018;7,658;6,19;7,36;8,57;6,17;10
Jandaia;2012;9,042;10;9,07;8,25;8,76;9,13
Jandaia;2014;8,986;8,58;9,5;8,63;9,29;8,93
Jandaia;2016;8,28;7,08;8,36;8,54;8,25;9,17
Jandaia;2018;7,26;6,88;8,26;8,08;5,93;7,15
Jaraguá;2012;6,636;7,21;8,13;6,95;6,27;4,62
Jaraguá;2014;6,876;7,77;7,08;6,55;9,51;3,47
Jaraguá;2016;7,456;9,02;6,51;6,48;8,64;6,63
Jaraguá;2018;7,534;7,66;7,5;6,31;8,49;7,71
Jataí;2012;5,924;6,16;5,31;5,76;5,74;6,65
Jataí;2014;5,786;6,21;4,09;5,35;7,95;5,33
Jataí;2016;6,148;6,84;5,92;4,68;7,01;6,29
Jataí;2018;6,878;8,6;6,93;5,69;7,09;6,08
Jaupaci;2012;8,622;7,95;8,95;9,77;6,44;10
Jaupaci;2014;9,226;10;8,71;8,34;9,08;10
Jaupaci;2016;7,056;10;6,84;8,99;6,36;3,09
Jaupaci;2018;8,562;10;8,63;8,12;8,04;8,02
Jesúpolis;2012;9,55;10;9,32;9,54;8,89;10
Jesúpolis;2014;7,662;2,49;9,01;9,63;10;7,18
Jesúpolis;2016;8,454;10;5,64;6,63;10;10
Jesúpolis;2018;8,684;8,02;8,14;8,45;8,81;10
Joviânia;2012;6,736;4,82;5,92;8,14;8,57;6,23
Joviânia;2014;5,948;7,56;3,38;6,67;8,55;3,58
Joviânia;2016;7,37;5,06;5,98;8,15;9,07;8,59
Joviânia;2018;8,17;6,73;8,15;8,22;8,55;9,2
Jussara;2012;7,054;8,07;7,01;6,94;6,89;6,36
Jussara;2014;5,924;6,78;7,15;5,95;9,74;0
Jussara;2016;7,158;7,64;5,22;7,35;9,36;6,22
Jussara;2018;7,326;7,97;6,2;7,22;7,4;7,84
Lagoa Santa;2014;8,404;10;6,17;7,11;8,74;10
Lagoa Santa;2016;9,05;10;6,27;8,98;10;10
Lagoa Santa;2018;7,054;6,7;4,94;7,61;6,02;10
Leopoldo de Bulhões;2012;6,41;6,1;6,55;5,97;8,19;5,24
Leopoldo de Bulhões;2014;7,994;8,89;7,27;5,95;9,52;8,34
Leopoldo de Bulhões;2016;8,13;7,76;7,92;7,63;7,98;9,36
Leopoldo de Bulhões;2018;7,78;8,21;7,61;6,31;7,13;9,64
Luziânia;2012;5,836;6,02;5,03;4,48;7,15;6,5
Luziânia;2014;5,932;5,33;4,25;3,96;9,19;6,93
Luziânia;2016;5,722;4,46;5,05;2,82;8,85;7,43
Luziânia;2018;6,698;7,37;6,43;4,26;7,61;7,82
Mairipotaba;2012;9,858;10;9,78;9,51;10;10
Mairipotaba;2014;9,88;10;10;9,63;9,77;10
Mairipotaba;2016;5,984;6,24;1,84;6,82;7,17;7,85
Mairipotaba;2018;6,178;5,99;5,63;6,98;7,18;5,11
Mambaí;2012;8,952;7,32;8,25;9,56;9,63;10
Mambaí;2014;8,736;7,56;7,32;9,03;9,77;10
Mambaí;2016;8,692;6,52;8,02;9,27;9,65;10
Mambaí;2018;8,53;8,22;7,03;9,19;8,21;10
