Localidade;Ano;IDM Segurança;Crimes contra a dignidade sexual;Crimes contra a pessoa;Crimes contra o patrimonio;Contravenções penais;Tráfico de drogas
Padre Bernardo;2014;7,754;6,64;7,3;6,71;9,73;8,39
Padre Bernardo;2016;7,324;4,68;7,7;7,52;9,42;7,3
Padre Bernardo;2018;7,984;8,17;8,05;6,32;8,96;8,42
Palestina de Goiás;2012;9,052;6,35;9,3;9,76;9,85;10
Palestina de Goiás;2014;9,66;10;8,63;9,83;9,84;10
Palestina de Goiás;2016;9,3;7,38;9,49;9,63;10;10
Palestina de Goiás;2018;9,12;8,61;8,97;9,15;9,72;9,15
Palmeiras de Goiás;2012;7,626;7,89;7,03;7,04;6,4;9,77
Palmeiras de Goiás;2014;7,824;8,55;6,96;6,96;8,01;8,64
Palmeiras de Goiás;2016;6,664;5,12;6,63;7,57;8,38;5,62
Palmeiras de Goiás;2018;5,468;6,22;4,27;5,01;5,56;6,28
Palmelo;2012;8,958;7,37;8,54;9,75;9,13;10
Palmelo;2014;7,664;10;0,95;9,01;8,36;10
Palmelo;2016;8,652;10;4,86;8,4;10;10
Palmelo;2018;7,336;7,98;6,21;6,56;8,38;7,55
Palminópolis;2012;9,588;10;9,19;9,04;9,71;10
Palminópolis;2014;8,112;5,09;7,19;9,51;8,77;10
Palminópolis;2016;8,57;7,5;7,97;9,56;9,25;8,57
Palminópolis;2018;7,296;6;6,7;7,53;7,06;9,19
Panamá;2012;9,662;10;9,02;9,48;9,81;10
Panamá;2014;9,46;10;9,13;8,58;9,59;10
Panamá;2016;8,598;10;8,7;7,22;8,99;8,08
Panamá;2018;7,74;8,2;7,15;6,98;7,47;8,9
Paranaiguara;2012;7,006;2,57;7,59;8,57;7,48;8,82
Paranaiguara;2014;7,752;7,16;6,96;8,55;8,93;7,16
Paranaiguara;2016;8,816;10;9,09;9,22;8,45;7,32
Paranaiguara;2018;8,348;9,01;7,9;8,8;6,93;9,1
Paraúna;2012;7,254;4,91;7,57;7,83;6,95;9,01
Paraúna;2014;8,006;9,2;6,88;7,17;7,99;8,79
Paraúna;2016;7,24;6,73;7,28;7,55;7,91;6,73
Paraúna;2018;6,204;6,95;6,06;6,95;2,39;8,67
Perolândia;2012;8,428;7,92;8,49;8,93;8,62;8,18
Perolândia;2014;7,822;4,12;8,19;7,17;9,63;10
Perolândia;2016;8,862;7,05;7,83;9,43;10;10
Perolândia;2018;7,67;8,44;6,84;7,79;7,18;8,1
Petrolina de Goiás;2012;7,86;8,21;6,9;7,85;7,38;8,96
Petrolina de Goiás;2014;8,54;8,3;7,49;8,13;8,78;10
Petrolina de Goiás;2016;8,596;9,13;8,08;8,53;9,22;8,02
Petrolina de Goiás;2018;7,78;6,3;7,23;8,16;7,49;9,72
Pilar de Goiás;2012;7,956;7,78;9,15;9,11;7,61;6,13
Pilar de Goiás;2014;7,818;10;8,28;7,73;5,52;7,56
Pilar de Goiás;2016;9,148;10;8,92;9,33;9,48;8,01
Pilar de Goiás;2018;7,65;6,16;8,57;8,17;7,69;7,66
Piracanjuba;2012;7,61;7,95;7,08;6,8;8,01;8,21
Piracanjuba;2014;7,784;10;7,55;6,04;9,7;5,63
Piracanjuba;2016;6,006;5,96;5,73;7,5;8,18;2,66
Piracanjuba;2018;7,03;8,05;6,78;5,44;8,32;6,56
Piranhas;2012;8,048;7,82;7,07;7,66;8,64;9,05
Piranhas;2014;7,998;6,85;7,65;6,52;9,56;9,41
Piranhas;2016;7,886;8,36;7,62;8,1;8,15;7,2
Piranhas;2018;6,018;7,35;4,42;6,77;3,7;7,85
Pirenópolis;2012;3,866;7,06;1,06;3,08;0;8,13
Pirenópolis;2014;3,738;6,62;0,18;2,25;4,99;4,65
Pirenópolis;2016;4,218;7;0,89;5,8;2,33;5,07
Pirenópolis;2018;5,438;6,44;4,63;5,04;3,73;7,35
Pires do Rio;2012;7,49;8,29;7,21;6,85;6,78;8,32
Pires do Rio;2014;6,678;7,9;4,98;5,85;8,71;5,95
Pires do Rio;2016;5,682;5,22;5;7,33;8,2;2,66
Pires do Rio;2018;6,674;7,8;6,85;4,81;6,59;7,32
Planaltina;2012;6,348;3,98;7,26;4,66;7,75;8,09
Planaltina;2014;6,126;3,99;6,78;4,9;9,31;5,65
Planaltina;2016;5,998;4,34;6,3;5,04;9,16;5,15
Planaltina;2018;6,64;5,43;7,19;4,72;8,31;7,55
Pontalina;2012;8,218;8,92;7,16;7,71;8,87;8,43
Pontalina;2014;6,63;4,41;3,85;7,37;9,43;8,09
Pontalina;2016;7,366;9,49;6,35;7,78;8,77;4,44
Pontalina;2018;7,9;8,91;6,41;7,69;7,98;8,51
Porangatu;2012;6,538;6,66;5,97;3,96;7,24;8,86
Porangatu;2014;6,754;5,91;5,17;5,61;8,61;8,47
Porangatu;2016;6,5;8,36;5,39;6,74;6,8;5,21
Porangatu;2018;6,348;7,62;5,35;5,67;6,12;6,98
Porteirão;2012;9,972;10;10;9,86;10;10
Porteirão;2014;9,364;10;8,09;8,73;10;10
Porteirão;2016;7,276;5;6,9;6,66;9,25;8,57
Porteirão;2018;7,4;8,7;7,55;6,79;5,55;8,41
Portelândia;2012;9,588;10;9,05;9,82;9,07;10
Portelândia;2014;9,89;10;9,6;9,85;10;10
Portelândia;2016;8,54;5,44;9,29;9;8,97;10
Portelândia;2018;8,556;10;8,32;8,6;7,33;8,53
Posse;2012;7,422;6,48;6,08;7,71;7,52;9,32
Posse;2014;6,896;6,2;4,57;6,66;8,27;8,78
Posse;2016;6,558;5,23;4,57;7,92;8,25;6,82
Posse;2018;7,896;7,24;7,11;8,08;8,39;8,66
Professor Jamil;2012;9,82;10;10;9,57;9,53;10
Professor Jamil;2014;9,674;10;9,77;8,6;10;10
Professor Jamil;2016;6,696;10;2,63;4,98;7,47;8,4
Professor Jamil;2018;6,546;6,99;6,13;4,78;8,49;6,34
Quirinópolis;2012;7,162;8,72;7,15;5,82;7,6;6,52
Quirinópolis;2014;6,968;7,83;6,19;5,78;8,75;6,29
Quirinópolis;2016;6,744;7,87;6,01;6,88;8,16;4,8
Quirinópolis;2018;6,98;8,89;6,84;5,17;6,83;7,17
Rialma;2012;6,458;7,66;5,25;6,45;5,99;6,94
Rialma;2014;6,132;7,52;3,45;5,27;8,76;5,66
Rialma;2016;6,724;6,66;5,05;6,78;7,99;7,14
Rialma;2018;5,672;0,7;5,18;6,68;7,42;8,38
Rianápolis;2012;7,316;8,65;6,85;8,28;6,32;6,48
Rianápolis;2014;6,894;4,3;6,23;7,98;8,81;7,15
Rianápolis;2016;6,942;6,17;6,44;8,42;9,14;4,54
Rianápolis;2018;6,508;4,94;6,34;6,77;6,34;8,15
Rio Quente;2012;7,374;6,29;7,08;4,73;8,77;10
Rio Quente;2014;6,496;5;5,05;3,52;8,91;10
Rio Quente;2016;8,316;10;7,82;6,86;8,24;8,66
Rio Quente;2018;7,28;7,62;6,64;4,79;8,8;8,55
Rio Verde;2012;5,954;7,98;4,63;5,49;6,26;5,41
Rio Verde;2014;6,026;7,5;3,63;5,06;8,75;5,19
Rio Verde;2016;5,344;6,35;2,31;3,78;6,74;7,54
Rio Verde;2018;6,262;7,64;5,3;3,58;7,21;7,58
Rubiataba;2012;8,252;10;8,48;7,36;7,12;8,3
Rubiataba;2014;8,354;9,54;7,6;6,89;8,08;9,66
Rubiataba;2016;7,266;9,54;8,1;7,63;5,55;5,51
Rubiataba;2018;6,732;8,29;6,9;7;4,75;6,72
Sanclerlândia;2012;6,872;6,74;6,26;7,78;7,84;5,74
Sanclerlândia;2014;7,826;5,37;7,4;7,81;9,42;9,13
Sanclerlândia;2016;7,774;6,47;7,08;8,92;8,41;7,99
Sanclerlândia;2018;8,062;7,5;7,98;8,48;7,11;9,24
Santa Bárbara de Goiás;2012;9,338;8,93;9,68;8,7;9,38;10
Santa Bárbara de Goiás;2014;8,346;10;8,1;6,88;8,98;7,77
Santa Bárbara de Goiás;2016;6,746;4,13;7,95;7,6;8,24;5,81
Santa Bárbara de Goiás;2018;5,784;5,4;6,47;6,98;7,54;2,53
Santa Cruz de Goiás;2012;9,846;10;9,75;9,48;10;10
Santa Cruz de Goiás;2014;9,746;10;9,38;9,53;9,82;10
Santa Cruz de Goiás;2016;8,032;10;2,92;8,13;9,11;10
Santa Cruz de Goiás;2018;7,782;10;6,05;5,75;7,11;10
Santa Fé de Goiás;2012;9,398;10;8,41;9,11;9,47;10
Santa Fé de Goiás;2014;8,984;8,2;8,66;9,52;9,89;8,65
Santa Fé de Goiás;2016;9,228;10;7,6;9,07;9,47;10
Santa Fé de Goiás;2018;8,414;9,08;7,4;8,37;7,78;9,44
Santa Helena de Goiás;2012;7,446;8,99;7,13;7,52;7,71;5,88
Santa Helena de Goiás;2014;7,632;9,29;7,67;6,77;9,43;5
Santa Helena de Goiás;2016;7,096;8,09;6,49;7,07;7,38;6,45
Santa Helena de Goiás;2018;6,794;7,85;7,28;6,22;5,77;6,85
Santa Isabel;2012;7,714;3,33;8,37;9,36;7,51;10
Santa Isabel;2014;9,392;10;8,34;9,06;9,56;10
Santa Isabel;2016;9,208;10;7,32;9,08;9,64;10
Santa Isabel;2018;8,74;8,73;7,49;8,5;8,98;10
Santa Rita do Araguaia;2012;9,75;10;9,06;9,98;9,71;10
Santa Rita do Araguaia;2014;9,874;10;9,68;9,92;9,77;10
Santa Rita do Araguaia;2016;9,58;10;9,55;9,71;9,3;9,34
Santa Rita do Araguaia;2018;7,694;9,4;8,34;7,84;5,44;7,45
Santa Rita do Novo Destino;2012;9,382;10;8,93;8,78;9,2;10
Santa Rita do Novo Destino;2014;9,622;10;9,28;9;9,83;10
Santa Rita do Novo Destino;2016;8,85;10;6,8;8,69;8,76;10
Santa Rita do Novo Destino;2018;9,214;10;7,84;8,52;9,71;10
Santa Rosa de Goiás;2012;9,404;10;8,65;9,07;9,3;10
Santa Rosa de Goiás;2014;9,316;10;8,22;8,55;9,81;10
Santa Rosa de Goiás;2016;9,53;10;8,83;8,82;10;10
Santa Rosa de Goiás;2018;8,626;10;7,07;8,66;7,4;10
Santa Tereza de Goiás;2012;9,79;10;9,93;9,27;9,75;10
Santa Tereza de Goiás;2014;9,766;10;9,8;9,03;10;10
Santa Tereza de Goiás;2016;8,086;2,83;8,61;8,99;10;10
Santa Tereza de Goiás;2018;7,182;6,07;7,28;8,1;5,26;9,2
Santa Terezinha de Goiás;2012;8,056;8,21;6,55;8,09;8,47;8,96
Santa Terezinha de Goiás;2014;8,33;9,13;7,13;7,89;9,46;8,04
Santa Terezinha de Goiás;2016;8,32;7,23;7,6;8,38;9,44;8,95
Santa Terezinha de Goiás;2018;8;9,49;5,77;8,7;6,96;9,08
Santo Antônio da Barra;2012;8,542;5,83;8,05;9,52;9,31;10
Santo Antônio da Barra;2014;8,77;8,05;7,34;8,83;9,63;10
Santo Antônio da Barra;2016;8,482;8,05;6,76;8,77;8,83;10
Santo Antônio da Barra;2018;7,748;6,93;7,11;8,01;7,94;8,75
Santo Antônio de Goiás;2012;9,02;10;7,44;8,53;9,13;10
Santo Antônio de Goiás;2014;7,886;4,7;7,04;8,35;9,34;10
Santo Antônio de Goiás;2016;8,796;10;7,55;8,33;10;8,1
Santo Antônio de Goiás;2018;8,686;9,15;7,94;8,23;9,15;8,96
Santo Antônio do Descoberto;2012;5,748;4,26;5,91;3,77;7,6;7,2
Santo Antônio do Descoberto;2014;5,534;4,48;3,83;2,94;9,45;6,97
Santo Antônio do Descoberto;2016;5,386;4,09;2,37;4,78;8,01;7,68
Santo Antônio do Descoberto;2018;7,252;7,34;6,15;6,02;8,58;8,17
São Domingos;2012;7,336;6,18;5,08;6,86;8,56;10
São Domingos;2014;6,802;3,17;5,62;7,12;8,67;9,43
São Domingos;2016;5,906;9,25;4,63;7,49;3,27;4,89
São Domingos;2018;6,874;4,16;6,55;8,21;6,87;8,58
São Francisco de Goiás;2012;9,464;10;9,49;8,58;9,25;10
São Francisco de Goiás;2014;8,02;5,73;8,37;7,25;9,82;8,93
São Francisco de Goiás;2016;8,17;10;7,48;7,41;7,61;8,35
São Francisco de Goiás;2018;8,334;9,23;7,91;7,93;7,53;9,07
São João d'Aliança;2012;9,124;9,4;8,83;9,53;8,91;8,95
São João d'Aliança;2014;8,268;5,14;8,82;9,11;9,49;8,78
São João d'Aliança;2016;8,184;5,42;8,4;9,18;9,66;8,26
São João d'Aliança;2018;7,498;8,44;6,74;7,42;7,97;6,92
São João da Paraúna;2012;9,562;10;9,23;9,79;8,79;10
São João da Paraúna;2014;8,572;10;5,77;8,76;8,33;10
São João da Paraúna;2016;7,952;4,29;7,13;9,2;9,14;10
São João da Paraúna;2018;5,736;3,72;7,36;7,73;3,69;6,18
São Luis de Montes Belos;2012;8,116;8,57;8;8,28;6,98;8,75
São Luis de Montes Belos;2014;8,024;6,86;8,15;8;7,75;9,36
São Luis de Montes Belos;2016;6,942;6,89;8,77;8,56;8,39;2,1
São Luis de Montes Belos;2018;7,224;8,82;7,91;7,67;4,51;7,21
São Luiz do Norte;2012;6,812;4,67;8,58;8,71;7,91;4,19
São Luiz do Norte;2014;7,506;10;7,54;8,02;8,95;3,02
São Luiz do Norte;2016;8,524;8,16;7,79;8,61;8,06;10
São Luiz do Norte;2018;7,996;9,03;6,61;7,06;7,87;9,41
São Miguel do Araguaia;2012;7,804;8,07;6,24;6,44;8,99;9,28
São Miguel do Araguaia;2014;7,554;9,61;6,15;6,36;9,19;6,46
São Miguel do Araguaia;2016;6,376;7,18;5,01;7,49;7,03;5,17
São Miguel do Araguaia;2018;6,478;4,41;5,92;6,87;6,37;8,82
São Miguel do Passa Quatro;2012;8,728;10;8,68;5,91;9,05;10
São Miguel do Passa Quatro;2014;8,53;7,7;8,28;7,25;9,42;10
São Miguel do Passa Quatro;2016;8,558;7,7;8,57;7,21;9,31;10
São Miguel do Passa Quatro;2018;7,492;5,15;7,78;6,49;8,78;9,26
São Patrício;2012;9,904;10;9,87;9,65;10;10
São Patrício;2014;8,824;10;8,26;9,42;9,73;6,71
São Patrício;2016;8,424;5,56;7,42;9,14;10;10
São Patrício;2018;8,616;7,64;9,18;8,63;7,63;10
São Simão;2012;8,242;7,84;7,83;8,55;7,62;9,37
São Simão;2014;8,838;9,01;8,56;8,14;9,6;8,88
São Simão;2016;6,99;9,04;6,11;7,89;6,31;5,6
São Simão;2018;6,832;7,26;6,27;6,66;6,25;7,72
Senador Canedo;2012;4,88;4,69;4,67;4,78;6,87;3,39
Senador Canedo;2014;4,988;4,12;3,66;3,75;9,22;4,19
Senador Canedo;2016;6,042;4,49;5,38;4,05;8,91;7,38
Senador Canedo;2018;6,778;7,34;6,69;3,71;8,82;7,33
Serranópolis;2012;8,248;10;7,94;9,23;6,94;7,13
Serranópolis;2014;9,444;8,86;9,6;9,62;10;9,14
Serranópolis;2016;6,336;8,87;5,77;7,24;2,37;7,43
Serranópolis;2018;6,614;6,47;6,79;7,87;4,09;7,85
Silvânia;2012;7,812;9,03;6,78;6,9;7,76;8,59
Silvânia;2014;8,03;9,55;7,83;6,6;9,23;6,94
Silvânia;2016;7,29;9,55;8,44;6,6;9,11;2,75
Silvânia;2018;7,556;8,09;8,05;6,95;7,6;7,09
Simolândia;2012;6,578;7,17;5,86;8;6,8;5,06
Simolândia;2014;6,848;4,67;5,01;6,81;9,75;8
Simolândia;2016;7,092;7,32;4,96;7,9;7,58;7,7
Simolândia;2018;6,796;9,29;4,87;8,11;4,3;7,41
Sítio d'Abadia;2012;9,378;10;8,52;9,63;8,74;10
Sítio d'Abadia;2014;8,56;6,93;7,84;9,18;8,85;10
Sítio d'Abadia;2016;9,568;10;8,33;9,51;10;10
Sítio d'Abadia;2018;8,746;6,74;7,98;9,34;9,67;10
Taquaral de Goiás;2012;9,484;8,26;9,26;9,9;10;10
Taquaral de Goiás;2014;7,736;10;5,21;8,11;9,07;6,29
Taquaral de Goiás;2016;6,5;10;3,65;6,89;7,72;4,24
Taquaral de Goiás;2018;7,656;7,31;7,33;6,61;7,03;10
Teresina de Goiás;2012;9,992;10;10;9,96;10;10
Teresina de Goiás;2014;9,944;10;10;9,72;10;10
Teresina de Goiás;2016;7,604;4,42;6,97;7,89;8,74;10
Teresina de Goiás;2018;7,526;5,63;6,54;7,51;7,95;10
Terezópolis de Goiás;2012;5,744;3,44;6,85;4,23;8,29;5,91
Terezópolis de Goiás;2014;5,98;6,14;6,88;4,05;8,63;4,2
Terezópolis de Goiás;2016;7,29;8,75;5,95;5,9;8,69;7,16
Terezópolis de Goiás;2018;5,516;4,85;4,17;3,63;8,06;6,87
Três Ranchos;2012;5,606;1,28;6,01;7,88;4,76;8,1
Três Ranchos;2014;6,992;10;6,31;5,05;8,25;5,35
Três Ranchos;2016;6,538;10;3,15;4,66;6,68;8,2
Três Ranchos;2018;5,912;8,32;5,33;3,37;4,59;7,95
Trindade;2012;7,13;6,59;6,13;5,09;8,56;9,28
Trindade;2014;6,694;7,33;5,49;3,98;9,28;7,39
Trindade;2016;5,53;3,19;5,19;4,08;8,81;6,38
Trindade;2018;7,088;7,61;6,75;4,67;8,33;8,08
Trombas;2012;9,956;10;9,92;9,86;10;10
Trombas;2014;9,422;7,47;9,89;9,75;10;10
Trombas;2016;9,516;10;9,5;9,55;10;8,53
Trombas;2018;8,76;8,63;7,9;8,65;9,45;9,17
Turvânia;2012;8,894;8,73;8,7;8,09;8,95;10
Turvânia;2014;7,81;4,53;7,19;8,24;9,09;10
Turvânia;2016;7,842;8,12;7,08;8,64;8,59;6,78
Turvânia;2018;5,92;1,91;3,79;7,36;7,16;9,38
Turvelândia;2012;9,218;10;8,45;8,91;8,73;10
Turvelândia;2014;8,362;6,14;7,71;8,2;9,76;10
Turvelândia;2016;7,536;0,63;8,48;8,85;9,72;10
Turvelândia;2018;7,81;7,08;7,59;8,28;6,1;10
Uirapuru;2012;9,07;10;7,86;9,4;8,09;10
Uirapuru;2014;9,484;10;8,68;9,3;9,44;10
Uirapuru;2016;9,806;10;9,52;9,51;10;10
Uirapuru;2018;9,306;8,35;9,51;9,33;9,34;10
Uruaçu;2012;6,816;7,5;6,61;6,15;6,73;7,09
Uruaçu;2014;7,464;6,73;7,12;5,75;9,12;8,6
Uruaçu;2016;6,894;8,37;7,26;5,9;6,79;6,15
Uruaçu;2018;6,772;7,92;7,78;4,52;6,91;6,73
Uruana;2012;8,256;8,67;8,24;8,13;7,79;8,45
Uruana;2014;7,044;4,3;7,77;7,9;9,05;6,2
Uruana;2016;8,086;9,35;7,55;8,05;8,06;7,42
Uruana;2018;7,844;7,94;7,58;7,17;7,79;8,74
Urutaí;2012;4,27;0;2,51;8,28;0,56;10
Urutaí;2014;6,182;4,31;1,73;7,54;7,33;10
Urutaí;2016;5,888;4,19;2,8;7,6;6,51;8,34
Urutaí;2018;5,888;8,45;5,4;6,19;1,29;8,11
Valparaíso de Goiás;2012;6,884;6,81;6,55;4,2;7,99;8,87
Valparaíso de Goiás;2014;6,394;5,4;6,03;3,06;9,23;8,25
Valparaíso de Goiás;2016;5,02;5,73;3,1;2,72;6,84;6,71
Valparaíso de Goiás;2018;6,452;6,98;5,9;3,71;7,3;8,37
Varjão;2012;9,882;10;9,57;9,84;10;10
Varjão;2014;7,942;5,25;7,49;7,71;9,26;10
Varjão;2016;6,42;0,43;7,13;7,35;8,56;8,63
Varjão;2018;7,548;6,2;6,67;7,17;8,47;9,23
Vianópolis;2012;5,936;0,04;7,33;7,19;7,69;7,43
Vianópolis;2014;7,668;7,94;7,58;6,3;9,61;6,91
Vianópolis;2016;6,908;7,27;5,7;5,78;7,74;8,05
Vianópolis;2018;6,622;8,21;6,93;4,61;5,76;7,6
Vicentinópolis;2012;9,676;9,17;9,5;9,71;10;10
Vicentinópolis;2014;9,246;10;8,22;8,66;9,35;10
Vicentinópolis;2016;6,898;2,13;6,73;8,6;8,31;8,72
Vicentinópolis;2018;8,714;10;7,72;8,22;9,41;8,22
Vila Boa;2012;9,138;10;8,67;9,33;8,82;8,87
Vila Boa;2014;9,286;10;7,59;9,06;9,78;10
Vila Boa;2016;8,932;8,32;8,18;9,12;10;9,04
Vila Boa;2018;7,458;8,28;5,84;7,67;7,07;8,43
Vila Propício;2012;7,414;1,64;7,92;8,2;9,31;10
Vila Propício;2014;8,42;6,67;7,73;8,12;9,58;10
Vila Propício;2016;7,618;5,06;6,18;8,09;8,76;10
Vila Propício;2018;6,9;5,69;5,18;6,93;7,75;8,95
