Localidade;Ano;Cursos Presenciais Federal;na Educação de Jovens a Adultos Estadual;Educação de Jovens a Adultos Federal;Cursos Presenciais Estadual;Educação de Jovens a Adultos Municipal;Cursos Presenciais Municipal;Cursos Presenciais Particular;Educação de Jovens a Adultos Particular;Cursos Presenciais Comunitária/Confessional/Filantrópica;Educação profissional Estadual;Educação profissional Federal;Educação profissional Municipal;Educação profissional Particular;Ensino Médio Estadual;Ensino Médio Federal;Ensino Médio Municipal;Ensino Médio Particular
Jandaia;2017;;;;;;;;;;;;;;155;;;
Jandaia;2018;;0;0;;0;;;0;;0;0;0;0;181;0;0;0
Jaraguá;2002;;273;;623;289;;;;;;;;;1548;;;168
Jaraguá;2003;;283;;477;72;;;;;;;;;1556;;;181
Jaraguá;2004;;263;;450;74;;;;;;;;;1642;;;188
Jaraguá;2005;;378;;377;73;;;;;;;;;1541;;;192
Jaraguá;2006;;393;;281;47;;;;;;;;;1600;;;197
Jaraguá;2007;;264;;353;25;;;;;;;;;1620;;;208
Jaraguá;2008;;281;;331;48;;;;;;;;;1526;;;218
Jaraguá;2009;;119;;329;45;;;;;;;;43;1593;;;235
Jaraguá;2010;;116; ;294;21;;; ;; ; ; ;64;1733; ; ;233
Jaraguá;2011;;123;;303;22;;;;;;;;49;1623;;;246
Jaraguá;2012;;179;;287;15;;;;;;;;;1584;;;247
Jaraguá;2013;;148;;320;19;;;;;;;;;1579;;;227
Jaraguá;2014;;182;;;24;;;;;;;;;1621;;;196
Jaraguá;2015;;167;;;18;;;;;;;;;1583;;;195
Jaraguá;2016;;165;;;24;;;;;;;;;1518;;;166
Jaraguá;2017;;308;;;24;;;;;;;;;1374;;;141
Jaraguá;2018;;361;0;;16;;;0;;0;0;0;0;1446;0;0;157
Jataí;2002;1460;817;70;127;1209;;915;200;;;;;;3585;325;;209
Jataí;2003;1669;738;19;169;1477;;913;;;;;;;3062;325;;585
Jataí;2004;1697;694;;158;1058;;939;444;;136;219;;;2764;321;;504
Jataí;2005;1634;686;;157;1192;;845;330;;160;184;;18;2931;327;14;568
Jataí;2006;1597;835;32;115;1196;;800;141;;150;201;;;3142;320;40;655
Jataí;2007;1927;827;29;140;803;;777;;;149;233;;64;2963;307;84;497
Jataí;2008;2090;684;38;220;790;;687;30;;59;166;;95;2710;300;114;757
Jataí;2009;2403;752;61;198;681;;605;4;;;113;;95;2804;304;;729
Jataí;2010;2682;733;70;220;647;;609;13;;102;69; ;144;2854;318; ;737
Jataí;2011;2910;531;71;218;615;;578;4;;;83;;177;2552;363;;771
Jataí;2012;2887;457;84;208;626;;631;;;52;81;;;2876;392;;724
Jataí;2013;3263;422;57;200;500;;614;;;24;65;;470;2501;323;;720
Jataí;2014;;408;69;;388;;;;;;69;;475;2606;253;;628
Jataí;2015;;329;79;;487;;;;;;331;;365;2590;154;;600
Jataí;2016;;281;79;;215;;;;;25;356;;251;2653;183;;549
Jataí;2017;;600;55;;216;;;;;;359;;203;2645;213;;462
Jataí;2018;;612;82;;314;;;0;;0;423;0;143;3217;248;0;625
Jaupaci;2002;;193;;;;;;;;;;;;116;;;
Jaupaci;2003;;172;;;;;;;;;;;;120;;;
Jaupaci;2004;;125;;;;;;;;;;;;153;;;
Jaupaci;2005;;98;;;;;;;;;;;;147;;;
Jaupaci;2006;;102;;;;;;;;;;;;158;;;
Jaupaci;2007;;132;;;;;;;;;;;;157;;;
Jaupaci;2008;;138;;;;;;;;;;;;152;;;
Jaupaci;2009;;19;;;16;;;;;;;;;132;;;
Jaupaci;2010;;18; ;;21;;; ;; ; ; ; ;148; ; ; 
Jaupaci;2011;;;;;25;;;;;;;;;137;;;
Jaupaci;2012;;;;;27;;;;;;;;;123;;;
Jaupaci;2013;;;;;;;;;;;;;;113;;;
Jaupaci;2014;;;;;;;;;;;;;;107;;;
Jaupaci;2015;;;;;;;;;;;;;;104;;;
Jaupaci;2016;;;;;;;;;;;;;;121;;;
Jaupaci;2017;;;;;24;;;;;;;;;108;;;
Jaupaci;2018;;19;0;;9;;;0;;0;0;0;0;112;0;0;0
Jesúpolis;2002;;;;;;;;;;;;;;117;;;
Jesúpolis;2003;;;;;;;;;;;;;;115;;;
Jesúpolis;2004;;;;;;;;;;;;;;130;;;
Jesúpolis;2005;;;;;;;;;;;;;;136;;;
Jesúpolis;2006;;;;;;;;;;;;;;157;;;
Jesúpolis;2007;;;;;16;;;;;;;;;139;;;
Jesúpolis;2008;;;;;19;;;;;;;;;155;;;
Jesúpolis;2009;;;;;;;;;;;;;;122;;;
Jesúpolis;2010;; ; ;; ;;; ;; ; ; ; ;144; ; ; 
Jesúpolis;2011;;;;;;;;;;;;;;123;;;
Jesúpolis;2012;;;;;;;;;;;;;;113;;;
Jesúpolis;2013;;;;;;;;;;;;;;99;;;
Jesúpolis;2014;;;;;;;;;;;;;;99;;;
Jesúpolis;2015;;;;;;;;;;;;;;123;;;
Jesúpolis;2016;;;;;;;;;;;;;;117;;;
Jesúpolis;2017;;12;;;;;;;;;;;;86;;;
Jesúpolis;2018;;11;0;;0;;;0;;0;0;0;0;96;0;0;0
Joviânia;2002;;;;;;;;;;;;;;288;;;
Joviânia;2003;;145;;;;;;;;;;;;295;;;
Joviânia;2004;;112;;;40;;;;;;;;;262;;;
Joviânia;2005;;75;;;;;;;;;;;;269;;;
Joviânia;2006;;49;;;;;;;;;;;;246;;;
Joviânia;2007;;20;;;21;;;;;;;;;261;;;
Joviânia;2008;;23;;;25;;;;;;;;;309;;;
Joviânia;2009;;8;;;33;;;;;;;;;270;;;
Joviânia;2010;; ; ;;53;;; ;; ; ; ; ;293; ; ; 
Joviânia;2011;;;;;23;;;;;;;;;248;;;
Joviânia;2012;;;;;37;;;;;;;;;249;;;
Joviânia;2013;;;;;15;;;;;;;;;248;;;
Joviânia;2014;;;;;53;;;;;;;;;227;;;
Joviânia;2015;;;;;27;;;;;;;;;229;;;
Joviânia;2016;;;;;20;;;;;;;;;258;;;
Joviânia;2017;;14;;;81;;;;;;;;;239;;;
Joviânia;2018;;34;0;;56;;;0;;0;0;0;0;229;0;0;0
Jussara;2002;;;;788;164;;505;227;;;;;;1105;;;140
Jussara;2003;;;;823;219;;672;194;;;;;;956;;;138
Jussara;2004;;;;786;149;;552;112;;;;;;1029;;;125
Jussara;2005;;;;635;65;;514;108;;;;;;994;;;128
Jussara;2006;;;;599;76;;416;86;;;;;;978;;;130
Jussara;2007;;112;;509;19;;439;30;;;;;;862;;;114
Jussara;2008;;148;;485;75;;504;;;;;;;813;;;121
Jussara;2009;;165;;416;67;;441;;;;;;;823;;;139
Jussara;2010;;158; ;406;99;;469; ;; ; ; ; ;815; ; ;121
Jussara;2011;;119;;414;85;;501;;;;;;;777;;;113
Jussara;2012;;82;;344;69;;472;;;;;;;781;;;102
Jussara;2013;;74;;276;37;;470;;;;;;;789;;;94
Jussara;2014;;91;;;58;;;;;;;;;772;;;95
Jussara;2015;;70;;;48;;;;;108;;;;746;;;73
Jussara;2016;;62;;;38;;;;;102;;;;820;;;60
Jussara;2017;;106;;;31;;;;;;;;;716;;;64
Jussara;2018;;19;0;;48;;;0;;18;0;0;0;758;0;0;61
Lagoa Santa;2002;;;;;;;;;;;;;;102;;;
Lagoa Santa;2003;;;;;;;;;;;;;;121;;;
Lagoa Santa;2004;;;;;15;;;;;;;;;116;;;
Lagoa Santa;2005;;;;;14;;;;;;;;;145;;;
Lagoa Santa;2006;;;;;;;;;;;;;;132;;;
Lagoa Santa;2007;;;;;;;;;;;;;;129;;;
Lagoa Santa;2008;;;;;32;;;;;;;;;103;;;
Lagoa Santa;2009;;;;;17;;;;;;;;;89;;;
Lagoa Santa;2010;; ; ;;15;;; ;; ; ; ; ;85; ; ; 
Lagoa Santa;2011;;;;;14;;;;;;;;;71;;;
Lagoa Santa;2012;;;;;;;;;;;;;;66;;;
Lagoa Santa;2013;;;;;;;;;;;;;;79;;;
Lagoa Santa;2014;;;;;;;;;;;;;;91;;;
Lagoa Santa;2015;;;;;;;;;;;;;;94;;;
Lagoa Santa;2016;;;;;;;;;;;;;;87;;;
Lagoa Santa;2017;;8;;;;;;;;;;;;85;;;
Lagoa Santa;2018;;5;0;;0;;;0;;0;0;0;0;103;0;0;0
Leopoldo de Bulhões;2002;;;;;167;;;;;;;;;177;;;
Leopoldo de Bulhões;2003;;;;;129;;;;;;;;;245;;;
Leopoldo de Bulhões;2004;;;;;132;;;;;;;;;228;;;
Leopoldo de Bulhões;2005;;;;;263;;;;;;;;;177;;;
Leopoldo de Bulhões;2006;;;;;242;;;;;;;;;201;;;
Leopoldo de Bulhões;2007;;;;;173;;;;;;;;;223;;30;
Leopoldo de Bulhões;2008;;;;;169;;;;;;;;;179;;47;
Leopoldo de Bulhões;2009;;;;;109;;;;;;;;;199;;66;
Leopoldo de Bulhões;2010;; ; ;;59;;; ;; ; ; ; ;210; ;52; 
Leopoldo de Bulhões;2011;;;;;84;;;;;;;;;243;;54;
Leopoldo de Bulhões;2012;;;;;96;;;;;;;;;225;;66;
Leopoldo de Bulhões;2013;;;;;118;;;;;;;;;203;;50;
Leopoldo de Bulhões;2014;;;;;77;;;;;;;;;212;;41;
Leopoldo de Bulhões;2015;;;;;12;;;;;;;;;234;;37;
Leopoldo de Bulhões;2016;;;;;11;;;;;;;;;260;;40;
Leopoldo de Bulhões;2017;;19;;;13;;;;;;;;;230;;34;
Leopoldo de Bulhões;2018;;29;0;;11;;;0;;0;0;0;0;227;0;52;0
Luziânia;2002;;2686;;1167;358;;2876;13;;;;;;6809;;;264
Luziânia;2003;;3434;;1576;361;;2609;300;;;;;;6679;;;302
Luziânia;2004;;3692;;1291;517;;2356;132;;;;;61;7429;;;329
Luziânia;2005;;3177;;992;293;;1932;303;;;;;44;7183;;;380
Luziânia;2006;;2499;;828;279;;1797;353;;;;;47;7504;;;370
Luziânia;2007;;2101;;537;355;;2367;133;;;;;176;7483;;;200
Luziânia;2008;;2343;;724;448;;3175;144;;;;;151;7546;;;393
Luziânia;2009;;2096;;424;398;;3362;105;;;;;;8014;;;277
Luziânia;2010;118;2025; ;445;369;;3973;12;; ; ; ;151;7869; ; ;361
Luziânia;2011;177;1668;51;432;307;;3437;5;;;;;243;8138;151;;325
Luziânia;2012;237;1389;84;306;240;;2825;14;;;;;;7915;200;;340
Luziânia;2013;266;1137;65;307;186;;2453;6;;;;;755;7428;246;;317
Luziânia;2014;;1219;35;;415;;;15;;;;;666;7309;297;;373
Luziânia;2015;;1162;17;;494;;;73;;;363;174;533;7333;273;;391
Luziânia;2016;;1061;41;;294;;;136;;18;428;;712;7346;271;;365
Luziânia;2017;;2055;54;;370;;;170;;;392;;571;6227;284;;349
Luziânia;2018;;2488;59;;389;;;218;;120;349;0;396;6282;290;0;323
Mairipotaba;2002;;;;;51;;;;;;;;;88;;;
Mairipotaba;2003;;;;;41;;;;;;;;;103;;;
Mairipotaba;2004;;;;;45;;;;;;;;;135;;;
Mairipotaba;2005;;31;;;73;;;;;;;;;153;;;
Mairipotaba;2006;;83;;;59;;;;;;;;;136;;;
Mairipotaba;2007;;25;;;49;;;;;;;;;126;;;
Mairipotaba;2008;;13;;;62;;;;;;;;;111;;;
Mairipotaba;2009;;;;;37;;;;;;;;;101;;;
Mairipotaba;2010;; ; ;;30;;; ;; ; ; ; ;94; ; ; 
Mairipotaba;2011;;;;;47;;;;;;;;;77;;;
Mairipotaba;2012;;;;;15;;;;;;;;;68;;;
Mairipotaba;2013;;;;;;;;;;;;;;86;;;
Mairipotaba;2014;;;;;;;;;;;;;;92;;;
Mairipotaba;2015;;;;;;;;;;;;;;92;;;
Mairipotaba;2016;;;;;;;;;;;;;;85;;;
Mairipotaba;2017;;19;;;;;;;;;;;;68;;;
Mairipotaba;2018;;15;0;;0;;;0;;0;0;0;0;57;0;0;0
Mambaí;2002;;;;;;;;;;;;;;213;;;
Mambaí;2003;;101;;;44;;;;;;;;;250;;;
Mambaí;2004;;138;;;26;;;;;;;;;257;;;
Mambaí;2005;;115;;;35;;;;;;;;;336;;;
Mambaí;2006;;93;;;38;;;;;;;;;365;;;
Mambaí;2007;;57;;;18;;;;;;;;;356;;;
Mambaí;2008;;62;;;;;;;;;;;;370;;;
Mambaí;2009;;;;;;;;;;;;;;359;;;
Mambaí;2010;; ; ;; ;;; ;; ; ; ; ;366; ; ; 
Mambaí;2011;;;;;;;;;;;;;;337;;;
Mambaí;2012;;;;;;;;;;;;;;313;;;
Mambaí;2013;;;;;;;;;;;;;;314;;;
Mambaí;2014;;;;;;;;;;;;;;336;;;
Mambaí;2015;;;;;;;;;;;;;;340;;;
Mambaí;2016;;;;;;;;;;;;;;282;;;
Mambaí;2017;;;;;;;;;;;;;;289;;;
Mambaí;2018;;48;0;;0;;;0;;0;0;0;0;283;0;0;0
Mara Rosa;2002;;148;;;234;;;;;;;;;672;;;
Mara Rosa;2003;;240;;;222;;;;;;;;;596;;;
Mara Rosa;2004;;286;;;155;;;;;;;;;490;;;
Mara Rosa;2005;;313;;;131;;;;;;;;;444;;;
Mara Rosa;2006;;300;;;;;;;;;;;;519;;;
Mara Rosa;2007;;131;;;;;;;;;;;;505;;;
Mara Rosa;2008;;183;;;;;;;;;;;;501;;;
Mara Rosa;2009;;170;;;;;;;;;;;;544;;;
Mara Rosa;2010;;113; ;; ;;; ;; ; ; ; ;529; ; ; 
Mara Rosa;2011;;113;;;;;;;;;;;;525;;;
Mara Rosa;2012;;130;;;;;;;;;;;;463;;;
Mara Rosa;2013;;56;;;;;;;;;;;;400;;;
Mara Rosa;2014;;76;;;;;;;;;;;;412;;;
Mara Rosa;2015;;65;;;;;;;;;;;;430;;;
Mara Rosa;2016;;91;;;;;;;;;;;;438;;;
Mara Rosa;2017;;111;;;;;;;;;;;;385;;;
Mara Rosa;2018;;123;0;;0;;;0;;0;0;0;0;422;0;0;0
Marzagão;2002;;;;;;;;;;;;;;;;85;
Marzagão;2003;;;;;;;;;;;;;;;;78;
Marzagão;2004;;;;;;;;;;;;;;16;;91;
Marzagão;2005;;;;;;;;;;;;;;41;;79;
Marzagão;2006;;;;;;;;;;;;;;116;;;
Marzagão;2007;;;;;;;;;;;;;;129;;;
Marzagão;2008;;;;;;;;;;;;;;115;;;
Marzagão;2009;;;;;;;;;;;;;;102;;;
Marzagão;2010;; ; ;; ;;; ;; ; ; ; ;146; ; ; 
Marzagão;2011;;;;;;;;;;;;;;140;;;
Marzagão;2012;;;;;;;;;;;;;;143;;;
Marzagão;2013;;;;;;;;;;;;;;109;;;
Marzagão;2014;;;;;;;;;;;;;;143;;;
Marzagão;2015;;;;;;;;;;;;;;121;;;
Marzagão;2016;;;;;;;;;;;;;;109;;;
Marzagão;2017;;52;;;;;;;;;;;;61;;;
Marzagão;2018;;25;0;;0;;;0;;0;0;0;0;96;0;0;0
Matrinchã;2002;;50;;;122;;;;;;;;;219;;;
Matrinchã;2003;;25;;;;;;;;;;;;255;;;
Matrinchã;2004;;25;;;;;;;;;;;;312;;;
Matrinchã;2005;;;;;;;;;;;;;;310;;;
Matrinchã;2006;;;;;;;;;;;;;;297;;;
Matrinchã;2007;;;;;;;;;;;;;;254;;;
Matrinchã;2008;;;;;;;;;;;;;;215;;;
Matrinchã;2009;;;;;;;;;;;;;;218;;;
Matrinchã;2010;;38; ;; ;;; ;; ; ; ; ;233; ; ; 
Matrinchã;2011;;32;;;;;;;;;;;;228;;;
Matrinchã;2012;;15;;;;;;;;;;;;210;;;
Matrinchã;2013;;;;;;;;;;;;;;188;;;
Matrinchã;2014;;;;;;;;;;;;;;190;;;
Matrinchã;2015;;;;;;;;;;;;;;194;;;
Matrinchã;2016;;;;;;;;;;;;;;174;;;
Matrinchã;2017;;21;;;;;;;;;;;;148;;;
Matrinchã;2018;;0;0;;0;;;0;;0;0;0;0;193;0;0;0
Maurilândia;2002;;;;;;;;;;;;;;508;;;
Maurilândia;2003;;;;;;;;;;;;;;436;;;
Maurilândia;2004;;;;;;;;;;;;;;522;;;
Maurilândia;2005;;;;;;;;;;;;;;489;;;
Maurilândia;2006;;;;;;;;;;;;;;478;;;
Maurilândia;2007;;;;;;;;;;;;;;493;;;
Maurilândia;2008;;;;;;;;;;;;;;457;;;
Maurilândia;2009;;;;;;;;;;;;;;451;;;
Maurilândia;2010;; ; ;; ;;; ;; ; ; ; ;482; ; ; 
Maurilândia;2011;;;;;;;;;;;;;;443;;;
Maurilândia;2012;;;;;;;;;;;;;;488;;;
Maurilândia;2013;;;;;;;;;;;;;;510;;;
Maurilândia;2014;;;;;;;;;;;;;;532;;;
Maurilândia;2015;;;;;;;;;;;;;;439;;;
Maurilândia;2016;;;;;;;;;;;;;;441;;;
Maurilândia;2017;;140;;;;;;;;;;;;326;;;
Maurilândia;2018;;213;0;;0;;;0;;0;0;0;0;382;0;0;0
Mimoso de Goiás;2002;;;;;63;;;;;;;;;147;;;
Mimoso de Goiás;2003;;72;;;60;;;;;;;;;151;;;
Mimoso de Goiás;2004;;79;;;63;;;;;;;;;164;;;
Mimoso de Goiás;2005;;132;;;37;;;;;;;;;149;;;
Mimoso de Goiás;2006;;167;;;38;;;;;;;;;138;;;
Mimoso de Goiás;2007;;61;;;46;;;;;;;;;158;;;
Mimoso de Goiás;2008;;15;;;29;;;;;;;;;127;;;
Mimoso de Goiás;2009;;2;;;42;;;;;;;;;142;;;
Mimoso de Goiás;2010;; ; ;;33;;; ;; ; ; ; ;121; ; ; 
Mimoso de Goiás;2011;;;;;9;;;;;;;;;106;;;
Mimoso de Goiás;2012;;;;;13;;;;;;;;;88;;;
Mimoso de Goiás;2013;;;;;;;;;;;;;;84;;;
Mimoso de Goiás;2014;;;;;;;;;;;;;;80;;;
Mimoso de Goiás;2015;;;;;;;;;;;;;;79;;;
Mimoso de Goiás;2016;;;;;;;;;;;;;;103;;;
Mimoso de Goiás;2017;;22;;;11;;;;;;;;;86;;;
Mimoso de Goiás;2018;;0;0;;0;;;0;;0;0;0;0;110;0;0;0
Minaçu;2002;;;;337;1357;;;43;;;;;;2515;;;130
Minaçu;2003;;322;;253;1176;;;75;;;;;;2303;;;131
Minaçu;2004;;499;;293;1057;;;24;;;;;207;1857;;;266
Minaçu;2005;;413;;275;804;;;;;;;;254;1858;;;142
Minaçu;2006;;457;;184;701;;;;;;;;320;1752;;;149
Minaçu;2007;;357;;191;614;;;;;;;;329;1722;;;136
Minaçu;2008;;294;;154;496;;;;;;;;350;1536;;;139
Minaçu;2009;;316;;194;570;;;;;;;;520;1631;;;121
Minaçu;2010;;242; ;221;429;;;299;; ; ; ;508;1446; ; ;132
Minaçu;2011;;270;;258;360;;;52;;;;;448;1389;;;90
Minaçu;2012;;204;;266;361;;;78;;;;;;1322;;;83
Minaçu;2013;;186;;296;316;;;119;;;;;894;1194;;;174
Minaçu;2014;;182;;;254;;;76;;;;;1083;1114;;;183
Minaçu;2015;;167;;;202;;;;;;;;761;1110;;;228
Minaçu;2016;;180;;;200;;;;;20;;;467;1164;;;154
Minaçu;2017;;290;;;217;;;;;;;;576;1047;;;140
Minaçu;2018;;297;0;;173;;;0;;0;0;0;452;1072;0;0;93
Mineiros;2002;;939;;78;314;410;;;;;;;;1375;;;246
Mineiros;2003;;1215;;72;412;701;;;;;;;;1490;;;214
Mineiros;2004;;1109;;72;268;768;;160;;;;;18;1395;;;261
Mineiros;2005;;1083;;72;325;1042;;168;;;;;56;1188;;;291
Mineiros;2006;;874;;70;352;1205;;87;;;;;46;1348;;;318
Mineiros;2007;;769;;78;161;1202;;1;;;;;73;1532;;;284
Mineiros;2008;;528;;142;105;1113;70;47;;;;;28;1477;;;266
Mineiros;2009;;514;;174;48;817;343;32;;;;;43;1477;;;320
Mineiros;2010;;569; ;230; ;737;509;12;; ; ; ;38;1631; ; ;224
Mineiros;2011;;481;;170;;857;684;;;;;;50;1539;;;250
Mineiros;2012;;440;;196;;1033;791;25;;;;;;1650;;;300
Mineiros;2013;;448;;211;;1414;908;86;;;;;91;1800;;;282
Mineiros;2014;;317;;;;;;250;;;;;51;2054;;;264
Mineiros;2015;;398;;;;;;8;;;;;238;2141;;;257
Mineiros;2016;;451;;;;;;28;;44;;;345;2035;;;232
Mineiros;2017;;613;;;;;;22;;19;;;266;1763;;;235
Mineiros;2018;;688;0;;0;;;25;;69;0;0;205;1791;0;0;246
Moiporá;2002;;;;;;;;;;;;;;98;;;
Moiporá;2003;;;;;;;;;;;;;;111;;;
Moiporá;2004;;;;;;;;;;;;;;103;;;
Moiporá;2005;;;;;;;;;;;;;;87;;;
Moiporá;2006;;;;;;;;;;;;;;78;;;
Moiporá;2007;;20;;;;;;;;;;;;80;;;
Moiporá;2008;;13;;;;;;;;;;;;76;;;
Moiporá;2009;;15;;;;;;;;;;;;71;;;
Moiporá;2010;;10; ;; ;;; ;; ; ; ; ;79; ; ; 
Moiporá;2011;;;;;;;;;;;;;;81;;;
Moiporá;2012;;;;;;;;;;;;;;71;;;
Moiporá;2013;;;;;;;;;;;;;;72;;;
Moiporá;2014;;;;;;;;;;;;;;79;;;
Moiporá;2015;;;;;;;;;;;;;;73;;;
Moiporá;2016;;;;;;;;;;;;;;54;;;
Moiporá;2017;;;;;;;;;;;;;;41;;;
Moiporá;2018;;0;0;;0;;;0;;0;0;0;0;43;0;0;0
Monte Alegre de Goiás;2002;;201;;;74;;;;;;;;;410;;;
Monte Alegre de Goiás;2003;;343;;;155;;;;;;;;;352;;;
Monte Alegre de Goiás;2004;;399;;;186;;;;;;;;;334;;;
Monte Alegre de Goiás;2005;;388;;;181;;;;;;;;;306;;;
Monte Alegre de Goiás;2006;;274;;;140;;;;;;;;;265;;;
Monte Alegre de Goiás;2007;;130;;;58;;;;;;;;;301;;;
Monte Alegre de Goiás;2008;;133;;;20;;;;;;;;;256;;;
Monte Alegre de Goiás;2009;;111;;;38;;;;;;;;;263;;;
Monte Alegre de Goiás;2010;;120; ;;15;;; ;; ; ; ; ;277; ; ; 
Monte Alegre de Goiás;2011;;100;;;5;;;;;;;;;269;;;
Monte Alegre de Goiás;2012;;59;;;;;;;;;;;;234;;;
Monte Alegre de Goiás;2013;;25;;;;;;;;;;;;244;;;
Monte Alegre de Goiás;2014;;26;;;;;;;;;;;;238;;;
Monte Alegre de Goiás;2015;;6;;;;;;;;;;;;274;;;
Monte Alegre de Goiás;2016;;51;;;;;;;;;;;;269;;;
Monte Alegre de Goiás;2017;;59;;;;;;;;;;;;256;;;
Monte Alegre de Goiás;2018;;72;0;;0;;;0;;0;0;0;0;270;0;0;0
Montes Claros de Goiás;2002;;;;;46;;;;;;;;;387;;;
Montes Claros de Goiás;2003;;114;;;31;;;;;;;;;346;;;
Montes Claros de Goiás;2004;;106;;;37;;;;;;;;;337;;;
Montes Claros de Goiás;2005;;106;;;;;;;;;;;;387;;;
Montes Claros de Goiás;2006;;87;;;20;;;;;;;;;425;;;
Montes Claros de Goiás;2007;;59;;;13;;;;;;;;;320;;;13
Montes Claros de Goiás;2008;;83;;;;;;;;;;;;358;;;18
Montes Claros de Goiás;2009;;74;;;;;;;;;;;;333;;;6
Montes Claros de Goiás;2010;;48; ;; ;;; ;; ; ; ; ;316; ; ;6
Montes Claros de Goiás;2011;;43;;;;;;;;;;;;285;;;
Montes Claros de Goiás;2012;;47;;;;;;;;;;;;278;;;
Montes Claros de Goiás;2013;;55;;;;;;;;;;;;321;;;
Montes Claros de Goiás;2014;;46;;;;;;;;;;;;337;;;
Montes Claros de Goiás;2015;;33;;;;;;;;;;;;333;;;
Montes Claros de Goiás;2016;;40;;;;;;;;;;;;283;;;
Montes Claros de Goiás;2017;;76;;;;;;;;;;;;251;;;
Montes Claros de Goiás;2018;;76;0;;0;;;0;;0;0;0;0;272;0;0;0
Montividiu;2002;;;;;227;;;87;;;;;;397;;;14
Montividiu;2003;;;;;212;;;137;;;;;;383;;;63
Montividiu;2004;;;;;238;;;114;;;;;;416;;;73
Montividiu;2005;;;;;199;;;157;;;;;;441;;;71
Montividiu;2006;;;;;119;;;72;;;;;;602;;;49
Montividiu;2007;;;;;97;;;44;;;;;;598;;;28
Montividiu;2008;;;;;63;;;10;;;;;;618;;;23
Montividiu;2009;;;;;87;;;39;;;;;;630;;;
Montividiu;2010;; ; ;;59;;;36;; ; ; ; ;686; ; ; 
Montividiu;2011;;;;;58;;;40;;;;;;603;;;
Montividiu;2012;;;;;56;;;49;;;;;;484;;;
Montividiu;2013;;;;;86;;;54;;;;;;553;;;
Montividiu;2014;;;;;102;;;36;;;;;;555;;;
Montividiu;2015;;;;;80;;;25;;;;;;506;;;
Montividiu;2016;;;;;59;;;29;;;;;;441;;;
Montividiu;2017;;48;;;41;;;36;;;;;;409;;;
Montividiu;2018;;45;0;;53;;;19;;0;0;0;0;399;0;0;3
Montividiu do Norte;2002;;15;;;82;;;;;;;;;183;;;
Montividiu do Norte;2003;;;;;82;;;;;;;;;205;;;
Montividiu do Norte;2004;;;;;87;;;;;;;;;160;;;
Montividiu do Norte;2005;;;;;108;;;;;;;;;208;;;
Montividiu do Norte;2006;;;;;91;;;;;;;;;209;;;
Montividiu do Norte;2007;;;;;43;;;;;;;;;203;;;
Montividiu do Norte;2008;;;;;21;;;;;;;;;220;;;
Montividiu do Norte;2009;;;;;22;;;;;;;;;198;;;
Montividiu do Norte;2010;; ; ;;16;;; ;; ; ; ; ;254; ; ; 
Montividiu do Norte;2011;;;;;;;;;;;;;;222;;;
Montividiu do Norte;2012;;;;;;;;;;;;;;200;;;
Montividiu do Norte;2013;;;;;;;;;;;;;;172;;;
Montividiu do Norte;2014;;;;;;;;;;;;;;187;;;
Montividiu do Norte;2015;;;;;;;;;;;;;;183;;;
Montividiu do Norte;2016;;;;;;;;;;;;;;183;;;
Montividiu do Norte;2017;;70;;;;;;;;;;;;96;;;
Montividiu do Norte;2018;;66;0;;0;;;0;;20;0;0;0;169;0;0;0
Morrinhos;2002;;680;;1021;448;;;;;;;;;1256;185;;238
Morrinhos;2003;;583;;1081;307;;;;;;;;;1543;168;;224
Morrinhos;2004;;302;;1146;344;;;;;;332;;;1620;135;;198
Morrinhos;2005;;407;;882;291;;;;;;497;;;1551;126;;203
Morrinhos;2006;;282;;1015;192;;;;;;406;;;1416;134;;230
Morrinhos;2007;;198;43;950;127;;;;;;449;;;1487;123;;193
Morrinhos;2008;;167;69;883;164;;;;;;447;;;1509;206;;198
Morrinhos;2009;51;152;62;907;147;;;;;;324;;;1479;198;;203
Morrinhos;2010;112;170;86;858;161;;; ;; ;303; ; ;1519;220; ;209
Morrinhos;2011;171;128;75;807;147;;;;;;263;;;1386;218;;211
Morrinhos;2012;261;146;68;779;76;;;1;;;144;;;1280;208;;226
Morrinhos;2013;357;129;37;710;127;;;;;;98;;;1254;167;;151
Morrinhos;2014;;147;31;;153;;;;;;;;34;1335;191;;135
Morrinhos;2015;;136;22;;78;;;;;;1112;;28;1343;180;;116
Morrinhos;2016;;97;27;;120;;;;;18;719;;5;1314;252;;90
Morrinhos;2017;;261;14;;110;;;;;;337;;11;1254;323;;74
Morrinhos;2018;;210;7;;100;;;0;;37;365;0;6;1366;358;0;39
Morro Agudo de Goiás;2002;;;;;42;;;;;;;;;143;;;
Morro Agudo de Goiás;2003;;;;;42;;;;;;;;;99;;;
Morro Agudo de Goiás;2004;;;;;21;;;;;;;;;89;;;
Morro Agudo de Goiás;2005;;;;;41;;;;;;;;;114;;;
Morro Agudo de Goiás;2006;;;;;26;;;;;;;;;102;;;
Morro Agudo de Goiás;2007;;;;;27;;;;;;;;;102;;;
Morro Agudo de Goiás;2008;;;;;24;;;;;;;;;95;;;
Morro Agudo de Goiás;2009;;;;;42;;;;;;;;;88;;;
Morro Agudo de Goiás;2010;; ; ;;27;;; ;; ; ; ; ;111; ; ; 
Morro Agudo de Goiás;2011;;;;;23;;;;;;;;;98;;;
